analysis_status,section,sample,pair,bin_or_group,switches_raw,weight_sum,conflict_rate,mean_abs_dF,median_abs_dF,mean_abs_dG,median_abs_dG,mean_H,median_H,share_abs_dG_gt_abs_dF,share_H_gt_abs_dF,pair_residual_median
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,primary,all_six,1,21460,81166243.49759999,0.9459456414878961,0.08660529361311814,0.08151955718228354,0.23333702260071418,0.18307546845933778,0.3443499993098031,0.28276460858475183,0.7651911011840343,0.9301019001025007,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,primary,all_six,2,21864,81452004.10390002,0.659636158462888,0.2825988110975078,0.2749715254375717,0.2516952210624806,0.20597395186432516,0.3640637649139965,0.3028431111709764,0.36418291774578554,0.5451704204006668,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,primary,all_six,3,21780,80889817.77950001,0.5266658500063607,0.5402230579709015,0.5353027042201968,0.3434274571189718,0.27154943671156706,0.511684294419957,0.4327997567350607,0.20682445315434864,0.37291863155914823,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,primary,all_six,4,21847,81107093.24790001,0.34058924064591894,0.9319763377821402,0.9274461287348381,0.34838883127789383,0.28373567338152833,0.5639690595150173,0.48573977987712336,0.05282017216553279,0.1361017223877125,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,primary,all_six,5,21549,81147433.0843,0.1906154133037224,1.7532319049708467,1.6574525004590792,0.3632109829568962,0.30184586608300096,0.6742947484652235,0.6544182523650708,0.004659683897914413,0.024416973021705434,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,direction_group,primary,all_six,conflict,58062,216201600.7926,1.0,0.4273253392256928,0.283558685047552,0.36291673933580193,0.2949327554167848,0.5641738298226137,0.4829247213077476,0.523283333659629,0.7126662281895266,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,direction_group,primary,all_six,unanimous,49154,184868527.7952,0.0,1.0578769632350247,0.9324646146382778,0.24450587575781135,0.18710139617317306,0.40797586536731917,0.3443027520815185,0.0,0.044415204447867056,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,persistent,all_six,1,8075,30599306.9502,0.9493776131066957,0.08623785849306997,0.08151955718228354,0.23265197753888212,0.1803197333983959,0.3457168387744268,0.28276460858475183,0.7629236629964723,0.9324847127563294,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,persistent,all_six,2,8228,30550130.1327,0.668832516128276,0.2824758828410635,0.2740134637340986,0.25397937304214,0.20766038311297308,0.367259819466824,0.3115906031563941,0.36858968549358545,0.5556885723648354,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,F_distance_bin,persistent,all_six,3,8172,30197511.0062,0.5351374293855592,0.5406457095778743,0.53599810957152,0.34447147196616773,0.27354783471954963,0.5162557558469062,0.43805235545105037,0.20597330619808252,0.3794965503497001,
