analysis_status,margin,subgroup_dimension,subgroup_level,linked_risk_set_raw,flow_events_raw,linked_risk_set_weighted,flow_events_weighted,occupation_coverage_count,occupation_coverage_share_of_468,exposure_basis
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,employment_exit,overall,all matched adjacent transitions,3204046,113251,10145224516.8201,375654380.49259996,463,0.9893162393162394,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,employment_exit,age_at_origin,22-25,229054,11982,820350806.8752,44930620.0005,409,0.8739316239316239,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,employment_exit,period,pre,2049471,74615,6021819413.305201,230588356.7253,463,0.9893162393162394,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,employment_exit,period,post,1125524,37528,4022549130.0462,140903751.514,456,0.9743589743589743,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,employment_exit,beta_quintile,Q1,551723,28780,1785486275.6936,96418283.6132,128,0.27350427350427353,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,employment_exit,beta_quintile,Q5,528992,14022,1696635838.3999,46718326.9094,91,0.19444444444444445,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,occupational_switch_out,overall,all matched adjacent transitions,3090795,205540,9769570136.3275,698480969.0604,465,0.9935897435897436,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,occupational_switch_out,age_at_origin,22-25,217072,19261,775420186.8747001,72658382.3831,440,0.9401709401709402,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,occupational_switch_out,period,pre,1974856,131621,5791231056.5799,415284443.4074,465,0.9935897435897436,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,occupational_switch_out,period,post,1087996,72042,3881645378.5322,276197814.6028,457,0.9764957264957265,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,occupational_switch_out,beta_quintile,Q1,522943,39853,1689067992.0804,138132409.6648,129,0.27564102564102566,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,occupational_switch_out,beta_quintile,Q5,514970,36636,1649917511.4905,125485591.29089999,91,0.19444444444444445,origin
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,entry_from_nonemployment,overall,all matched adjacent transitions,1198756,108131,3759670034.8057003,356429373.96220005,462,0.9871794871794872,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,entry_from_nonemployment,age_at_origin,22-25,84117,12461,314682555.0815,46399930.39390001,411,0.8782051282051282,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,entry_from_nonemployment,period,pre,790994,72605,2308292717.3179,223282029.4108,461,0.9850427350427351,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,entry_from_nonemployment,period,post,397419,34693,1416302248.0593,130145674.12030001,454,0.9700854700854701,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,entry_from_nonemployment,beta_quintile,Q1,27558,27558,92068097.372,92068097.372,127,0.27136752136752135,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,entry_from_nonemployment,beta_quintile,Q5,13650,13650,45477262.453600004,45477262.453600004,90,0.19230769230769232,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,switch_into_occupation,overall,all matched adjacent transitions,3090795,205540,9769570136.3275,698480969.0604,465,0.9935897435897436,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,switch_into_occupation,age_at_origin,22-25,217072,19261,775420186.8747001,72658382.3831,444,0.9487179487179487,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,switch_into_occupation,period,pre,1974856,131621,5791231056.5799,415284443.4074,465,0.9935897435897436,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,switch_into_occupation,period,post,1087996,72042,3881645378.5322,276197814.6028,458,0.9786324786324786,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,switch_into_occupation,beta_quintile,Q1,522831,39691,1688184077.8611,137117118.8761,129,0.27564102564102566,destination
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,switch_into_occupation,beta_quintile,Q5,515405,37054,1651301690.8132,126818460.5748,91,0.19444444444444445,destination
