analysis_status,link_structure,dimension,level,eligible_raw,matched_raw,match_rate,eligible_weighted_origin,matched_weighted_origin,valid_CPSIDV_rate,notes
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,overall,all eligible origins,4862216,4402802,0.9055134531250771,15493304189.6581,13956861731.327698,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2017,582272,539360,0.9263024840624313,1501522406.8612,1388713272.4401002,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2018,559043,518035,0.9266460719479539,1511062437.8438,1397300143.9635,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2019,535397,490868,0.9168299411464763,1510428275.7725,1382075283.4931998,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2020,462108,421058,0.9111679520804661,1506600860.4032,1364490058.2916,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2021,471336,423828,0.8992056622027598,1503359207.4122,1347341450.8267002,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2022,541645,486710,0.8985774815608009,1820531993.0206,1629683560.9158,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2023,530803,473683,0.8923894552216171,1831155014.8681002,1629039378.0494,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2024,525122,470483,0.8959498935485468,1832619741.0211,1636464364.8759,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2025,414927,366368,0.8829697754062763,1551088710.0695,1364369006.3700998,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,calendar_year,2026,239563,212409,0.8866519454172807,924935542.3859,817385212.1014,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,period,pre-2023,3151801,2879859,0.9137185374330422,9353505181.3135,8509603769.9309,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,period,post-2023,1710415,1522943,0.8903938517845085,6139799008.344601,5447257961.3968,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,age,22-25,359866,313171,0.8702433683648914,1312351180.6686,1139045427.9992,1.0,
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,adjacent-month,age,26-65,4141096,3772322,0.9109477297797491,12912183734.5929,11705229640.097198,1.0,
