analysis_status,scheme,quintile,lower_bound_exclusive,upper_cut_inclusive,occupation_count,within_window_employment_share,q1_jaccard,q5_jaccard,occupations_changing_quintile,moving_into_q1,moving_out_of_q1,moving_into_q5,moving_out_of_q5,weighted_quintile_code_correlation_preweights,exposure_rank_correlation
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,full_static_108_month,1,-inf,0.162561583951,133,0.20020702922914044,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,full_static_108_month,2,0.162561583951,0.328947368421,97,0.19998123567716458,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,full_static_108_month,3,0.328947368421,0.461538461538,83,0.2026455977774512,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,full_static_108_month,4,0.461538461538,0.537037037037,64,0.20187919786979905,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,full_static_108_month,5,0.537037037037,inf,91,0.19528693944644468,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,preperiod_only,1,-inf,0.153846153846,129,0.2006467230003191,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,preperiod_only,2,0.153846153846,0.324615384615,99,0.1993779099452761,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,preperiod_only,3,0.324615384615,0.45652173913,82,0.2017312881523539,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,preperiod_only,4,0.45652173913,0.537037037037,67,0.20321759641082032,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
POST-OUTCOME SUPPLEMENTARY QUINTILE-WEIGHT SENSITIVITY — NOT PART OF CONFIRMATORY YAX v1.1,preperiod_only,5,0.537037037037,inf,91,0.1950264824912307,0.9699248120300752,1.0,9,0,4,0,0,0.9979571446830968,1.0
