analysis_status,event_month,coefficient_q5_vs_q1,analytic_cluster_se,pointwise_wild_score_ci_lower,pointwise_wild_score_ci_upper,simultaneous_pre_ci_lower,simultaneous_pre_ci_upper,reference_month,transition_month
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-01,0.1363265432142433,0.09078635632031605,-0.03874938977581527,0.3114024762043019,-0.1385233378368304,0.41117642426531703,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-02,0.09786788968584675,0.09585407158289436,-0.08788326915019659,0.2836190485218901,-0.19232417485594894,0.38805995422764245,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-04,-0.029937106513865913,0.10121547780614425,-0.23271167957986713,0.1728374665521353,-0.33636048512589,0.27648627209815824,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-05,-0.03145118616763583,0.10458214496255673,-0.23226662492318784,0.1693642525879162,-0.34806693404067257,0.28516456170540094,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-06,-0.06441633700906152,0.10347726176286468,-0.2610030857732748,0.1321704117551518,-0.3776871217365432,0.24885444771842014,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-07,-0.02742470645480719,0.09643921256501198,-0.21143747140902328,0.1565880584994089,-0.31938824785558934,0.2645388349459749,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-08,-0.015651802939738793,0.08221336767147558,-0.1730007349768503,0.1416971290973727,-0.26454750975264313,0.23324390387316557,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-09,-0.05419540299381519,0.08060539212340867,-0.2135689490925365,0.10517814310490613,-0.29822306678756905,0.18983226079993865,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-10,-0.06651293584632641,0.08686092622288764,-0.23068866526832155,0.09766279357566872,-0.32947882860794975,0.19645295691529696,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-11,-0.03193691818700639,0.09563940699158743,-0.2126387000654088,0.14876486369139602,-0.3214790994227862,0.2576052630487734,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2017-12,0.06941428479111746,0.10624975180987965,-0.13853271794702693,0.2773612875292618,-0.25225003604159973,0.3910786056238346,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-01,0.050627281134420575,0.10897923981397542,-0.16617295336942525,0.2674275156382664,-0.27930038987185324,0.38055495214069435,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-02,0.09297266889588161,0.10183587857088432,-0.11975741203060951,0.3057027498223727,-0.21532893330946723,0.4012742711012305,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-04,-0.03894234663773387,0.09887728822045011,-0.23868866800491473,0.16080397472944696,-0.3382870059845475,0.2604023127090797,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-05,-0.008254410259768216,0.1192222634113104,-0.22852017224816273,0.21201135172862628,-0.36919217938472654,0.35268335886519014,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-06,-0.01043711051453593,0.10841355955620935,-0.22253118041812267,0.2016569593890508,-0.3386522207588007,0.3177779997297288,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-07,-0.007142632692065881,0.10967664382381861,-0.2149306795133793,0.20064541412924752,-0.3391816496859862,0.3248963843018544,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-08,0.09492020965189907,0.10978529029112291,-0.1244497244842642,0.3142901437880623,-0.2374477275655606,0.42728814686935873,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-09,0.0119461384473941,0.09830655059886412,-0.17690199930301284,0.20079427619780102,-0.28567064929224956,0.3095629261870378,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-10,0.020032851764725385,0.10363587618297068,-0.17795557228148956,0.21802127581094033,-0.29371812796414287,0.3337838314935937,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-11,-0.04802351311246581,0.09398894232891596,-0.22887185101681262,0.132824824791881,-0.33256901825504787,0.23652199203011623,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2018-12,-0.0069984564349965415,0.10256462724991265,-0.20490941374603575,0.19091250087604264,-0.3175062986070687,0.30350938573707564,False,False
POST-OUTCOME SUPPLEMENTARY ANALYSIS — NOT PART OF CONFIRMATORY YAX v1.1,2019-01,0.03448307954827669,0.09756253390944578,-0.15650041638083845,0.22546657547739185,-0.2608812453007412,0.32984740439729454,False,False
