analysis_status,target,deletion_order,deleted_census2018,deleted_occupation,frozen_full_estimate,leave_one_out_estimate,signed_movement,absolute_movement,relative_absolute_movement,deleted_full_sample_stock_weight,deleted_full_sample_stock_weight_share,sign_changed,crossed_or_reached_zero,treatment_recomputed_after_deletion
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,1,0010,Chief executives,-0.13107397642233506,-0.1310657527220909,8.223700244169851e-06,8.223700244169851e-06,6.274090760527602e-05,163889050.09179997,0.012603604941131753,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,2,0020,General and operations managers,-0.13107397642233506,-0.13105595024997316,1.8026172361906845e-05,1.8026172361906845e-05,0.0001375267070850471,123561351.71779999,0.00950227280084346,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,3,0040,Advertising and promotions managers,-0.13107397642233506,-0.13101483208957135,5.9144332763716445e-05,5.9144332763716445e-05,0.0004512286449077181,5935331.3099,0.0004564464250833589,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,4,0051,Marketing managers,-0.13107397642233506,-0.13122176617437803,-0.00014778975204296496,0.00014778975204296496,0.0011275293241029768,61531214.76749831,0.004731952025123629,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,5,0052,Sales managers,-0.13107397642233506,-0.130673543776175,0.000400432646160076,0.000400432646160076,0.0030550125745009604,56615257.53080169,0.00435389880628981,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,6,0060,Public relations and fundraising managers,-0.13107397642233506,-0.1318687503390042,-0.0007947739166691281,0.0007947739166691281,0.006063552341681291,11202854.406,0.0008615362104249932,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,7,0101,Administrative services managers,-0.13107397642233506,-0.13109645053731536,-2.247411498029761e-05,2.247411498029761e-05,0.00017146130447651554,7573779.980804389,0.000582448496318956,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,8,0102,Facilities managers,-0.13107397642233506,-0.13106788501311215,6.091409222919175e-06,6.091409222919175e-06,4.647306345000148e-05,12637060.053095607,0.0009718313239192026,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,9,0110,Computer and information systems managers,-0.13107397642233506,-0.13103984016210457,3.4136260230493987e-05,3.4136260230493987e-05,0.0002604350700439813,73196787.07419997,0.005629072758226415,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,10,0120,Financial managers,-0.13107397642233506,-0.1311643989246724,-9.042250233734506e-05,9.042250233734506e-05,0.0006898585425225341,136513322.969,0.010498321827716114,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,11,0135,Compensation and benefits managers,-0.13107397642233506,-0.13106500455998318,8.971862351880855e-06,8.971862351880855e-06,6.844884542887833e-05,1882403.4917,0.00014476299628257377,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,12,0136,Human resources managers,-0.13107397642233506,-0.1310310468800879,4.2929542247160946e-05,4.2929542247160946e-05,0.0003275214761840836,31748562.348400004,0.0024415684700349895,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,13,0137,Training and development managers,-0.13107397642233506,-0.13103051422200604,4.346220032902526e-05,4.346220032902526e-05,0.0003315852735632676,6074327.791900001,0.00046713570997672957,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,14,0140,Industrial production managers,-0.13107397642233506,-0.13105132123539467,2.265518694039015e-05,2.265518694039015e-05,0.00017284275306787516,29841071.7746,0.0022948761949400905,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,15,0150,Purchasing managers,-0.13107397642233506,-0.12980408440886818,0.001269892013466889,0.001269892013466889,0.009688361092938497,23339541.333599996,0.0017948872015008878,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,16,0160,"Transportation, storage, and distribution managers",-0.13107397642233506,-0.13104545179843516,2.8524623899905954e-05,2.8524623899905954e-05,0.0002176223280813303,35421040.4427,0.0027239940685090235,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,17,0205,"Farmers, ranchers, and other agricultural managers",-0.13107397642233506,-0.13129687163552659,-0.00022289521319152072,0.00022289521319152072,0.0017005298784354213,68734878.5469,0.005285937372854079,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,18,0220,Construction managers,-0.13107397642233506,-0.13117549318985622,-0.00010151676752115368,0.00010151676752115368,0.0007744997923466918,110207595.66039999,0.00847532520590993,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,19,0300,Architectural and engineering managers,-0.13107397642233506,-0.13106126953571257,1.2706886622498859e-05,1.2706886622498859e-05,9.694438949159399e-05,18525990.7127,0.0014247093869612301,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,20,0310,Food service managers,-0.13107397642233506,-0.13098690511430805,8.707130802701468e-05,8.707130802701468e-05,0.0006642913445035126,114701500.5035,0.008820921212804507,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,21,0335,Entertainment and recreation managers,-0.13107397642233506,-0.13115479234177202,-8.08159194369551e-05,8.08159194369551e-05,0.0006165672366309933,6668857.184041919,0.0005128569682319378,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,22,0340,Lodging managers,-0.13107397642233506,-0.13107716600498875,-3.1895826536898486e-06,3.1895826536898486e-06,2.4334217521658574e-05,12956252.5859,0.0009963782755390478,False,False,False
POST-OUTCOME FIXED-TREATMENT LOCO INFLUENCE AUDIT,primary_beta_webb_q5_q1,23,0350,Medical and health services managers,-0.13107397642233506,-0.1311988063228555,-0.00012482990052042897,0.00012482990052042897,0.0009523621997871876,78936084.21919999,0.0060704435137151295,False,False,False
