census2018,soc_major_group,occupation,occupation_title_vintage,source_census2010_codes,webb_pct_software,onet_computers_importance,onet_computers_level,rti_autor_dorn,frey_osborne_probability,webb_pct_software_harmonization,rti_autor_dorn_harmonization,onet_computers_importance_covered_weight,onet_computers_importance_partial_sum,onet_computers_level_covered_weight,onet_computers_level_partial_sum,frey_osborne_probability_covered_weight,frey_osborne_probability_partial_sum
0010,11,Chief executives,Census 2018 official,0010,30.0,4.2,3.82,-0.5086509897964162,0.015,single_source_inherited,single_source_inherited,1.0,4.2,1.0,3.82,1.0,0.015
0020,11,General and operations managers,Census 2018 official,0020,50.0,4.15,3.65,-0.5391153401322388,0.16,single_source_inherited,single_source_inherited,1.0,4.15,1.0,3.65,1.0,0.16
0030,11,Legislators,Census 2018 official,0030,,,,,,missing_source_fail_closed,missing_source_fail_closed,0,,0,,0,
0040,11,Advertising and promotions managers,Census 2018 official,0040,68.0,4.61,3.94,0.8974676055485247,0.039,single_source_inherited,single_source_inherited,1.0,4.61,1.0,3.94,1.0,0.039
0051,11,Marketing managers,Census 2018 official,0050,68.0,4.4,3.12,0.8974676055485247,0.014,single_source_inherited,single_source_inherited,1.0,4.4,1.0,3.12,1.0,0.014
0052,11,Sales managers,Census 2018 official,0050,68.0,4.27,3.57,0.8974676055485247,0.013,single_source_inherited,single_source_inherited,1.0,4.27,1.0,3.57,1.0,0.013
0060,11,Public relations and fundraising managers,Census 2018 official,0060,68.0,4.34,3.66,0.8974676055485247,0.015,single_source_inherited,single_source_inherited,1.0,4.34,1.0,3.66,1.0,0.015
0101,11,Administrative services managers,Census 2018 official,0100,50.0,4.15,3.72,-0.5391153401322388,0.73,single_source_inherited,single_source_inherited,1.0,4.15,1.0,3.72,1.0,0.73
0102,11,Facilities managers,Census 2018 official,0100,50.0,4.15,3.72,-0.5391153401322388,0.73,single_source_inherited,single_source_inherited,1.0,4.15,1.0,3.72,1.0,0.73
0110,11,Computer and information systems managers,Census 2018 official,0110,50.0,4.9,6.1,-0.5391153401322388,0.035,single_source_inherited,single_source_inherited,1.0,4.9,1.0,6.1,1.0,0.035
0120,11,Financial managers,Census 2018 official,0120,28.0,4.32,4.385,2.057301156391973,0.069,single_source_inherited,single_source_inherited,1.0,4.32,1.0,4.385,1.0,0.069
0135,11,Compensation and benefits managers,Census 2018 official,0135,21.0,4.05,3.4,0.25072059089049614,0.96,single_source_inherited,single_source_inherited,1.0,4.05,1.0,3.4,1.0,0.96
0136,11,Human resources managers,Census 2018 official,0136,21.0,4.08,2.88,0.25072059089049614,0.0055,single_source_inherited,single_source_inherited,1.0,4.08,1.0,2.88,1.0,0.0055
0137,11,Training and development managers,Census 2018 official,0137,21.0,4.26,3.67,0.25072059089049614,0.0063,single_source_inherited,single_source_inherited,1.0,4.26,1.0,3.67,1.0,0.0063
0140,11,Industrial production managers,Census 2018 official,0140,50.0,3.81,3.72,-0.5391153401322388,0.03,single_source_inherited,single_source_inherited,1.0,3.81,1.0,3.72,1.0,0.03
0150,11,Purchasing managers,Census 2018 official,0150,64.0,3.95,3.62,0.8223642255025514,0.03,single_source_inherited,single_source_inherited,1.0,3.95,1.0,3.62,1.0,0.03
0160,11,"Transportation, storage, and distribution managers",Census 2018 official,0160,72.0,4.05,3.6466666666666665,2.216809074218278,0.59,single_source_inherited,single_source_inherited,1.0,4.05,1.0,3.6466666666666665,1.0,0.59
0205,11,"Farmers, ranchers, and other agricultural managers",Census 2018 official,0205,94.0,3.09,2.8699999999999997,-2.4110773919508417,0.047,single_source_inherited,single_source_inherited,1.0,3.09,1.0,2.8699999999999997,1.0,0.047
0220,11,Construction managers,Census 2018 official,0220,50.0,4.2,3.56,-0.5391153401322388,0.071,single_source_inherited,single_source_inherited,1.0,4.2,1.0,3.56,1.0,0.071
0230,11,Education and childcare administrators,Census 2018 official,0230,26.0,4.011553062744367,3.064829082107615,0.17690622539433298,,single_source_inherited,single_source_inherited,1.0,4.011553062744367,1.0,3.064829082107615,0.9069633215416123,0.0068330217836529514
0300,11,Architectural and engineering managers,Census 2018 official,0300,50.0,4.39,4.08,-0.5391153401322388,0.017,single_source_inherited,single_source_inherited,1.0,4.39,1.0,4.08,1.0,0.017
0310,11,Food service managers,Census 2018 official,0310,50.0,3.61,2.94,-0.5391153401322388,0.083,single_source_inherited,single_source_inherited,1.0,3.61,1.0,2.94,1.0,0.083
0325,11,Funeral home managers,Census 2018 official,0325,,3.94,3.3,,,missing_source_fail_closed,missing_source_fail_closed,1.0,3.94,1.0,3.3,0,
0335,11,Entertainment and recreation managers,Census 2018 official,0330|0430,50.0,4.196313554934244,3.667488868178524,-0.5391153401322388,0.22288257222739982,merge_equal_source_scores,merge_equal_source_scores,1.0,4.196313554934244,1.0,3.667488868178524,1.0,0.22288257222739982
0340,11,Lodging managers,Census 2018 official,0340,50.0,4.27,4.12,-0.5391153401322388,0.0039,single_source_inherited,single_source_inherited,1.0,4.27,1.0,4.12,1.0,0.0039
0350,11,Medical and health services managers,Census 2018 official,0350,71.0,4.5,4.23,-0.16490473255258853,0.0073,single_source_inherited,single_source_inherited,1.0,4.5,1.0,4.23,1.0,0.0073
0360,11,Natural sciences managers,Census 2018 official,0360,50.0,4.09,3.35,-0.5391153401322388,0.018,single_source_inherited,single_source_inherited,1.0,4.09,1.0,3.35,1.0,0.018
0400,11,Postmasters and mail superintendents,Census 2018 official,0400,,4.29,3.66,,0.75,missing_source_fail_closed,missing_source_fail_closed,1.0,4.29,1.0,3.66,1.0,0.75
0410,11,"Property, real estate, and community association managers",Census 2018 official,0410,13.0,4.44,3.8,-1.2907969740408842,0.81,single_source_inherited,single_source_inherited,1.0,4.44,1.0,3.8,1.0,0.81
0420,11,Social and community service managers,Census 2018 official,0420,50.0,4.23,3.75,-0.5391153401322388,0.0067,single_source_inherited,single_source_inherited,1.0,4.23,1.0,3.75,1.0,0.0067
0425,11,Emergency management directors,Census 2018 official,0425,24.0,4.24,3.48,-0.5545545225178077,0.003,single_source_inherited,single_source_inherited,1.0,4.24,1.0,3.48,1.0,0.003
0426,11,"Personal service managers, all other",Census 2018 official,0430,50.0,4.195555555555555,3.5744444444444445,-0.5391153401322388,0.25,single_source_inherited,single_source_inherited,1.0,4.195555555555555,1.0,3.5744444444444445,1.0,0.25
0440,11,"Managers, all other",Census 2018 official,0430,50.0,4.195555555555555,3.5744444444444445,-0.5391153401322388,0.25,single_source_inherited,single_source_inherited,1.0,4.195555555555555,1.0,3.5744444444444445,1.0,0.25
0500,13,"Agents and business managers of artists, performers, and athletes",Census 2018 official,0500,9.0,4.19,3.08,-1.059711609806506,0.24,single_source_inherited,single_source_inherited,1.0,4.19,1.0,3.08,1.0,0.24
