analysis_status,specification,omitted,term,family_A_count,family_E_count,support_occupations,support_hash_sha256,F_raw_sd,G_raw_sd,F_G_weighted_correlation,normalization_universe,coefficient,analytic_or_paired_se,paired_bootstrap_se,ci_lower,ci_upper,bootstrap_p_value,bootstrap_critical,draws
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,original_phase3_exact,,F,3,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8777358553105283,0.32213718525715235,0.21771329844540863,463 primitive reference; 444 outcome-stock F/G scaling,-0.040358886215281616,0.014071652311664245,0.014197245193440637,-0.06743691649330921,-0.013280855937254022,0.003,1.9242964279029355,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,original_phase3_exact,,G,3,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8777358553105283,0.32213718525715235,0.21771329844540863,463 primitive reference; 444 outcome-stock F/G scaling,0.030893508600474132,0.014863450105159303,0.014467887533301712,0.002870073163501248,0.05891694403744702,0.032,1.8853923711322966,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_dv_rating_alpha,dv_rating_alpha,F,3,2,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.9590794777516103,0.24801554598628905,0.02157339013847984,,-0.03295293424168603,0.012467484971874075,0.012427943774461766,-0.0571208787008814,-0.008784989782490656,0.007,1.9384779298885748,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_dv_rating_alpha,dv_rating_alpha,G,3,2,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.9590794777516103,0.24801554598628905,0.02157339013847984,,0.034241984750986346,0.013442726515072905,0.013083896488204625,0.008871836925111266,0.059612132576861425,0.01,1.8872769447052526,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_aioe_admin_equal,aioe_admin_equal,F,2,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8781635646316988,0.3245175061899693,0.20071673027411094,,-0.04043244063595845,0.014109958177678232,0.014237521243497277,-0.06759306147010533,-0.013271819801811587,0.003,1.9249256795895122,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_aioe_admin_equal,aioe_admin_equal,G,2,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8781635646316988,0.3245175061899693,0.20071673027411094,,0.02944391894906943,0.014887821043400633,0.014459552536310951,0.0008733182956683801,0.05801451960247048,0.043,1.919058576141713,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_aioe_ability_direct,aioe_ability_direct,F,2,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8809591656623842,0.3224808978718963,0.2076795562344753,,-0.0400516746064917,0.014023792379197863,0.014148116839504198,-0.06718987514667679,-0.01291347406630661,0.003,1.9351541869972657,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_aioe_ability_direct,aioe_ability_direct,G,2,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8809591656623842,0.3224808978718963,0.2076795562344753,,0.03380692833216986,0.014994666886997932,0.014688295462284954,0.005851443594420292,0.061762413069919433,0.019,1.8643618393410346,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_aioe_oews2018_source_weighted,aioe_oews2018_source_weighted,F,2,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8784370433039799,0.32475491532616463,0.20161969696892587,,-0.040447487095867825,0.014085866766598464,0.014211893335516142,-0.06755989796305063,-0.013335076228685017,0.003,1.9247953510020361,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_aioe_oews2018_source_weighted,aioe_oews2018_source_weighted,G,2,3,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8784370433039799,0.32475491532616463,0.20161969696892587,,0.02931402389543486,0.01480282201015094,0.01435678338002444,0.001463650146448732,0.05716439764442099,0.041,1.8814232671235198,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_dv_rating_beta,dv_rating_beta,F,3,2,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8425960324536282,0.349916553334288,0.26997623196765674,,-0.04213935263500703,0.014733010393593666,0.014896894886238538,-0.07018870459152513,-0.014090000678488944,0.003,1.903843899323844,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_dv_rating_beta,dv_rating_beta,G,3,2,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8425960324536282,0.349916553334288,0.26997623196765674,,0.02874746263811243,0.01547581397259134,0.015025577397467555,-0.0009416826375322242,0.058436607913757085,0.062,1.9184222121192485,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_dv_rating_gamma,dv_rating_gamma,F,3,2,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8556555959703268,0.41695811732436516,0.11997526834587025,,-0.03826049303548778,0.014002883373116238,0.014190014309047304,-0.06515775845132898,-0.011363227619646577,0.004,1.920837637445481,999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,omit_dv_rating_gamma,dv_rating_gamma,G,3,2,444,1e184b27678b7978d4b15e618db5b44f44b5e9ec1b50b69b53093ec62e0ce462,0.8556555959703268,0.41695811732436516,0.11997526834587025,,0.021521927627832598,0.015208497894886727,0.0146636704270545,-0.008025253882771723,0.051069109138436916,0.14,1.942807351180844,999
