analysis_status,contrast,support_occupations,coefficient,analytic_or_paired_se,paired_bootstrap_se,ci_lower,ci_upper,bootstrap_p_value,bootstrap_critical,draws,re_reference_only
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q5_minus_Q1,468,-0.13107397642233506,0.04440978614525461,0.04422965553014143,-0.2178894627805103,-0.04425849006415983,0.002,1.9548728758616614,999,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q5_minus_Q2,468,-0.04560494741827034,0.03972771711817789,0.03972771711817789,-0.12402181723840473,0.03281192240186405,0.259,1.9738579386997757,999,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q5_minus_Q4,468,-0.03404646584697332,0.039301335095569115,0.039301335095569115,-0.1140529524004546,0.045960020706507954,0.37,2.0357193046732225,999,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q4_minus_Q2,468,-0.011558481571297019,0.03099423272702028,0.03099423272702028,-0.07251008174989104,0.049393118607297004,0.702,1.966546509327117,999,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q5_minus_Q3,468,-0.08328152132186512,0.03869355623795763,0.03869355623795763,-0.15822649445533543,-0.008336548188394799,0.027,1.9368851152521036,999,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q1_minus_Q3,468,0.04779245510046994,,,,,,,,True
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q2_minus_Q3,468,-0.03767657390359478,,,,,,,,True
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q3_minus_Q3,468,0.0,,,,,,,,True
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q4_minus_Q3,468,-0.0492350554748918,,,,,,,,True
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,Q5_minus_Q3,468,-0.08328152132186512,,,,,,,,True
