analysis_status,occupation_code,occupation_name,beta_quintile,structurally_touched_by_split_inbound_route,observed_early_split_stock,observed_early_total_stock,observed_early_split_stock_share,conditional_target_information,conditional_target_information_share,proportional_split_attributed_information,proportional_split_attributed_information_share
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0010,Chief executives,4,False,0.0,51467564.8224,0.0,131.14575350324537,4.960142893307654e-06,0.0,0.0
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0020,General and operations managers,4,False,0.0,35855817.4054,0.0,37.300714974900146,1.4107729099552342e-06,0.0,0.0
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0040,Advertising and promotions managers,4,False,0.0,1842676.8779,0.0,94.45281948766892,3.5723572347543684e-06,0.0,0.0
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0051,Marketing managers,4,True,19711263.3902345,19711263.3902345,1.0,806.0459560839844,3.0485951805144876e-05,202.03195308407987,7.641172737524175e-06
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0052,Sales managers,3,True,18809868.8947655,18809868.8947655,1.0,743.9939849947203,2.8139046661879767e-05,183.55405469836128,6.942308962579949e-06
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0060,Public relations and fundraising managers,5,False,0.0,2464416.3131,0.0,50420.02490493036,0.0019069662686897171,0.0,0.0
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0101,Administrative services managers,3,True,2187609.48944693,2187609.48944693,1.0,10.47332473207165,3.9611795160262605e-07,3.913913961851173,1.48030508074463e-07
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0102,Facilities managers,3,True,3420207.709853071,3420207.709853071,1.0,6.8579595555397335,2.593790377754011e-07,2.2153669297467773,8.378873306317424e-08
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0110,Computer and information systems managers,4,False,0.0,22387467.85,0.0,12.070294629594258,4.5651791634740143e-07,0.0,0.0
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0120,Financial managers,4,False,0.0,41291414.7741,0.0,716.3405951734067,2.709315107369619e-05,0.0,0.0
