analysis_status,measure_1,measure_2,family_1,family_2,family_block,switches,switch_weight,both_nonzero_weight_share,conflict_share_all_switches,conflict_share_conditional_both_nonzero,support
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_ability_direct,AIOE,AIOE,within_AIOE,108500,405762591.7132,1.0,0.08643360627188906,0.08643360627188906,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_oews2018_source_weighted,AIOE,AIOE,within_AIOE,108500,405762591.7132,1.0,0.03417690692517544,0.03417690692517544,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_alpha,AIOE,task_share,between_families,108500,405762591.7132,0.9795382034392454,0.39876408036861505,0.40709395403723814,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_beta,AIOE,task_share,between_families,108500,405762591.7132,0.9979361542842966,0.2655526003253658,0.26610179337155676,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_gamma,AIOE,task_share,between_families,108500,405762591.7132,0.9834935333172998,0.2175863529063413,0.22123821411659697,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,aioe_oews2018_source_weighted,AIOE,AIOE,within_AIOE,108500,405762591.7132,1.0,0.10630407898860231,0.10630407898860231,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_alpha,AIOE,task_share,between_families,108500,405762591.7132,0.9795382034392454,0.42587159538462327,0.43476772410647213,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_beta,AIOE,task_share,between_families,108500,405762591.7132,0.9979361542842966,0.2771621647985483,0.277735367747373,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_gamma,AIOE,task_share,between_families,108500,405762591.7132,0.9834935333172998,0.21541995108480191,0.21903545248355186,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_alpha,AIOE,task_share,between_families,108500,405762591.7132,0.9795382034392454,0.4022296208938341,0.4106318870275505,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_beta,AIOE,task_share,between_families,108500,405762591.7132,0.9979361542842966,0.2529680167422906,0.2534911834351919,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_gamma,AIOE,task_share,between_families,108500,405762591.7132,0.9834935333172998,0.21218183843880253,0.215742992964192,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_beta,task_share,task_share,within_task_share,108500,405762591.7132,0.9784785216968145,0.23459247076670173,0.23975229457248237,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_gamma,task_share,task_share,within_task_share,108500,405762591.7132,0.9640359007298177,0.34823167700775354,0.3612227270209819,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,dv_rating_gamma,task_share,task_share,within_task_share,108500,405762591.7132,0.9824338515748688,0.11257952449862063,0.11459247288573425,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,BLOCK_AVERAGE,within_AIOE,,,within_AIOE,108500,405762591.7132,1.0,0.07563819739522228,0.07563819739522228,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,BLOCK_AVERAGE,within_task_share,,,within_task_share,108500,405762591.7132,0.9749827580005004,0.2318012240910253,0.23852249815973284,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,BLOCK_AVERAGE,between_families,,,between_families,108500,405762591.7132,0.9869892970136137,0.2964151356603581,0.3006487299210804,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,FAMILY_BALANCED,equal_one_third_block_weights,,,family_balanced_three_blocks,108500,405762591.7132,0.987324018338038,0.20128485238220187,0.2049364751586785,sixway_all
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_ability_direct,AIOE,AIOE,within_AIOE,97759,398885579.5811,1.0,0.08684717716238395,0.08684717716238395,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_oews2018_source_weighted,AIOE,AIOE,within_AIOE,97759,398885579.5811,1.0,0.03430162965948519,0.03430162965948519,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_alpha,AIOE,task_share,between_families,97759,398885579.5811,0.9794395179073337,0.39850806802124816,0.406873585081291,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_beta,AIOE,task_share,between_families,97759,398885579.5811,0.9979413768861679,0.2658178285511125,0.2663661761180122,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_gamma,AIOE,task_share,between_families,97759,398885579.5811,0.9834641685316705,0.21767793916211586,0.22133794613698315,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,aioe_oews2018_source_weighted,AIOE,AIOE,within_AIOE,97759,398885579.5811,1.0,0.10685592710285981,0.10685592710285981,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_alpha,AIOE,task_share,between_families,97759,398885579.5811,0.9794395179073337,0.4258362900280397,0.43477548357235946,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_beta,AIOE,task_share,between_families,97759,398885579.5811,0.9979413768861679,0.2775026547140307,0.2780751065557677,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_gamma,AIOE,task_share,between_families,97759,398885579.5811,0.9834641685316705,0.21559219084758982,0.2192171283367373,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_alpha,AIOE,task_share,between_families,97759,398885579.5811,0.9794395179073337,0.4019091309917991,0.410346043470368,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_beta,AIOE,task_share,between_families,97759,398885579.5811,0.9979413768861679,0.2529998945784946,0.2535218004166927,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_gamma,AIOE,task_share,between_families,97759,398885579.5811,0.9834641685316705,0.2122194362681617,0.21578766472499866,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_beta,task_share,task_share,within_task_share,97759,398885579.5811,0.9783904902326823,0.23437484685327464,0.2395514359481717,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_gamma,task_share,task_share,within_task_share,97759,398885579.5811,0.963913281878185,0.34787348025322,0.36089707113007985,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,dv_rating_gamma,task_share,task_share,within_task_share,97759,398885579.5811,0.9824151408570191,0.11244960572529382,0.11446241110168287,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,BLOCK_AVERAGE,within_AIOE,,,within_AIOE,97759,398885579.5811,1.0,0.07600157797490965,0.07600157797490965,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,BLOCK_AVERAGE,within_task_share,,,within_task_share,97759,398885579.5811,0.9749063043226288,0.23156597761059616,0.23830363939331145,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,BLOCK_AVERAGE,between_families,,,between_families,97759,398885579.5811,0.9869483544417241,0.29645149257362136,0.30070010382369006,hard_benchmark_represented
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,FAMILY_BALANCED,equal_one_third_block_weights,,,family_balanced_three_blocks,97759,398885579.5811,0.9872848862547844,0.20133968271970906,0.20500177373063702,hard_benchmark_represented
