draw,realized_conflict,benchmark_mean_rematches,realized_minus_benchmark,within_rematch_variance,pseudo_represented_cells
1,0.5334813527814113,0.52485,0.00863135278141125,1.4280499999999482e-06,68079
2,0.5333419751084572,0.5258050000000001,0.007536975108457078,3.199999999997519e-09,67954
3,0.5297583731593445,0.5221549999999999,0.007603373159344562,4.99999999995449e-11,67877
4,0.5299130934529798,0.5216725,0.008240593452979783,3.124999999985434e-10,67885
5,0.5327490967205513,0.5239324999999999,0.00881659672055135,8.001124999999502e-07,67883
6,0.5339910614980973,0.5257975,0.008193561498097246,1.5312500000006342e-08,68035
7,0.5353007275662295,0.5260675,0.009233227566229463,8.201249999999543e-08,68000
8,0.5321246917845932,0.52397,0.00815469178459316,3.9604999999995225e-07,67911
9,0.5308274425086076,0.5227124999999999,0.00811494250860767,7.812500000005219e-09,68119
10,0.5323650569825246,0.5242025,0.00816255698252455,1.361249999999517e-08,67770
11,0.5325592408663405,0.5219825,0.010576740866340528,5.151124999999879e-07,67862
12,0.5317979233141469,0.5234425,0.008355423314146848,1.9531249999999167e-07,67978
13,0.5318363225088116,0.5225225,0.009313822508811631,2.812500000003544e-09,68166
14,0.5342086962774542,0.5268975,0.007311196277454135,3.916125000000218e-07,67820
15,0.531843318070049,0.5237175000000001,0.008125818070048973,8.201250000004039e-08,67768
16,0.5348252027488738,0.52692,0.00790520274887374,5.940499999999176e-07,68118
17,0.5300479476458974,0.5209775,0.009070447645897373,9.112499999999492e-09,67791
18,0.5322116608777815,0.5240725,0.008139160877781437,4.6512499999999914e-08,68055
19,0.531980570429,0.5234675,0.00851307042900007,3.612500000000148e-09,67855
20,0.5317102439931607,0.5248825,0.006827743993160662,2.3461250000003197e-07,67853
21,0.5332457972181487,0.525695,0.007550797218148664,5.444999999998068e-08,68023
22,0.5357052658933676,0.5279925,0.007712765893367668,6.125000000002536e-10,67771
23,0.5306621723746785,0.522805,0.007857172374678534,2.1124999999995346e-07,67788
24,0.5346122360825805,0.5256325,0.008979736082580514,1.1281250000000151e-07,68006
25,0.5349487197807757,0.525925,0.009023719780775763,6.124999999998651e-08,67863
26,0.5355930971822732,0.5263725,0.009220597182273194,4.0951249999993995e-07,67966
27,0.5323924588019718,0.52517,0.0072224588019718095,4.417999999999444e-07,67997
28,0.531680010731818,0.5225,0.009180010731818067,3.644999999999797e-08,67803
29,0.5342740855063377,0.5252075,0.009066585506337654,4.1861249999999924e-07,67766
30,0.5322199180505828,0.525865,0.006354918050582747,5.100499999999549e-07,67755
31,0.5356930429516777,0.5264975000000001,0.009195542951677682,2.5312500000006914e-08,67982
32,0.5328610008510628,0.52496,0.007901000851062823,4.900500000000459e-07,67933
33,0.5305415212416076,0.5226200000000001,0.007921521241607499,5.1199999999995826e-08,67771
34,0.5310359761722518,0.5227175,0.008318476172251899,2.080124999999327e-07,67881
35,0.5359439054250339,0.5286725,0.0072714054250339055,9.901250000001277e-08,67949
36,0.5327563576948047,0.5253625,0.0073938576948047174,1.0351249999999236e-07,67852
37,0.5350564738076988,0.5261199999999999,0.008936473807698908,9.940500000000316e-07,67786
38,0.533263920882996,0.5254825,0.0077814208829960485,1.361249999999517e-08,67831
39,0.5315383464473961,0.5236775,0.007860846447396042,3.5112499999989324e-08,67858
40,0.5302845670342237,0.5209725000000001,0.009312067034223603,2.7612500000022615e-08,68053
41,0.5292307582601418,0.521845,0.0073857582601417615,1.799999999996939e-09,68006
42,0.5312566172785089,0.52325,0.008006617278508932,3.527999999999596e-07,67960
43,0.5365895440498999,0.5271125,0.009477044049899908,1.3695124999999371e-06,68058
44,0.536098515409838,0.5269475,0.009151015409837981,2.850125000000462e-07,67987
45,0.5341289056555526,0.52535,0.008778905655552616,7.605000000000058e-08,67768
46,0.5295692102871876,0.5221575,0.007411710287187567,5.6112500000028555e-08,67984
47,0.5350737780968412,0.5272025,0.007871278096841183,3.08112500000028e-07,68125
48,0.531990332826555,0.52407,0.00792033282655491,6.0499999999937825e-09,68010
49,0.5319697104588432,0.522635,0.009334710458843265,5.445000000001731e-08,67900
