analysis_status,true_log_effect,donor_offset,global_residual_sign,estimate,occupation_cluster_se
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,0,-1.0,-0.008663600566436796,0.01402601203144678
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,0,1.0,0.009458569367740125,0.014338189580420026
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,1,-1.0,-0.006635804744986045,0.013462256624317107
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,1,1.0,0.007203916694560171,0.01379885883933351
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,2,-1.0,-0.00277885183908503,0.012536465483986618
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,2,1.0,0.003419512744799481,0.0129120601347347
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,3,-1.0,-0.0032803087302946863,0.011851707451482126
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,3,1.0,0.003719091773951542,0.012250510194241334
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,4,-1.0,-0.00343741768830895,0.011220337032669706
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,4,1.0,0.003540334596825766,0.011646514220429834
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,5,-1.0,-0.005228426526830793,0.010561934896076219
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,5,1.0,0.005056637928052304,0.010978079771888112
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,6,-1.0,-0.0075962978977336,0.010379743236351335
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,6,1.0,0.007400522869579486,0.010746288615368174
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,7,-1.0,-0.00860091131809889,0.010402435898247606
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,7,1.0,0.008487851270445566,0.01070665191481033
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,8,-1.0,-0.00928880829525344,0.010512598273380117
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,8,1.0,0.009189068321913631,0.01080213614444644
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,9,-1.0,-0.00951886565784621,0.010578561137260616
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,9,1.0,0.008974854376371454,0.010898844086527254
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,10,-1.0,-0.008076655186032759,0.01045246141228481
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,10,1.0,0.007189884811987627,0.010857358266888158
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,11,-1.0,-0.006120563544370598,0.010473329957410472
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,11,1.0,0.005180356416082457,0.010957645843330227
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,12,-1.0,-0.004642731807862363,0.010546864255944307
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,12,1.0,0.004025242615257212,0.011075642033470376
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,13,-1.0,-0.0008401071334315594,0.011009403338666342
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,13,1.0,0.00019481407751029668,0.011514252072834547
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,14,-1.0,-0.0017426704494418277,0.010529061505088158
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,14,1.0,0.00190664164144073,0.010926111205063415
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,15,-1.0,-0.0024652994423240582,0.009662434593925405
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,15,1.0,0.0027773274164354556,0.010016829986420504
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,16,-1.0,-0.0033529761178889973,0.009290472735440421
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,16,1.0,0.0034389001270437223,0.009635881534425171
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,17,-1.0,-0.003629093378970791,0.009322732313382157
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,17,1.0,0.0034472191733104576,0.009693200612860168
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,18,-1.0,-0.00041411082292193603,0.009862066113654078
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,18,1.0,-0.0003872946565905152,0.010267599155569343
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,19,-1.0,0.0016618309640925707,0.010464973216686166
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,19,1.0,-0.0026220347134608235,0.010888995802098511
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,20,-1.0,0.005128352700541572,0.011433706900946791
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,20,1.0,-0.006518607955906351,0.011805752617165426
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,21,-1.0,0.005311374788824656,0.01237585948573584
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,21,1.0,-0.007140585663202315,0.012705564339898357
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,22,-1.0,0.005351886960179793,0.013100496538624783
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,22,1.0,-0.00720231834864583,0.013399392846235057
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,23,-1.0,0.006113046075442903,0.01329952784170839
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,23,1.0,-0.00806390318205428,0.01361804454490469
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,24,-1.0,0.009469712080021533,0.014175547086850338
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,24,1.0,-0.012091490392126085,0.014592009978228944
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,25,-1.0,0.005431803550162774,0.014725048958802162
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,25,1.0,-0.007609440486301947,0.015075258617624284
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,26,-1.0,0.002627902857702046,0.014702757759284093
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,26,1.0,-0.004812757115364214,0.015023106284161822
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,27,-1.0,0.0017861396854818505,0.014180864370245544
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,27,1.0,-0.0039119012929699415,0.014509472175554445
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,28,-1.0,0.00237879266251972,0.01355123747978921
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,28,1.0,-0.0040635884749837415,0.013908762256611902
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,29,-1.0,0.007026551249579521,0.013448643289514227
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,29,1.0,-0.008537983118491924,0.013804557377778769
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,30,-1.0,0.008342245968190541,0.013261598483273056
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,30,1.0,-0.009340817805060722,0.01365433207143819
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,31,-1.0,0.00967138980431213,0.013134978832551122
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,31,1.0,-0.010408126061207017,0.01357142978231156
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,32,-1.0,0.010882852247140466,0.013220976428584719
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,32,1.0,-0.011616035176788426,0.01371311697716379
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,33,-1.0,0.010370858770100593,0.013187004168027283
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,33,1.0,-0.010949598779059721,0.013710145009733653
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,34,-1.0,0.011054624637307036,0.013124414913033861
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,34,1.0,-0.01161089629639951,0.013655433045293524
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,35,-1.0,0.011520059596427138,0.013443327149690097
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,35,1.0,-0.011998593139227888,0.013995449093795272
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,36,-1.0,0.012506020725933058,0.012964751769381323
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,36,1.0,-0.01320448530007205,0.01345451364470238
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,37,-1.0,0.008710648829503984,0.013007685176130655
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,37,1.0,-0.009171668338199875,0.013479560479685772
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,38,-1.0,0.0075737752126732675,0.012654020401122807
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,38,1.0,-0.008017258029312871,0.013123660629881066
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,39,-1.0,0.004764754082373905,0.012074965988138672
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,39,1.0,-0.005495623259268362,0.012539479524412147
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,40,-1.0,0.0039359324534166944,0.0114990128538133
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,40,1.0,-0.004500494483481205,0.011948207082807794
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,41,-1.0,0.004108002190584632,0.010665007378010079
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,41,1.0,-0.004500431939092308,0.011114842453157586
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,42,-1.0,0.002465889552382808,0.010052940822781338
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,42,1.0,-0.002443870695107937,0.01048364777992308
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,43,-1.0,0.003427219514060444,0.009872611168301366
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,43,1.0,-0.00330757542655698,0.010334517718813921
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,44,-1.0,0.0016733168213320488,0.010000657496041296
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,44,1.0,-0.001529613177520337,0.010511893243460359
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,0.0,45,-1.0,0.002795258898069026,0.010570799598915251
