draw,seed,categorical_lambda_0p00,fixed_lambda_0p00,restandardized_lambda_0p00,categorical_lambda_0p25,fixed_lambda_0p25,restandardized_lambda_0p25,categorical_lambda_0p50,fixed_lambda_0p50,restandardized_lambda_0p50,categorical_lambda_0p75,fixed_lambda_0p75,restandardized_lambda_0p75,categorical_lambda_1p00,fixed_lambda_1p00,restandardized_lambda_1p00
1,2026090551,0.01868731882602389,0.02467743805511063,0.019225417009638993,-0.011798004470025528,0.017162909580877832,0.01397731072019871,-0.028910300065278855,0.007910762855890912,0.007910762855891224,0.007498023726704021,0.003245268257673456,0.004127047540765381,0.013258981033967675,0.0011934658793545932,0.0018926835122285658
2,2026090551,0.019210157077312613,0.0067017568677177316,0.005221128311267396,0.04726261150241251,0.011973966911382958,0.009751485043086634,0.08050384834501632,0.01215146229353982,0.012151462293540322,0.06496007997138901,0.010433722433051785,0.013268693090791438,0.05370775663095801,0.008690915016599856,0.013782674345910568
3,2026090551,0.02441512246474724,0.028700973911058462,0.022360027438447765,0.08988944274955196,0.04449340164069135,0.03623500414075672,0.1297602112049953,0.03934137590531639,0.03934137590531804,0.13000491759744706,0.0311363301852243,0.03959645388807567,0.12931541250898454,0.024828140764385782,0.03937424058529819
4,2026090551,-0.05546627988237393,-0.02208609224264403,-0.0172065808666977,-0.01055240982654238,0.0008882826793957339,0.0007234089860333331,0.03509506608336974,0.0129724632583902,0.01297246325839075,0.0512752918210771,0.015326612264883709,0.019491041243353418,0.04383519859349659,0.014551688526700184,0.023077107964301458
5,2026090551,-0.018908631870242755,-0.01916444533320348,-0.014930417511997866,-0.022483525985544865,-0.017934322147164915,-0.014605541794985345,-0.04231299409270476,-0.01094607934527445,-0.010946079345274879,-0.05049150619178573,-0.006584308742687968,-0.008373346375881555,-0.03047165116836971,-0.004339609625490037,-0.0068820631823315465
6,2026090551,-0.012060428567520409,-0.006357157820867011,-0.004952662015777814,-0.07366393293259933,-0.017136922519002618,-0.013956147103573985,-0.07695010761303032,-0.018983846241454015,-0.01898384624145481,-0.06421321771955665,-0.016766137947122776,-0.021321703751054237,-0.044346966037108144,-0.014136269190666972,-0.02241830628293627
7,2026090551,-0.02151979381522119,-0.03186090350386869,-0.02482182934864633,-0.03090594461196749,-0.02699807099777369,-0.021986972861659,-0.023043921960357844,-0.016961674464162198,-0.016961674464162906,-0.021931230237144092,-0.011152895517729548,-0.01418327434412334,-0.04728701120715042,-0.008047370574357567,-0.012762095562478187
8,2026090551,0.061756448965346794,0.03496434674107436,0.027239624513110912,0.03543969771942279,0.03231089210918146,0.026313683966500717,0.03313084317480755,0.01903419523132015,0.01903419523132093,0.03436718885137177,0.01097551125512648,0.013957692596601455,0.02874639063411854,0.006962379861213465,0.011041439723705289
9,2026090551,-0.017043649079386897,-0.021479850995171964,-0.016734277349409403,-0.006820880626749112,-0.010876334108132142,-0.00885758330250924,0.0004713463334171334,-0.0002720393401726192,-0.000272039340172614,0.0035855840112834856,0.003637098514506307,0.004625342895561632,-0.013768610459203173,0.004538908433242539,0.007198125479517479
10,2026090551,-0.007680574367300375,0.009157201855470115,0.007134088389552032,0.01878515106658842,0.007380729645041188,0.006010796194222396,0.00634676675102401,0.0034849021253557074,0.003484902125355846,0.0017230418406843293,0.001669751125004574,0.002123443033666657,-0.017588922140405968,0.000960233686066419,0.0015228072263663616
11,2026090551,-0.042606486955057726,-0.010986170178122513,-0.008558980172154557,-0.061457430326457556,-0.019698146013528397,-0.01604198321651054,-0.05746223725721625,-0.016614917576734486,-0.01661491757673519,-0.04390013020215721,-0.012456262064388456,-0.0158407816051616,-0.02652572551220101,-0.009586638729825351,-0.015203177045537336
12,2026090551,0.0023582903889066698,-0.018499574375152324,-0.014412437428425778,-0.005345813907348441,-0.019700120308819125,-0.016043591063863077,-0.022918079733110414,-0.016151088355821096,-0.016151088355821748,-0.06175803517212475,-0.012572979458534944,-0.015989212550227252,-0.05659391141002983,-0.009924361742453185,-0.01573876234274492
13,2026090551,-0.048464255550435556,-0.027625066781565892,-0.021521821982032705,-0.030707585244284023,-0.03146929438399654,-0.02562829476422767,-0.04863754445145578,-0.02181820598445005,-0.021818205984450945,-0.06721308865267026,-0.014361880114754502,-0.018264179507571223,-0.07040463295154659,-0.010091255278597893,-0.016003434043564344
14,2026090551,0.0004817030193183455,-0.0008207600766674161,-0.0006394284002882904,-0.041433515819970776,-0.012120426954158955,-0.009870760712303792,-0.05215430807774328,-0.015620049163706672,-0.015620049163707322,-0.03982523534296162,-0.014112190183037339,-0.017946645751707443,-0.04903176426450709,-0.011841114664792526,-0.018778486155453283
15,2026090551,-0.04909361496032805,-0.011417073372846972,-0.008894683318926256,-0.0403643872673669,-0.01659053170193647,-0.013511171606336265,-0.011963953775288628,-0.01249632376036345,-0.012496323760363975,-0.018204470601689962,-0.008670181717992772,-0.011025976682397883,-0.0004095112236650461,-0.006350399148636007,-0.010070916959264447
16,2026090551,0.005953421732274016,0.00886986779737985,0.006910235448435409,-0.029064887823234416,0.00598666428703582,0.004875482593618403,0.0029522663596036718,0.0030316116053499247,0.0030316116053500514,0.018689891423337247,0.0010881066146971527,0.0013837585591454198,0.014097553442759592,6.27755056924811e-05,9.955388474192431e-05
17,2026090551,0.01755095680113577,0.00981178582889888,0.007644054206460861,0.04100008091851422,0.014860078546722787,0.012101906975348582,0.04766643965979779,0.013209975339730886,0.013209975339731467,0.06502108265062795,0.010287144406111318,0.013082288011895461,0.0336983586550034,0.008022515173446236,0.012722678090805628
