model_family,left,right,coefficient_difference,paired_bootstrap_se,ci_lower,ci_upper,paired_bootstrap_p_value,bootstrap_critical,mde80_difference,common_multiplier_draws,draws,seed,interpretation_if_ci_contains_zero
categorical_Q5_minus_Q1,lambda_0.00,lambda_0.25,-0.002059590718480983,0.03245702929609825,-0.06513927964767502,0.06102009821071305,0.9552,1.9434831313036103,0.09093113349980841,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.00,lambda_0.25,0.00677082023513198,0.007868157397152856,-0.008477464828437791,0.02201910529870175,0.3965,1.9379740762541764,0.02204331345764965,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.00,lambda_0.25,0.00691610818445736,0.006197737814938569,-0.0051451264463684785,0.018977342815283196,0.2733,1.9460704842586807,0.01736349064807166,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.00,lambda_0.50,0.029318250581284427,0.037940339859567074,-0.04446214644419327,0.10309864760676213,0.4512,1.9446424913052844,0.10629309532074536,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.00,lambda_0.50,-0.0011785564863308895,0.012777399040334937,-0.02589911491098248,0.023542001938320702,0.9292,1.9347097438700316,0.03579697227733319,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.00,lambda_0.50,0.007590771184633357,0.01033126330047195,-0.01238477690405481,0.027566319273321524,0.4701,1.9335048878074428,0.028943914547035213,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.00,lambda_0.75,0.03997396414638338,0.03940716835125813,-0.036972509727856415,0.11692043802062317,0.3163,1.9526009376865863,0.11040254034057398,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.00,lambda_0.75,-0.01013349331125983,0.015253545072445933,-0.039709772704684516,0.019442786082164855,0.518,1.9389774149519772,0.04273410639878443,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.00,lambda_0.75,0.00666738959696175,0.012849949743827567,-0.01832895212543132,0.03166373131935482,0.6173,1.9452482088033056,0.03600022925580183,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.00,lambda_1.00,0.05282989205028743,0.040013704739496656,-0.025369183187543096,0.13102896728811797,0.1905,1.9543072991349868,0.11210180372011065,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.00,lambda_1.00,-0.016687827066389473,0.016415366724798545,-0.048337222071065944,0.014961567938286999,0.314,1.9280345992431602,0.04598904876609909,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.00,lambda_1.00,0.005559303569356421,0.014342123413107179,-0.02233732375133812,0.03345593089005096,0.7104,1.94508348012122,0.040180680950512984,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.25,lambda_0.50,0.03137784129976541,0.01962698838249745,-0.004744987336442866,0.06750066993597369,0.1028,1.8404672144413734,0.05498668052847981,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.25,lambda_0.50,-0.00794937672146287,0.006532598616666988,-0.02026781777109467,0.004369064328168932,0.2388,1.8856877289541512,0.01830163172031946,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.25,lambda_0.50,0.0006746630001759971,0.0047032675091999,-0.008346637320299803,0.009695963320651797,0.8944,1.9180921142226217,0.013176604730605439,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.25,lambda_0.75,0.04203355486486436,0.02355640162754843,-0.003278301789999924,0.08734541151972865,0.0702,1.9235474658350862,0.06599526659167196,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.25,lambda_0.75,-0.01690431354639181,0.010108228419667109,-0.03627168962243601,0.0024630625296523864,0.091,1.916001031235305,0.028319063321848782,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.25,lambda_0.75,-0.00024871858749560966,0.007505417459502342,-0.014671865623598311,0.014174428448607092,0.9729,1.9216981752083715,0.02102706661030875,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.25,lambda_1.00,0.05488948276876841,0.026031408357974493,0.004556461893237371,0.10522250364429946,0.0331,1.9335496636743423,0.07292920886236372,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.25,lambda_1.00,-0.023458647301521453,0.01200156582320948,-0.046635615632911936,-0.00028167897013096563,0.0469,1.931162039420658,0.03362340940451348,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.25,lambda_1.00,-0.0013568046151009386,0.0091266490938511,-0.018840140214577725,0.016126530984375848,0.8928,1.9156357847981513,0.025569085192237356,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.50,lambda_0.75,0.010655713565098951,0.014707914057200547,-0.01732683764865947,0.03863826477885737,0.4967,1.902550633960158,0.041205474611928986,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.50,lambda_0.75,-0.008954936824928941,0.0038643583192470355,-0.016442930842916946,-0.0014669428069409365,0.0179,1.9377069617723828,0.01082632914469437,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.50,lambda_0.75,-0.0009233815876716067,0.002842685308636804,-0.006347864307048115,0.004501101131704902,0.7589,1.9082248403984587,0.007964025140423771,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.50,lambda_1.00,0.023511641469003003,0.020740387792665183,-0.016835429894014084,0.06385871283202009,0.2655,1.9453383305246486,0.05810596385786143,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_fixed_beta_scale,lambda_0.50,lambda_1.00,-0.015509270580058583,0.006069642526598899,-0.027461051566476206,-0.00355748959364096,0.0077,1.9691078896395497,0.017004620781749327,True,9999,2026090551,design does not detect a difference; not equivalence
continuous_lambda_restandardized,lambda_0.50,lambda_1.00,-0.0020314676152769356,0.00450394015540255,-0.010637733438837735,0.006574798208283864,0.6649,1.9108304121753135,0.01261817216264121,True,9999,2026090551,design does not detect a difference; not equivalence
categorical_Q5_minus_Q1,lambda_0.75,lambda_1.00,0.012855927903904052,0.015181371455789168,-0.015921544639740992,0.041633400447549096,0.428,1.8955779211021957,0.04253190586122109,True,9999,2026090551,design does not detect a difference; not equivalence
