left_lambda,right_lambda,pair_kind,changed_occupation_count,changed_occupation_share,changed_preperiod_employment_share,Q1_intersection_count,Q1_union_count,Q1_jaccard,Q5_intersection_count,Q5_union_count,Q5_jaccard
0.0,0.25,adjacent,256,0.5470085470085471,0.6024133159112989,71,172,0.4127906976744186,83,117,0.7094017094017094
0.0,0.5,nonadjacent|relative_to_beta,281,0.6004273504273504,0.6158568679364451,70,171,0.4093567251461988,71,125,0.568
0.0,0.75,nonadjacent,290,0.6196581196581197,0.6314804885831727,67,180,0.37222222222222223,64,135,0.4740740740740741
0.0,1.0,nonadjacent,307,0.655982905982906,0.6900813054511259,66,185,0.3567567567567568,49,146,0.3356164383561644
0.25,0.5,adjacent|relative_to_beta,113,0.24145299145299146,0.2549336696692484,126,134,0.9402985074626866,80,106,0.7547169811320755
0.25,0.75,nonadjacent,161,0.344017094017094,0.3404167066629965,123,143,0.8601398601398601,70,119,0.5882352941176471
0.25,1.0,nonadjacent,194,0.41452991452991456,0.4377515722648495,122,148,0.8243243243243243,54,131,0.4122137404580153
0.5,0.75,adjacent|relative_to_beta,62,0.13247863247863248,0.10182269317203191,126,138,0.9130434782608695,81,104,0.7788461538461539
0.5,1.0,nonadjacent|relative_to_beta,113,0.24145299145299146,0.255268289974658,124,144,0.8611111111111112,65,116,0.5603448275862069
0.75,1.0,adjacent,55,0.11752136752136752,0.16779363228096375,133,141,0.9432624113475178,78,106,0.7358490566037735
