analysis_status,bcc_version,grouping_name,conditioning_structure,row_event_bin,column_event_bin,occupation_cluster_covariance
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2017Q1,0.0032637638778349187
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2017Q2,0.002885583534058793
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2017Q3,0.002045965679145811
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2017Q4,0.0016946139297492335
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2018Q1,0.002219382136361558
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2018Q2,0.0028298089079188734
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2018Q3,0.0026104884223890007
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2018Q4,0.0024973719699662895
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2019Q1,0.0018839735862675251
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2019Q2,0.0020627095809969617
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2019Q3,0.0022971349729797837
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2019Q4,0.0021738714805111534
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2020Q1,0.0021108394369318126
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2020Q2,0.0017997110295145118
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2020Q3,0.001986319963610057
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2020Q4,0.0015256601170233475
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2021Q1,0.0018326536204694883
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2021Q2,0.0025295122357253752
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2021Q3,0.0022887228626631
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2021Q4,0.0020343123121424295
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2022Q1,0.0015375778346528686
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2022Q2,0.0014857702124744224
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2022Q3,0.0013717999589457105
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2023Q1,0.0012610626997045877
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2023Q2,0.001953469708464777
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2023Q3,0.001568011008389731
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2023Q4,0.0019476485486195376
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2024Q1,0.00195176576311203
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2024Q2,0.0014060578129741423
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2024Q3,0.0019484999540702276
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2024Q4,0.0019321550541066684
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2025Q1,0.001630458128356071
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2025Q2,0.0019650465540441385
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2025Q3,0.001857366749425873
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2025Q4,0.0015924395811667972
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2026Q1,0.0018052978189702145
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2026Q2,0.0016425885212689422
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q1,2026Q3,0.0017414988446785354
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2017Q1,0.002885583534058793
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2017Q2,0.004042618755347418
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2017Q3,0.002570148550110101
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2017Q4,0.0019705481464360876
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2018Q1,0.0026918572739595154
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2018Q2,0.0034188518535828486
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2018Q3,0.003133136098357524
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2018Q4,0.0029321989017661613
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2019Q1,0.0021172514033963603
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2019Q2,0.002090299268066295
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2019Q3,0.002395818867761649
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2019Q4,0.0024437057163058705
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2020Q1,0.002389072803748047
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2020Q2,0.0019963092157347065
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2020Q3,0.002536772685970776
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2020Q4,0.0018965592145537063
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2021Q1,0.0019189626341188796
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2021Q2,0.002838312960144609
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2021Q3,0.0024801260537800555
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2021Q4,0.002435878853286432
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2022Q1,0.001726861534875519
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2022Q2,0.001534081543914892
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2022Q3,0.001682419488711531
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2023Q1,0.001213751968916498
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2023Q2,0.0021254036153551025
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2023Q3,0.00151678635048633
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2023Q4,0.0020620981141388295
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,2017Q2,2024Q1,0.0018923553657025807
