analysis_status,bcc_version,grouping_name,conditioning_structure,occupation_code,occupation_name,SOC2,high_group,corrected_calendar_stock,conditional_target_information,conditional_target_information_share
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0010,Chief executives,11,True,171440317.4175,116600.6686467015,0.002115003820182908
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0020,General and operations managers,11,True,128683023.4307,487956.72308699746,0.008850981262723042
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0040,Advertising and promotions managers,11,True,6214499.8188,54249.45758501898,0.0009840236026674928
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0051,Marketing managers,11,True,64322427.6784345,464904.8811880366,0.008432847008053536
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0052,Sales managers,11,False,59227032.69026551,63553.08215492028,0.0011527807953600191
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0060,Public relations and fundraising managers,11,True,11613808.5136,61957.72816208878,0.0011238428842095575
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0101,Administrative services managers,11,False,7871985.86724693,7263.178686704723,0.00013174581970534977
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0102,Facilities managers,11,False,13159285.260953069,4991.546796154037,9.054099487607178e-05
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0110,Computer and information systems managers,11,True,76519369.31220001,151348.9071585046,0.0027452974372784685
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0120,Financial managers,11,True,142452400.4271,510672.43243640417,0.009263018454359841
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0135,Compensation and benefits managers,11,True,1968710.4224,7131.489336021108,0.00012935712431444104
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0136,Human resources managers,11,True,33274817.296100006,84023.64661099704,0.0015240936062418079
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0137,Training and development managers,11,True,6320852.2958,29073.662680244004,0.0005273632505636992
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0140,Industrial production managers,11,False,31078734.451700002,22913.644458844945,0.00041562750992115284
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0150,Purchasing managers,11,True,24376208.797699995,80673.88144485767,0.0014633326671723492
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0160,"Transportation, storage, and distribution managers",11,True,36854463.70339999,180165.18439731837,0.003267992007994938
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0205,"Farmers, ranchers, and other agricultural managers",11,False,71905187.52819999,60926.856835951956,0.001105144048103371
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0220,Construction managers,11,False,114784316.58469999,110003.72553922114,0.0019953427578940945
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2026-08-12,historical_YAX_employment_weighted_approximation,occupation_plus_calendar_month_FE,0300,Architectural and engineering managers,11,False,19226673.1337,4924.855948444725,8.933129857403929e-05
