analysis_status,contrast,support_occupations,support_hash_sha256,coefficient_difference,paired_se,paired_ci_lower,paired_ci_upper,paired_p_value,normal_theory_mde80,common_occupation_multipliers,draws
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_computer_use_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.12474476277347084,0.04440410513301073,-0.21104809094550425,-0.03844143460143744,0.0034,0.12440188456417703,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_remotability_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.012866726112264124,0.020202519323960607,-0.052458267951797435,0.02672481572726919,0.5302,0.056599079506649635,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_wage_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.011678281501661128,0.008984007873940603,-0.02918757607108456,0.005831013067762306,0.1905,0.025169463659042508,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_education_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.010017687483308155,0.008469002778803877,-0.026659135738545107,0.006623760771928798,0.2382,0.023726632997254596,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_routine_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,0.012065908019351132,0.018387590591223746,-0.023654544686018082,0.047786360724720346,0.5069,0.05151440199708554,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_manual_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,0.0014987423600001937,0.04181566192649654,-0.07966348144287388,0.08266096616287427,0.9713,0.11715014033888196,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_pandemic_total_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,0.0035571632908923123,0.005764348808069143,-0.007192285539286726,0.01430661212107135,0.5644,0.01614931441273362,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_pandemic_young_relative_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.00015825866230864682,0.0014465325466658996,-0.002981993413534834,0.0026654760889175404,0.9129,0.004052584200258492,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,one_at_a_time_SOC2_post_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,0.12096315801658672,0.0584168562961313,0.007221980671868661,0.23470433536130478,0.0374,0.16365980108787095,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,cumulative_computer_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.12474476277347084,0.04440410513301073,-0.21104809094550425,-0.03844143460143744,0.0034,0.12440188456417703,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,cumulative_computer_remote_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.1258371873478531,0.04334042625699137,-0.2101219907590568,-0.04155238393664938,0.0026,0.12142189754830218,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,cumulative_human_task_block_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.10957778843848708,0.0583983467556791,-0.2214358524483019,0.002280275571327761,0.0548,0.16360794503294598,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,cumulative_plus_pandemic_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-0.10276328393130148,0.05745469225994496,-0.2122753691404982,0.006748801277895233,0.0681,0.16096421654669138,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,cumulative_plus_pandemic_SOC2_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,0.016844684980530114,0.06844211919049238,-0.11633824426248417,0.15002761422354438,0.806,0.19174642942040937,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,parsimonious_combined_SOC2_minus_common_support_baseline,341,fc09fa90e049425def089510cc9e73b9e753e4734e8db0248e08c6087fec451b,-4.133501203401613e-06,0.06472612162521647,-0.12543509933049785,0.12542683232809104,0.9999,0.1813357455709886,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_computer_use_augmented_minus_support_specific_computer_use_baseline,455,ea68bb5116f6284ace4c2ef3b35f7540308d196361d6d100f0d505fac44d3ee0,-0.1008550338521072,0.03841902616000756,-0.17647364715285502,-0.025236420551359398,0.0069,0.10763417578417261,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_remotability_augmented_minus_support_specific_remotability_baseline,408,12e4bdcdc7958ec8a52b06762585d4887743963ddcbca7de1223b2eea44a5aca,-0.007194337932102543,0.020609817913983218,-0.04750986208633462,0.033121186222129534,0.7299,0.05774016121581524,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_wage_augmented_minus_support_specific_wage_baseline,457,f48d5e814f8926588f309a3003ccc46c2c03d29ed01db27def719fc3e0a696e5,-0.01721200855542626,0.013722955020937533,-0.0437291299791625,0.009305112868309977,0.2117,0.03844602793548773,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_education_requirement_augmented_minus_support_specific_education_requirement_baseline,404,61669f2832f2943d20ca02b2d8af6092d1336086add60d27c69df8cce1d115ec,-0.005443989487424958,0.010949580960037855,-0.02710875098137703,0.016220772006527114,0.6225,0.03067618416217326,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_routine_task_intensity_augmented_minus_support_specific_routine_task_intensity_baseline,449,3fe0a6d3cfecdc5fbf697cdd0af06df6d30fcf345d0c8b6c3882febe008e1fbe,0.007989679389584503,0.009641609862723208,-0.010724780731602348,0.026704139510771354,0.4098,0.027011791670217545,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_manual_physical_augmented_minus_support_specific_manual_physical_baseline,455,1954f53572f4279eb0c6471ae015caf7b03f12f1b84f86fce4b01ecb7eabc99a,-0.0019173143578556373,0.04657544455586432,-0.09242019828666785,0.08858556957095658,0.9685,0.1304850769947496,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_pandemic_total_shortfall_augmented_minus_support_specific_pandemic_total_shortfall_baseline,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.0004512333085344433,0.000477179729229497,-0.0013780949248614522,0.0004756283077925656,0.3515,0.0013368596757925074,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_pandemic_young_relative_shortfall_augmented_minus_support_specific_pandemic_young_relative_shortfall_baseline,458,f678664423ded1dde48cfdc5a1760a71e79683bbd62ac1d7a4c49c7a3dc39708,0.003434558812554195,0.004277573494906137,-0.00474379351123352,0.01161291113634191,0.4374,0.011983986672720862,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,support_specific_SOC2_post_augmented_minus_support_specific_SOC2_post_baseline,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,0.11051046616066812,0.052143431458396665,0.007997795869897906,0.21302313645143833,0.0313,0.14608426679553083,True,9999
