support,quintile,occupations,primary_employment_weight,primary_employment_share
primary_native,1,129,1684919102.673122,0.20059112879573954
primary_native,2,99,1676326686.709814,0.19956819397683456
primary_native,3,82,1693638730.7520127,0.2016292083309818
primary_native,4,67,1705745855.718936,0.20307057240581083
primary_native,5,91,1639138411.4730093,0.19514089649063324
characteristic_common,1,106,1232782311.7873862,0.1467638387436735
characteristic_common,2,77,1366878611.4475682,0.16272812336332865
characteristic_common,3,53,1412453733.7233417,0.16815388250381055
characteristic_common,4,50,1472172871.5833087,0.1752634993720829
characteristic_common,5,55,963897335.0081161,0.11475284134753698
