occupation_code,preperiod_mean_total_employment,total_employment_shortfall,young_relative_shortfall,preperiod_positive_age_cells,pandemic_positive_age_cells,negative_total_trend_predictions,out_of_bounds_young_share_predictions,total_preperiod_zero_months,total_pandemic_zero_months
0010,1432086.689566667,-0.11403465151485466,0.0013182049029765088,36,35,0,0,0,0
0020,1001484.792061111,0.008084550523119531,-0.015488381328956859,36,35,0,0,0,0
0040,51669.6314,-0.596568944670607,0.21633104860228317,36,35,0,0,0,0
0051,555467.6486439114,0.0633173844221399,-0.00061089853888271,36,35,0,0,0,0
0052,530066.157578311,0.1299195871679023,0.039463062613902644,36,35,0,0,0,0
0060,68817.17579444444,-0.6599804640885107,-0.09799119557899144,36,35,0,35,0,0
0101,61201.79176786499,0.26780457891304216,0.04319379118039493,36,35,0,0,0,0
0102,95685.65188213499,-0.07419614889402916,0.056252667066484595,36,35,0,0,0,0
0110,622512.560713889,-0.09716888310502036,-0.011483929680326029,36,35,0,0,0,0
0120,1152565.395127778,-0.05864763767733753,-0.007638484858629049,36,35,0,0,0,0
0135,20319.068749999995,0.6085555032714507,0.16976289388150678,36,35,0,0,0,0
0136,311481.1964194445,0.11193096819795707,0.0024306342000344912,36,35,0,0,0,0
0137,53998.25977777778,-0.634646043188578,-0.031887491601215866,36,35,0,0,0,0
0140,263913.8328694444,0.02442231593449694,-0.01965239695128068,36,35,0,14,0,0
0150,209042.86647222223,0.15493419911296136,-0.0009692475154059618,36,35,0,1,0,0
0160,281405.97935555555,-0.12067146178885484,0.022774903418592653,36,35,0,0,0,0
0205,723773.0173555554,0.01564329448955747,-0.01011941019954767,36,35,0,0,0,0
0220,968094.1333055554,-0.04578336150255749,0.0026439069291339487,36,35,0,0,0,0
0300,143521.14207222225,-0.0017008621203479489,-0.009423323015868647,36,35,0,0,0,0
0310,1198743.3217666668,0.1526127376270566,-0.014789564205978798,36,35,0,0,0,0
0335,79120.36766496889,0.6059466441860267,0.032848575532715765,36,35,0,0,0,0
0340,146410.91269166663,0.2500944981090493,-0.020117487954945668,36,35,0,0,0,0
0350,634716.815475,-0.1637400148008606,-0.0056816614413136915,36,35,0,0,0,0
0360,12839.020091666665,-0.7594030961906306,0.018062316094493224,36,35,0,0,0,0
0410,647765.0491194443,-0.06398654163504444,0.006975924804344641,36,35,0,0,0,0
0420,405106.8243888889,0.29776113307158336,-0.03157251618548705,36,35,0,0,0,0
0425,8983.781155555556,-0.9951582224942852,-0.12005757007254901,33,34,0,34,3,1
0426,27427.103142433334,1.251379245840616,nan,36,0,0,0,0,35
0440,3845736.978954861,-0.020463725346247262,-0.009915697748693547,36,35,0,0,0,0
0500,47366.75851944445,0.01973054597697523,0.02364082461751408,36,35,0,0,0,0
0510,11735.338744444445,0.9443036937874323,-0.06305689432995035,35,30,0,0,1,5
0520,189473.27039999998,0.3372061544234532,0.07182776806575115,36,35,0,0,0,0
0530,248398.96388055556,0.1038853747184865,-0.014245021055297047,36,35,0,0,0,0
0540,326306.9589194445,-0.15124995704420052,-0.01241682405513022,36,35,0,0,0,0
0565,267734.8361055555,0.13685449991059012,0.018590224998254152,36,35,0,0,0,0
0600,111995.137075,-0.014949793853848564,-0.04312327692194045,36,35,0,11,0,0
0630,699630.7732527778,-0.16513239436605187,-0.027156744592217993,36,35,0,0,0,0
0640,49092.21078333333,-0.5352068972068649,0.055056062121771034,36,35,0,0,0,0
0650,119740.95358888891,-0.38260905717349963,-0.11293182820052491,36,35,0,35,0,0
0700,129025.06441666668,0.299324856609375,-0.026317199948643656,36,35,0,0,0,0
0710,858646.3419444445,-0.08670095150997005,-0.020756335700296856,36,35,0,0,0,0
0725,132204.02708333335,0.18825724705769042,0.08873981795434074,36,35,0,0,0,0
0726,85241.39748333333,0.17219413179836007,0.08359035533901986,36,35,0,0,0,0
0735,346119.02443888894,-0.06153518883457712,-0.01901221683086986,36,35,0,0,0,0
0750,231112.97285792246,-0.8720383544737771,0.021849769677221593,36,35,0,0,0,0
0800,1774551.9373166666,0.25281278411222124,-0.024204706426725734,36,35,0,0,0,0
0810,78994.9620972222,-0.14697597916283536,-0.030964927479300856,36,35,0,0,0,0
0820,50324.4077,-0.1688421706931753,0.015323031768461452,36,35,0,0,0,0
0830,27113.93981111111,-0.4075705556938601,0.10993893244185805,36,35,0,0,0,0
0845,306173.79417959886,-0.005972447563832674,0.049932460384752096,36,35,0,0,0,0
0850,500273.7122777777,0.11933826154208284,0.032116284999664534,36,35,0,0,0,0
0860,106636.09394444445,0.014929591363577747,0.07394978039473381,36,35,0,0,0,0
0900,15537.137852777778,0.611366530250577,-0.08268978512615881,36,35,0,31,0,0
0910,354444.6305916667,0.06005391671690573,-0.009645180725286504,36,35,0,0,0,0
0930,51275.50091111111,-0.5494171689489648,-0.06288452844751263,36,35,0,30,0,0
0940,86833.01915555555,-0.3540658424050528,0.03370124856380489,36,35,0,0,0,0
