month,observed_in_source,retained_in_static_model,reason
2017-01,True,True,retained static month
2017-02,True,True,retained static month
2017-03,True,True,retained static month
2017-04,True,True,retained static month
2017-05,True,True,retained static month
2017-06,True,True,retained static month
2017-07,True,True,retained static month
2017-08,True,True,retained static month
2017-09,True,True,retained static month
2017-10,True,True,retained static month
2017-11,True,True,retained static month
2017-12,True,True,retained static month
2018-01,True,True,retained static month
2018-02,True,True,retained static month
2018-03,True,True,retained static month
2018-04,True,True,retained static month
2018-05,True,True,retained static month
2018-06,True,True,retained static month
2018-07,True,True,retained static month
2018-08,True,True,retained static month
2018-09,True,True,retained static month
2018-10,True,True,retained static month
2018-11,True,True,retained static month
2018-12,True,True,retained static month
2019-01,True,True,retained static month
2019-02,True,True,retained static month
2019-03,True,True,retained static month
2019-04,True,True,retained static month
2019-05,True,True,retained static month
2019-06,True,True,retained static month
2019-07,True,True,retained static month
2019-08,True,True,retained static month
2019-09,True,True,retained static month
2019-10,True,True,retained static month
2019-11,True,True,retained static month
2019-12,True,True,retained static month
2020-01,True,True,retained static month
2020-02,True,True,retained static month
2020-03,True,True,retained static month
2020-04,True,True,retained static month
2020-05,True,True,retained static month
2020-06,True,True,retained static month
2020-07,True,True,retained static month
2020-08,True,True,retained static month
2020-09,True,True,retained static month
2020-10,True,True,retained static month
2020-11,True,True,retained static month
2020-12,True,True,retained static month
2021-01,True,True,retained static month
2021-02,True,True,retained static month
2021-03,True,True,retained static month
2021-04,True,True,retained static month
2021-05,True,True,retained static month
2021-06,True,True,retained static month
2021-07,True,True,retained static month
2021-08,True,True,retained static month
2021-09,True,True,retained static month
2021-10,True,True,retained static month
2021-11,True,True,retained static month
2021-12,True,True,retained static month
2022-01,True,True,retained static month
2022-02,True,True,retained static month
2022-03,True,True,retained static month
2022-04,True,True,retained static month
2022-05,True,True,retained static month
2022-06,True,True,retained static month
2022-07,True,True,retained static month
2022-08,True,True,retained static month
2022-09,True,True,retained static month
2022-10,True,True,retained static month
2022-11,True,True,retained static month
2022-12,True,False,observed transition month excluded from static model
2023-01,True,True,retained static month
2023-02,True,True,retained static month
2023-03,True,True,retained static month
2023-04,True,True,retained static month
2023-05,True,True,retained static month
2023-06,True,True,retained static month
2023-07,True,True,retained static month
2023-08,True,True,retained static month
2023-09,True,True,retained static month
2023-10,True,True,retained static month
2023-11,True,True,retained static month
2023-12,True,True,retained static month
2024-01,True,True,retained static month
2024-02,True,True,retained static month
2024-03,True,True,retained static month
2024-04,True,True,retained static month
2024-05,True,True,retained static month
2024-06,True,True,retained static month
2024-07,True,True,retained static month
2024-08,True,True,retained static month
2024-09,True,True,retained static month
2024-10,True,True,retained static month
2024-11,True,True,retained static month
2024-12,True,True,retained static month
2025-01,True,True,retained static month
2025-02,True,True,retained static month
2025-03,True,True,retained static month
2025-04,True,True,retained static month
2025-05,True,True,retained static month
2025-06,True,True,retained static month
2025-07,True,True,retained static month
2025-08,True,True,retained static month
2025-09,True,True,retained static month
2025-10,False,False,source survey month absent; never interpolated
2025-11,True,True,retained static month
2025-12,True,True,retained static month
2026-01,True,True,retained static month
2026-02,True,True,retained static month
2026-03,True,True,retained static month
2026-04,True,True,retained static month
2026-05,True,True,retained static month
2026-06,True,True,retained static month
2026-07,True,True,retained static month
