analysis_status,parent_model,omitted_SOC2,omitted_SOC2_name,target,remaining_occupations,omitted_preperiod_stock_share,quintiles_recomputed,continuous_center_and_scale_recomputed,coefficient,occupation_cluster_se,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,pointwise_critical,wild_score_p_value,bootstrap_draws,normal_theory_MDE80,movement_from_parent,paired_movement_se,paired_movement_ci_lower,paired_movement_ci_upper,paired_movement_MDE80,nuisance_adjusted_fisher_information,effective_occupation_information_count,top_five_occupation_information_share,treatment_contract
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,11,Management,Q2_x_post,439,0.1355636987108838,False,False,-0.024930160314427935,0.051939719911632445,0.05175308742929534,-0.12281064139577827,0.0729503207669224,1.884501519220341,0.6554,9999,0.14551355153735726,0.0006600687820222315,0.0011761984814623488,-0.00162997024689766,0.002950107810942123,0.0032952202792318366,20183841.827084333,35.5693466091814,0.29213171828040707,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,11,Management,Q3_x_post,439,0.1355636987108838,False,False,0.011689197997738513,0.05317327500011973,0.05309861631118918,-0.09126221411065111,0.11464061010612814,1.9361495433214864,0.8327,9999,0.14896946123899127,-0.004392624698700156,0.006680743849380271,-0.017420755099180216,0.008635505701779901,0.0187166732144229,12455321.1870951,44.840887796478064,0.25340122062083736,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,11,Management,Q4_x_post,439,0.1355636987108838,False,False,-0.004109795666149455,0.06412157394523216,0.06412237834203993,-0.12720986869312442,0.11899027736082551,1.9197918181502815,0.9557,9999,0.17964205372710007,0.00990162780738766,0.016153365116486594,-0.021469703101435055,0.041272958716210374,0.045255028933130506,8075541.882897411,27.6710355775371,0.35147743066223697,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,11,Management,Q5_x_post,439,0.1355636987108838,False,False,-0.014965980027257674,0.07273083906122291,0.07223358954699428,-0.15513663037079659,0.1252046703162812,1.9272519353935533,0.8387,9999,0.20376164361487537,0.006633004604265065,0.009255117037937292,-0.011192244288414964,0.024458253496945095,0.0259289990853906,7533121.977928951,45.37160776276417,0.24173434433036445,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,13,Business and Financial Operations,Q2_x_post,440,0.06216870757989009,False,False,-0.02402915927498756,0.05195327183174489,0.05180074822399564,-0.12192672539632282,0.07386840684634771,1.8843388042698235,0.6673,9999,0.14555151839642133,0.001561069821462608,0.0010925004717318241,-0.0005556284434709673,0.0036777680863961833,0.0030607331723853234,20196663.572954223,35.58707495018718,0.29227959083547234,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,13,Business and Financial Operations,Q3_x_post,440,0.06216870757989009,False,False,0.012192626900100511,0.05311059959805451,0.052949591628079044,-0.09035357245014065,0.11473882625034167,1.9308047758134803,0.825,9999,0.1487938707590261,-0.0038891957963381584,0.0038832495984305634,-0.011354198323359195,0.003575806730682878,0.010879254673206187,12701951.563744003,46.31673188665475,0.24176879663361922,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,13,Business and Financial Operations,Q4_x_post,440,0.06216870757989009,False,False,-0.022409384601203817,0.061383208468043134,0.061305757240074484,-0.14165031882215684,0.09683154961974921,1.9425660078200595,0.7261,9999,0.17197028948441642,-0.0083979611276667,0.010083000306999816,-0.02782854821088533,0.011032625955551928,0.028248384614319208,8747555.521038417,34.225385599984975,0.30811598336192525,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,13,Business and Financial Operations,Q5_x_post,440,0.06216870757989009,False,False,0.010502729531306144,0.07326655526320018,0.07262981825693782,-0.13191907206448417,0.15292453112709647,1.9438855980625713,0.8865,9999,0.20526249820743853,0.03210171416282888,0.01661634956311305,-0.00018168022091902963,0.06438510854657678,0.046552119315015406,7299370.847485625,47.92536956076169,0.23507782372708635,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,15,Computer and Mathematical,Q2_x_post,453,0.04312396668008975,False,False,-0.025940228505707895,0.05177700587711804,0.05159919645339745,-0.12367859809912332,0.07179814108770755,1.8876790563242907,0.6407,9999,0.1450576943034822,-0.00034999940925772854,0.0012615644154459259,-0.002715830974361344,0.002015832155845887,0.0035343802180106336,20206543.47176002,35.649169731064525,0.29216419673807686,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,15,Computer and Mathematical,Q3_x_post,453,0.04312396668008975,False,False,0.014375169176886167,0.05302599569804832,0.05292159291649903,-0.08746643162569478,0.11621676997946712,1.9205976137158955,0.7939,9999,0.14855684572337402,-0.0017066535195525024,0.0016750858875929071,-0.004949516844034297,0.0015362098049292918,0.00469289586174993,12803630.687725067,46.87325230131949,0.24115965599506656,rebuilt_corrected_preperiod_weight
