analysis_status,model_id,target,occupation_code,SOC2,conditional_information,conditional_information_share,full_sample_stock,occupation_name,treatment_contract
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0010,11,287.72541305453564,9.526332660199278e-06,171440317.4175,Chief executives,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0020,11,61.36203625694926,2.0316424742784577e-06,128683023.4307,General and operations managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0040,11,222.39993809498276,7.363464253673556e-06,6214499.8188,Advertising and promotions managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0051,11,1886.3602874583773,6.245571228674048e-05,64322427.6784345,Marketing managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0052,11,1731.483195707827,5.732786945284975e-05,59227032.69026551,Sales managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0060,11,363.2569509730032,1.2027114738879954e-05,11613808.5136,Public relations and fundraising managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0101,11,22.89948628276142,7.581816349183851e-07,7871985.86724693,Administrative services managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0102,11,15.719211995287363,5.204491359785423e-07,13159285.260953069,Facilities managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0110,11,19.155330669530837,6.342159708342522e-07,76519369.31220001,Computer and information systems managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0120,11,1577.8547170118902,5.224136708727513e-05,142452400.4271,Financial managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0135,11,41.69185092767639,1.3803801233268306e-06,1968710.4224,Compensation and benefits managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0136,11,491.2666368553617,1.6265401647557794e-05,33274817.296100006,Human resources managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0137,11,170.58148020977112,5.647801175767095e-06,6320852.2958,Training and development managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0140,11,71.18798507766142,2.356970905210121e-06,31078734.451700002,Industrial production managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0150,11,336.2278705801551,1.1132205913872077e-05,24376208.797699995,Purchasing managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0160,11,1028.943581504778,3.406740733093846e-05,36854463.70339999,"Transportation, storage, and distribution managers",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0205,11,6404.275276922506,0.0002120398615046559,71905187.52819999,"Farmers, ranchers, and other agricultural managers",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0220,11,345.15173101119194,1.1427667000109645e-05,114784316.58469999,Construction managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0300,11,15.472253015530013,5.122725436865503e-07,19226673.1337,Architectural and engineering managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0310,11,915.8532813544437,3.0323088021647314e-05,119978125.5124,Food service managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0335,11,41.75786504270012,1.3825657919937325e-06,6975227.33708576,Entertainment and recreation managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0340,11,41.11896101884475,1.361412247701027e-06,13593588.119,Lodging managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0350,11,1896.7190957455807,6.279868322093608e-05,82363348.4298,Medical and health services managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0360,11,2.916131870564103,9.655053401465579e-08,3002413.6141000004,Natural sciences managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0410,11,2168.3786117738914,7.179308831195913e-05,76497553.26590002,"Property, real estate, and community association managers",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0420,11,175.91004464421067,5.824225207502367e-06,46347466.3333,Social and community service managers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0425,11,14.629117289238437,4.843570692726517e-07,1594162.2488999998,Emergency management directors,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0426,11,0.02880403910967176,9.53676130318437e-10,981869.7754152,"Personal service managers, all other",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0440,11,213.57180359568258,7.0711725679427064e-06,526509812.582468,"Managers, all other",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0500,13,426.202987121512,1.4111202041512367e-05,4904619.6255,"Agents and business managers of artists, performers, and athletes",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0510,13,12.948853967077687,4.287250443023688e-07,1050889.1360000002,"Buyers and purchasing agents, farm products",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0520,13,5.7946672828287955,1.9185628271541367e-07,18790263.7893,"Wholesale and retail buyers, except farm products",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0530,13,462.04194357060516,1.5297798031431908e-05,28442604.5365,"Purchasing agents, except wholesale, retail, and farm products",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0540,13,15.497197921076772,5.130984473350773e-07,38217807.084300004,"Claims adjusters, appraisers, examiners, and investigators",rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0565,13,987.276323656897,3.268784146262228e-05,31776459.009400003,Compliance officers,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0600,13,9.090976054892842,3.0099413599034564e-07,13642513.1875,Cost estimators,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,Q2_x_post,0630,13,6683.195698473555,0.00022127466872314336,92223189.1204,Human resources workers,rebuilt_corrected_preperiod_weight
