analysis_status,model_id,structure,target,support_occupations,support_hash_sha256,SOC2_groups,SOC2_post_reference,coefficient,occupation_cluster_se,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,pointwise_critical,wild_score_p_value,bootstrap_draws,normal_theory_MDE80,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical,treatment_contract
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,baseline,Q2_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.07844368937430846,0.039261675416783125,0.03895071635142459,-0.15461157118868862,-0.002275807559928303,1.94000589648349,0.0432,9999,0.10999492948600892,-0.17160111677592732,0.014713738027310394,2.372731841234595,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,baseline,Q3_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.049977131695923285,0.03720952215963776,0.037036460108868526,-0.12243198798922855,0.02247772459738198,1.9472127586711965,0.181,9999,0.10424564725548809,-0.13826534972122007,0.03831108632937348,2.372731841234595,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,baseline,Q4_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.08959902286686415,0.03545340303333442,0.035232843323006455,-0.15781677751685286,-0.02138126821687543,1.9241525160743587,0.0088,9999,0.09932572986999118,-0.1737204411241799,-0.005477604609548409,2.372731841234595,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_baseline,baseline,Q5_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.13210945079219036,0.045173895228400755,0.04489087772362788,-0.22033000144181164,-0.043888900142569076,1.952909976073021,0.0019,9999,0.1265585171164715,-0.23929499039321236,-0.024923911191168352,2.372731841234595,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,SOC2_x_post,Q2_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,11,-0.025590229096450166,0.05187974811435453,0.051705621843207414,-0.12354980101814791,0.07236934282524757,1.8882044628623293,0.6461,9999,0.14534553543659978,-0.14346984915468675,0.09228939096178643,2.2721702464399716,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,SOC2_x_post,Q3_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,11,0.01608182269643867,0.053079154881598395,0.05295592395970193,-0.08596742715227124,0.11813107254514857,1.9225861842817051,0.7705,9999,0.14870577570621488,-0.10452305373170818,0.13668669912458553,2.2721702464399716,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,SOC2_x_post,Q4_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,11,-0.014011423473537116,0.06106879368194673,0.06099468945911769,-0.13161438587592592,0.10359153892885169,1.9257456273801394,0.8228,9999,0.1710894296673326,-0.1527701194636378,0.12474727251656356,2.2721702464399716,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post,SOC2_x_post,Q5_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,11,-0.02159898463152274,0.0715992885003936,0.07106613018036384,-0.15950616119636418,0.1163081919333187,1.9260970248898959,0.7681,9999,0.20059150829010855,-0.1842847576283887,0.14108678836534322,2.2721702464399716,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month,SOC2_x_calendar_month,Q2_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.024705555716542614,0.05214475712429229,0.0519541010512084,-0.12282394838819896,0.07341283695511375,1.8816540354724687,0.658,9999,0.14608798076150817,-0.1431168343975872,0.093705722964502,2.27081849089448,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month,SOC2_x_calendar_month,Q3_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,0.016929138493100997,0.05336754393387442,0.053233327499994265,-0.08585123462024327,0.11970951160644527,1.9258966318685249,0.761,9999,0.149513722212137,-0.10425886708556456,0.13811714407176656,2.27081849089448,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month,SOC2_x_calendar_month,Q4_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.012556975751149028,0.06097376914126973,0.06091367837265386,-0.13024863938838513,0.10513468788608707,1.9302015488751736,0.841,9999,0.17082321031881392,-0.15101733817667556,0.1259033866743775,2.27081849089448,rebuilt_corrected_preperiod_weight
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month,SOC2_x_calendar_month,Q5_x_post,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,22,,-0.02167495201824596,0.07132258234981989,0.07079107584001455,-0.15953779176517702,0.1161878877286851,1.9329479556803961,0.7668,9999,0.1998162924289003,-0.18363559083656122,0.1402856868000693,2.27081849089448,rebuilt_corrected_preperiod_weight
