analysis_status,treatment_contract,structure,grid,variant,onset,first_month,last_month,months,status,error_type,message,transition_month_excluded,october_2025_present,late_2025_Nov_Dec_present,simultaneous_grid_critical,simultaneous_ci_lower,simultaneous_ci_upper,paired_comparison_reference,difference_vs_reference,paired_se_vs_reference,paired_ci_lower_vs_reference,paired_ci_upper_vs_reference,paired_p_value_vs_reference,paired_MDE80_vs_reference,common_occupation_multipliers_for_pair,coefficient,occupation_cluster_se,bootstrap_se,ci_lower,ci_upper,wild_score_p_value,critical,normal_theory_MDE80
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,post_2020_coding_stable_through_2026_07,2023-01,2020-01,2026-07,77,FAILED_REPORTED_NOT_SUBSTITUTED,RuntimeError,grouped-binomial model did not converge,,,,,,,,,,,,,,,,,,,,,,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,through_2024_12,2023-01,2017-01,2024-12,95,PASS,,,True,False,False,2.1207781926178546,-0.2090231221861174,-0.017923751548301975,full_through_2026_07,0.02108051670608445,0.01448162188216306,-0.007418141598603854,0.04957917501077275,0.1473,0.04057149779936933,True,-0.11347343686720969,0.04505406819605341,0.04463710292572666,-0.2018338059605299,-0.02511306777388947,0.0088,1.9612073366786509,0.12622281147391684
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,through_2025_09,2023-01,2017-01,2025-09,104,PASS,,,True,False,False,2.1207781926178546,-0.20548835927769665,-0.017886387542024526,full_through_2026_07,0.022866580163433542,0.008706169534300293,0.005917194209679448,0.039815966117187636,0.0074,0.024391075873681167,True,-0.1116873734098606,0.044229512635665894,0.04381902782563071,-0.19790752840923245,-0.02546721841048874,0.0096,1.9493806253213257,0.12391274880442232
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,through_2025_12_actual_gap,2023-01,2017-01,2025-12,106,PASS,,,True,False,True,2.1207781926178546,-0.20620337833582086,-0.02075136280920266,full_through_2026_07,0.021076583000782384,0.007854983615780315,0.005756055706252346,0.036397110295312424,0.0067,0.022006405986489688,True,-0.11347737057251175,0.04372263355313438,0.04332279029207087,-0.19822247157215478,-0.02873226957286873,0.0082,1.9382432875790903,0.12249268385943138
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,full_excluding_September_and_November_2025,2023-01,2017-01,2026-07,111,PASS,,,True,False,True,2.1207781926178546,-0.23173902304579722,-0.0404660563090172,full_through_2026_07,-0.00154858610411307,0.0029872574007225546,-0.0074120467963523515,0.004314874588126212,0.6129,0.008369056176562877,True,-0.1361025396774072,0.04509499564890276,0.04473820524806609,-0.2237230613373563,-0.04848201801745812,0.0017,1.9430209582929865,0.12633747322083458
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,full_through_2026_07_excluding_late_2025,2023-01,2017-01,2026-07,111,PASS,,,True,False,False,2.1207781926178546,-0.2305407687359482,-0.03780097591108032,full_through_2026_07,0.0003830812497798708,0.0030460180447811932,-0.0056159443571276585,0.0063821068566874,0.9002,0.008533679128364356,True,-0.13417087232351427,0.0454408182561876,0.045088106113589974,-0.22272526727605108,-0.045616477370977446,0.0022,1.9487852189034585,0.12730632472549308
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,unconditioned,endpoint,full_through_2026_07,2023-01,2017-01,2026-07,113,PASS,,,True,False,True,2.1207781926178546,-0.22989698074996778,-0.039210926396620494,full_through_2026_07,0.0,0.0,0.0,0.0,1.0,0.0,True,-0.13455395357329414,0.0449566237094242,0.04460886637840963,-0.2217837382954701,-0.047324168851118176,0.0019,1.9403099593506639,0.12594981244058984
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,SOC2_x_calendar_month,endpoint,post_2020_coding_stable_through_2026_07,2023-01,2020-01,2026-07,77,FAILED_REPORTED_NOT_SUBSTITUTED,RuntimeError,grouped-binomial model did not converge,,,,,,,,,,,,,,,,,,,,,,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,SOC2_x_calendar_month,endpoint,through_2024_12,2023-01,2017-01,2024-12,95,PASS,,,True,False,False,2.1349282948943973,-0.18722203630372866,0.14275135349729176,full_through_2026_07,0.009501646169295254,0.031823486947562464,-0.0535680090763788,0.07257130141496931,0.7682,0.08915621062110199,True,-0.022235341403218443,0.07727973594947889,0.07703587058763386,-0.1729067202796925,0.1284360374732556,0.7739,1.9496880653807418,0.21650576589573342
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,historical_production_full_static_weight,SOC2_x_calendar_month,endpoint,through_2025_09,2023-01,2017-01,2025-09,104,PASS,,,True,False,False,2.1349282948943973,-0.17980911819797274,0.11989780558128839,full_through_2026_07,0.001781331264171529,0.017367181103906868,-0.03208087376371253,0.035643536292055585,0.9207,0.048655637860996345,True,-0.02995565630834217,0.07019133253702226,0.06990256730814959,-0.16772656779110828,0.10781525517442393,0.6681,1.9627909387544276,0.19664699967537339
