treatment_contract,occupation_code,occupation_name,SOC2,unconditioned_influence,SOC2_x_calendar_month_influence,conditioned_minus_unconditioned_influence
historical_production_full_static_weight,0010,Chief executives,11,-9.426470981069667e-06,0.00013007633376476736,0.00013950280474583703
historical_production_full_static_weight,0020,General and operations managers,11,-1.962298039720405e-05,-7.750014455334605e-05,-5.7877164156141996e-05
historical_production_full_static_weight,0040,Advertising and promotions managers,11,-6.0953841532698924e-05,-0.0007203281076462698,-0.000659374266113571
historical_production_full_static_weight,0051,Marketing managers,11,0.00013494688948838067,0.0015187312901215324,0.0013837844006331518
historical_production_full_static_weight,0052,Sales managers,11,-0.0004008390749177167,0.0028492645962775323,0.003250103671195249
historical_production_full_static_weight,0060,Public relations and fundraising managers,11,0.0006678744094614654,0.0013197056114148922,0.0006518312019534268
historical_production_full_static_weight,0101,Administrative services managers,11,2.2744282476643877e-05,-0.0008053759788627798,-0.0008281202613394236
historical_production_full_static_weight,0102,Facilities managers,11,-5.961348010070249e-06,-0.0001338223506251309,-0.00012786100261506065
historical_production_full_static_weight,0110,Computer and information systems managers,11,-3.226186106473788e-05,-0.0014293422187332762,-0.0013970803576685382
historical_production_full_static_weight,0120,Financial managers,11,0.00010044043654591176,-0.00062322413084169,-0.0007236645673876018
historical_production_full_static_weight,0135,Compensation and benefits managers,11,-1.0152006224199398e-05,2.8364548223699925e-05,3.8516554447899324e-05
historical_production_full_static_weight,0136,Human resources managers,11,-4.771274880173542e-05,0.00016409951872102413,0.00021181226752275956
historical_production_full_static_weight,0137,Training and development managers,11,-4.545854971466222e-05,0.00018964985327486555,0.00023510840298952777
historical_production_full_static_weight,0140,Industrial production managers,11,-1.7893880191243238e-05,6.990116170480983e-05,8.779504189605307e-05
historical_production_full_static_weight,0150,Purchasing managers,11,-0.0011378662000857528,-0.0031456686605907955,-0.0020078024605050425
historical_production_full_static_weight,0160,"Transportation, storage, and distribution managers",11,-4.042099413291242e-05,-0.00039589899755561753,-0.0003554780034227051
historical_production_full_static_weight,0205,"Farmers, ranchers, and other agricultural managers",11,0.00024006189342730834,-0.0004136305328650509,-0.0006536924262923593
historical_production_full_static_weight,0220,Construction managers,11,9.764943905986182e-05,-0.003013558797722299,-0.003111208236782161
historical_production_full_static_weight,0300,Architectural and engineering managers,11,-1.1498083949269361e-05,0.0005292781675144707,0.0005407762514637401
historical_production_full_static_weight,0310,Food service managers,11,-7.12702296380376e-05,0.0015144638578950841,0.0015857340875331217
historical_production_full_static_weight,0335,Entertainment and recreation managers,11,7.79905029697051e-05,-0.002419912136972104,-0.002497902639941809
historical_production_full_static_weight,0340,Lodging managers,11,3.059818123858014e-06,-8.8896537973572e-05,-9.195635609743002e-05
historical_production_full_static_weight,0350,Medical and health services managers,11,0.00010323362491643363,-0.0006343146420580363,-0.0007375482669744699
historical_production_full_static_weight,0360,Natural sciences managers,11,4.710178998250483e-06,0.0004408088584776116,0.0004360986794793611
historical_production_full_static_weight,0410,"Property, real estate, and community association managers",11,0.00012500401580988255,0.0017705786630036141,0.0016455746471937317
historical_production_full_static_weight,0420,Social and community service managers,11,2.870470573504786e-05,-8.858165998080908e-05,-0.00011728636571585695
historical_production_full_static_weight,0425,Emergency management directors,11,7.243103379011576e-06,0.0001341352802680706,0.00012689217688905901
historical_production_full_static_weight,0426,"Personal service managers, all other",11,-2.5221273267876597e-08,-1.5957851515978211e-07,-1.3435724189190551e-07
historical_production_full_static_weight,0440,"Managers, all other",11,2.2695373525683578e-05,5.103027761100898e-05,2.8334904085325403e-05
historical_production_full_static_weight,0500,"Agents and business managers of artists, performers, and athletes",13,-0.0006480607763592589,-0.0006589683573944338,-1.0907581035174939e-05
historical_production_full_static_weight,0510,"Buyers and purchasing agents, farm products",13,1.6055619953530177e-05,-0.00031067447731531297,-0.00032673009726884316
historical_production_full_static_weight,0520,"Wholesale and retail buyers, except farm products",13,7.4827711410402984e-06,-0.0007812732940848619,-0.0007887560652259022
historical_production_full_static_weight,0530,"Purchasing agents, except wholesale, retail, and farm products",13,2.8313392008856824e-05,-0.0004664647944773798,-0.0004947781864862366
historical_production_full_static_weight,0540,"Claims adjusters, appraisers, examiners, and investigators",13,2.9503431928586866e-05,0.0005305935951428404,0.0005010901632142536
historical_production_full_static_weight,0565,Compliance officers,13,-0.0001235472399717589,-0.001878984491347725,-0.0017554372513759661
historical_production_full_static_weight,0600,Cost estimators,13,1.2387215417932951e-05,-0.0009899094760255785,-0.0010022966914435116
historical_production_full_static_weight,0630,Human resources workers,13,-0.005692490968581786,-0.005557642732175088,0.00013484823640669795
historical_production_full_static_weight,0640,"Compensation, benefits, and job analysis specialists",13,-5.931718451221426e-05,-0.0006861733451887831,-0.0006268561606765689
historical_production_full_static_weight,0650,Training and development specialists,13,-0.00044282953111011563,-0.0003800542592038124,6.277527190630324e-05
historical_production_full_static_weight,0700,Logisticians,13,-8.875465156995052e-06,0.0004497422721084972,0.00045861773726549223
historical_production_full_static_weight,0710,Management analysts,13,-1.988267148549625e-05,-0.004872895912917656,-0.00485301324143216
historical_production_full_static_weight,0725,"Meeting, convention, and event planners",13,-2.825528643418648e-05,-0.0002111191421173487,-0.0001828638556831622
historical_production_full_static_weight,0726,Fundraisers,13,-7.470004443355102e-05,-0.0007778529723998255,-0.0007031529279662744
historical_production_full_static_weight,0735,Market research analysts and marketing specialists,13,1.1244650080032878e-05,0.0012555252148714396,0.0012442805647914067
historical_production_full_static_weight,0750,"Business operations specialists, all other",13,-0.003090546726076318,-0.0031816481422977127,-9.11014162213947e-05
historical_production_full_static_weight,0800,Accountants and auditors,13,0.004387413553409082,0.006353422343368143,0.001966008789959061
historical_production_full_static_weight,0810,Property appraisers and assessors,13,-2.023309832980301e-05,0.00034855802254221674,0.00036879112087201974
historical_production_full_static_weight,0820,Budget analysts,13,-1.5315922025130963e-05,-0.00038260126287094614,-0.0003672853408458152
historical_production_full_static_weight,0830,Credit analysts,13,-0.0002821190330118594,-0.00033831776686942493,-5.6198733857565515e-05
historical_production_full_static_weight,0845,Financial and investment analysts,13,-6.347032330749231e-05,-0.0067644086625492095,-0.006700938339241717
historical_production_full_static_weight,0850,Personal financial advisors,13,4.7736600284917915e-05,0.0002588912988322507,0.0002111546985473328
historical_production_full_static_weight,0860,Insurance underwriters,13,-0.0012057190682065783,-0.001357462353990153,-0.00015174328578357473
historical_production_full_static_weight,0900,Financial examiners,13,1.6422363493204005e-05,0.00010588304968687507,8.946068619367107e-05
historical_production_full_static_weight,0910,Credit counselors and loan officers,13,-0.005923056996306783,-0.007472045163654953,-0.0015489881673481703
historical_production_full_static_weight,0930,"Tax examiners and collectors, and revenue agents",13,-0.00012197988289253257,-0.0001252952244782456,-3.3153415857130347e-06
historical_production_full_static_weight,0940,Tax preparers,13,0.0007655110061838649,0.0011207083730618186,0.0003551973668779537
historical_production_full_static_weight,0960,Other financial specialists,13,-0.0015808418832532769,-0.0020417930149969413,-0.0004609511317436644
historical_production_full_static_weight,1005,Computer and information research scientists,15,0.0008714992134298508,-6.809117163638168e-05,-0.0009395903850662325
historical_production_full_static_weight,1006,Computer systems analysts,15,0.0021365609341572685,-0.00015658971973465358,-0.0022931506538919223
historical_production_full_static_weight,1007,Information security analysts,15,0.0009580469942598572,-6.178587472746657e-05,-0.0010198328689873238
historical_production_full_static_weight,1010,Computer programmers,15,0.004775873781035239,0.0007376748071741205,-0.004038198973861118
historical_production_full_static_weight,1021,Software developers,15,0.007224654216560039,0.001307110754330329,-0.005917543462229709
historical_production_full_static_weight,1031,Web developers,15,0.0007895015488640572,-5.385634925341883e-05,-0.0008433578981174761
historical_production_full_static_weight,1032,Web and digital interface designers,15,0.001168850259149126,-8.057847939413248e-05,-0.0012494287385432584
historical_production_full_static_weight,1050,Computer support specialists,15,-0.0028377084874088992,0.00014444780231535995,0.002982156289724259
historical_production_full_static_weight,1065,Database administrators and architects,15,-0.002591457982689765,0.00016791760863138253,0.0027593755913211475
historical_production_full_static_weight,1105,Network and computer systems administrators,15,-0.0009496841173750541,4.2706858460212354e-05,0.0009923909758352664
historical_production_full_static_weight,1106,Computer network architects,15,0.00043439355142403115,-3.3977050303595175e-05,-0.00046837060172762635
historical_production_full_static_weight,1108,"Computer occupations, all other",15,-0.010712136778851153,0.000594613321412556,0.011306750100263708
historical_production_full_static_weight,1200,Actuaries,15,-2.0692876639557256e-05,-0.003998313073488695,-0.003977620196849138
historical_production_full_static_weight,1220,Operations research analysts,15,-0.0016809237502997817,0.000374617700236081,0.0020555414505358627
historical_production_full_static_weight,1240,Other mathematical science occupations,15,-0.0046727087994186366,0.0005810865606118356,0.005253795360030472
historical_production_full_static_weight,1305,"Architects, except landscape and naval",17,4.649183302077828e-05,-2.302312168270207e-05,-6.951495470348035e-05
historical_production_full_static_weight,1306,Landscape architects,17,1.6343074487259205e-05,-0.00031183654207317033,-0.0003281796165604295
historical_production_full_static_weight,1310,"Surveyors, cartographers, and photogrammetrists",17,3.641347408695339e-05,-5.967403582805868e-05,-9.608750991501206e-05
historical_production_full_static_weight,1320,Aerospace engineers,17,0.004466540996220815,0.003900743121375248,-0.0005657978748455669
