treatment_contract,occupation_code,occupation_name,SOC2,unconditioned_influence,SOC2_x_calendar_month_influence,conditioned_minus_unconditioned_influence
rebuilt_corrected_preperiod_weight,0010,Chief executives,11,-8.602946696815877e-06,0.00014990602244399086,0.00015850896914080674
rebuilt_corrected_preperiod_weight,0020,General and operations managers,11,-2.116705883916154e-05,-0.00018233692404264428,-0.00016116986520348274
rebuilt_corrected_preperiod_weight,0040,Advertising and promotions managers,11,-6.427856155969452e-05,-0.0008266242927928172,-0.0007623457312331227
rebuilt_corrected_preperiod_weight,0051,Marketing managers,11,0.0001347291785936261,0.0016106269546536682,0.001475897776060042
rebuilt_corrected_preperiod_weight,0052,Sales managers,11,-0.00041217710753180817,0.0033382963605743305,0.0037504734681061387
rebuilt_corrected_preperiod_weight,0060,Public relations and fundraising managers,11,0.0006691484149605085,0.0013456060550490886,0.0006764576400885801
rebuilt_corrected_preperiod_weight,0101,Administrative services managers,11,2.4063937894248237e-05,-0.0009329281859419153,-0.0009569921238361635
rebuilt_corrected_preperiod_weight,0102,Facilities managers,11,-5.25903483890844e-06,-0.00016007280576060663,-0.00015481377092169818
rebuilt_corrected_preperiod_weight,0110,Computer and information systems managers,11,-3.51235554630774e-05,-0.0017052352252196724,-0.001670111669756595
rebuilt_corrected_preperiod_weight,0120,Financial managers,11,0.0001070277320311512,-0.0008579507050547218,-0.0009649784370858729
rebuilt_corrected_preperiod_weight,0135,Compensation and benefits managers,11,-1.03309574174936e-05,4.0796500820885035e-05,5.112745823837864e-05
rebuilt_corrected_preperiod_weight,0136,Human resources managers,11,-4.727506524309223e-05,0.00021658391328468037,0.0002638589785277726
rebuilt_corrected_preperiod_weight,0137,Training and development managers,11,-4.650322621070269e-05,0.00025708132078567617,0.00030358454699637883
rebuilt_corrected_preperiod_weight,0140,Industrial production managers,11,-1.7538193657595484e-05,5.0855202553511724e-05,6.839339621110721e-05
rebuilt_corrected_preperiod_weight,0150,Purchasing managers,11,-0.0011402420450297524,-0.003251289589245144,-0.002111047544215392
rebuilt_corrected_preperiod_weight,0160,"Transportation, storage, and distribution managers",11,-4.498077111634803e-05,-0.0004868023054912709,-0.00044182153437492285
rebuilt_corrected_preperiod_weight,0205,"Farmers, ranchers, and other agricultural managers",11,0.0002583788720849872,-0.0006212200117275622,-0.0008795988838125494
rebuilt_corrected_preperiod_weight,0220,Construction managers,11,0.00010569795476494316,-0.0036001372696557806,-0.0037058352244207235
rebuilt_corrected_preperiod_weight,0300,Architectural and engineering managers,11,-1.2341407984676578e-05,0.0006008585430216635,0.00061319995100634
rebuilt_corrected_preperiod_weight,0310,Food service managers,11,-6.737094345768838e-05,0.001362781470393141,0.0014301524138508295
rebuilt_corrected_preperiod_weight,0335,Entertainment and recreation managers,11,8.198388233773513e-05,-0.0027928359367157506,-0.002874819819053486
rebuilt_corrected_preperiod_weight,0340,Lodging managers,11,3.016088709206786e-06,-0.00011848118181241062,-0.0001214972705216174
