treatment_contract,structure,row_target,column_target,occupation_cluster_covariance
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q2_x_2017Q1,0.00900248112133148
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q3_x_2017Q1,0.0060643763539038175
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q4_x_2017Q1,0.006682192651014719
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q5_x_2017Q1,0.006916602622334501
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q2_x_2017Q2,0.005432789398205384
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q3_x_2017Q2,0.0033759261243583635
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q4_x_2017Q2,0.004140711594439024
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q5_x_2017Q2,0.004181521945703302
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q2_x_2017Q3,0.004627658572839845
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q3_x_2017Q3,0.0033011290994442418
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q4_x_2017Q3,0.0038098376791229124
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q5_x_2017Q3,0.0039450349495701665
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q2_x_2017Q4,0.0035380414574015043
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q3_x_2017Q4,0.002273044567575685
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q4_x_2017Q4,0.0026099499467604507
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q5_x_2017Q4,0.0027887693608224886
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q2_x_2018Q1,0.004018089794836187
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q3_x_2018Q1,0.002355537112602829
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q4_x_2018Q1,0.003076308434285704
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q5_x_2018Q1,0.0031655917230353527
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q2_x_2018Q2,0.0034860849769390457
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q3_x_2018Q2,0.0022798227151766236
historical_production_full_static_weight,SOC2_x_calendar_month,Q2_x_2017Q1,Q4_x_2018Q2,0.002755155560322507
