treatment_contract,structure,row_target,column_target,occupation_cluster_covariance
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2017Q1,0.0067177737808015794
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2017Q1,0.00404662396829883
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2017Q1,0.003944888690264502
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2017Q1,0.0040042350795060355
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2017Q2,0.0047719986147934604
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2017Q2,0.003212247159668675
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2017Q2,0.0031110741560916263
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2017Q2,0.003145004163472774
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2017Q3,0.004101830656494336
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2017Q3,0.002593432232999442
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2017Q3,0.0024418597410456374
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2017Q3,0.0025358406083092174
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2017Q4,0.002921905065350003
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2017Q4,0.001692265084803467
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2017Q4,0.0016145757207800637
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2017Q4,0.0016333350638665577
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2018Q1,0.003731417355251857
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2018Q1,0.0023678134009311805
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2018Q1,0.0023457431912539415
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2018Q1,0.0023647888921955115
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2018Q2,0.0035613675554645144
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2018Q2,0.0026590878672825835
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2018Q2,0.0025179033327013523
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2018Q2,0.002590517584663724
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2018Q3,0.0035308877054158992
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2018Q3,0.00273809884370798
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2018Q3,0.002598089882621361
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2018Q3,0.0026278330164239993
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q2_x_2018Q4,0.0038042124587574317
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q3_x_2018Q4,0.002294326015268596
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q4_x_2018Q4,0.0022611033580141847
historical_production_full_static_weight,unconditioned,Q2_x_2017Q1,Q5_x_2018Q4,0.002343986437824923
