analysis_status,model_id,horizon,weighting,estimand,coefficient,coefficient_units,relative_percent,analytic_occupation_cluster_se,wild_score_ci_lower,wild_score_ci_upper,wild_score_p_value,wild_score_critical,normal_theory_MDE80,lineage_component_clusters,lineage_component_cluster_se,lineage_wild_ci_lower,lineage_wild_ci_upper,lineage_wild_p_value,bootstrap_draws,bootstrap_seed,occupations_on_input,event_contributing_occupations,fitted_occupation_months,iterations,months,first_month,last_month,december_2022_excluded,annual_straddling_origins_excluded,comparison_age_group
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__employment_exit__official,adjacent_month,official,beta_Q5_vs_Q1_x_young_x_post,0.13247544228335112,log relative rate/allocation ratio,14.165097940366355,0.09081494864675134,-0.04236560012850765,0.3073164846952099,0.1459,1.9252451828382247,0.2544258177124269,405,0.09196013539687849,-0.04322771393067773,0.30817859849737994,0.1537,9999,2026090524,468,458,21475,4,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__employment_exit__unweighted,adjacent_month,unweighted,beta_Q5_vs_Q1_x_young_x_post,0.19952632028122122,log relative rate/allocation ratio,22.08243414481168,0.0727739558601213,0.05773606815985338,0.34131657240258906,0.0045,1.9483653244562198,0.20388243900132144,405,0.07373583548622471,0.05700746285615449,0.34204517770628795,0.0053,9999,2026090524,468,458,21475,5,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__employment_exit__origin_WTFINL,adjacent_month,origin_WTFINL,beta_Q5_vs_Q1_x_young_x_post,0.1332158039204885,log relative rate/allocation ratio,14.249652695867754,0.09025103924911311,-0.039938556589728835,0.30637016443070586,0.1407,1.9185857797412447,0.2528459774796486,405,0.09131480825526744,-0.04152548389445851,0.3079570917354355,0.1477,9999,2026090524,468,458,21475,4,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__unemployment_entry__official,adjacent_month,official,beta_Q5_vs_Q1_x_young_x_post,0.054644001439487735,log relative rate/allocation ratio,5.61645546799272,0.16981062032290797,-0.2718466157990278,0.38113461867800325,0.7544,1.9226748987646853,0.47573892377525256,376,0.1694668755282216,-0.27534334661681914,0.3846313494957946,0.749,9999,2026090524,468,429,12016,4,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__unemployment_entry__unweighted,adjacent_month,unweighted,beta_Q5_vs_Q1_x_young_x_post,0.17943744034834877,log relative rate/allocation ratio,19.654404634724386,0.1789016920641069,-0.15430479082867724,0.5131796715253748,0.3433,1.8655062863096576,0.5012083359821999,376,0.17722389309836217,-0.14737368302150453,0.506248563718202,0.343,9999,2026090524,468,429,12016,6,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__unemployment_entry__origin_WTFINL,adjacent_month,origin_WTFINL,beta_Q5_vs_Q1_x_young_x_post,0.061414276853654366,log relative rate/allocation ratio,6.333933982789275,0.16948006644143912,-0.26304887613050865,0.38587742983781737,0.7242,1.9144620355472635,0.4748128489071396,376,0.16916513545456224,-0.2677926121330474,0.3906211658403561,0.7199,9999,2026090524,468,429,12016,4,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__labor_force_exit__official,adjacent_month,official,beta_Q5_vs_Q1_x_young_x_post,0.13454859273756994,log relative rate/allocation ratio,14.40202487274771,0.10228873405945742,-0.06387442579972896,0.33297161127486885,0.1915,1.9398325764982238,0.2865706053204644,399,0.10315923429043444,-0.06520423807755801,0.3343014235526979,0.1996,9999,2026090524,468,452,18873,4,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__labor_force_exit__unweighted,adjacent_month,unweighted,beta_Q5_vs_Q1_x_young_x_post,0.19718018577732357,log relative rate/allocation ratio,21.796348063184734,0.08532100041207873,0.031074626372006697,0.36328574518264045,0.0184,1.9468308927821907,0.23903405354909024,399,0.08510931362186179,0.032237788364451375,0.36212258319019575,0.0192,9999,2026090524,468,452,18873,5,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__labor_force_exit__origin_WTFINL,adjacent_month,origin_WTFINL,beta_Q5_vs_Q1_x_young_x_post,0.13279838814536263,log relative rate/allocation ratio,14.20197304034232,0.10198774567661455,-0.06530700300438305,0.3309037792951083,0.1968,1.9424430830925856,0.2857273607162681,399,0.10283945147337238,-0.06579411783421718,0.33139089412494244,0.2049,9999,2026090524,468,452,18873,4,111,2017-01,2026-06,True,False,
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month__occupational_outflow__official,adjacent_month,official,beta_Q5_vs_Q1_x_young_x_post,0.002545899473616475,log relative rate/allocation ratio,0.25491430276847193,0.062031613320020135,-0.11816569059342871,0.12325748954066165,0.971,1.9459688956386796,0.17378685093306792,407,0.0622024416021315,-0.11686862086053258,0.12196041980776552,0.9682,9999,2026090524,468,460,26848,3,111,2017-01,2026-06,True,False,
