analysis_status,horizon,margin,period,age_group,quintile,event_weight,denominator_weight,descriptive_rate_or_share,unit
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,pre,young_22_25,1,9769098.750981567,135635845.4525064,0.07202446166343446,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,pre,young_22_25,5,4643845.25953491,103189233.26394808,0.045003195707990225,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,pre,older_26_65,1,54773799.4278879,1104827479.4983969,0.04957678953890229,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,pre,older_26_65,5,27477264.58393718,1123508444.4615898,0.024456660490081935,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,post,young_22_25,1,4809301.5667,85308724.2416,0.05637526067181285,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,post,young_22_25,5,2431459.9554000003,58712187.119600005,0.04141320694538223,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,post,older_26_65,1,27282557.6014,621080762.3025999,0.04392755219184768,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employment_exit,post,older_26_65,5,14759467.332400002,668430324.7461,0.022080786562169084,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,pre,young_22_25,1,3703096.189161558,135635845.4525064,0.02730175181057294,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,pre,young_22_25,5,1337359.38691072,103189233.26394808,0.012960260916852479,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,pre,older_26_65,1,20066029.928848878,1104827479.4983969,0.018162138705998754,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,pre,older_26_65,5,8143670.29666616,1123508444.4615898,0.007248428204354786,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,post,young_22_25,1,1524066.5451999998,85308724.2416,0.01786530696302223,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,post,young_22_25,5,597820.8996,58712187.119600005,0.010182228408255434,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,post,older_26_65,1,8703057.273200002,621080762.3025999,0.014012762592958467,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unemployment_entry,post,older_26_65,5,4034814.9846,668430324.7461,0.006036253645632557,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,pre,young_22_25,1,6066002.56182001,135635845.4525064,0.04472270985286152,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,pre,young_22_25,5,3306485.87262419,103189233.26394808,0.03204293479113774,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,pre,older_26_65,1,34707769.499039024,1104827479.4983969,0.03141465083290353,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,pre,older_26_65,5,19333594.28727102,1123508444.4615898,0.01720823228572715,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,post,young_22_25,1,3285235.0215000003,85308724.2416,0.038509953708790616,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,post,young_22_25,5,1833639.0558,58712187.119600005,0.031230978537126794,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,post,older_26_65,1,18579500.328199998,621080762.3025999,0.02991478959888921,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,labor_force_exit,post,older_26_65,5,10724652.3478,668430324.7461,0.016044532916536524,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,pre,young_22_25,1,12089654.115253903,123921061.72631924,0.09755931676855716,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,pre,young_22_25,5,9959219.070790261,97266547.0945087,0.10239100048563893,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,pre,older_26_65,1,79083633.02764048,1035896752.8939687,0.07634316142675972,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,pre,older_26_65,5,78506047.18332227,1081309483.5090113,0.07260275469753431,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,post,young_22_25,1,7617155.596100001,80499422.6749,0.0946237295000509,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,post,young_22_25,5,5281127.692499999,56280727.1642,0.09383545591179406,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,post,older_26_65,1,46529890.3674,593798204.7012,0.07835976936106416,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,occupational_outflow,post,older_26_65,5,46444190.8873,653670857.4137,0.07105134084003696,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,pre,young_22_25,1,9142626.725255704,32655691.686177526,0.27997038963733195,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,pre,young_22_25,5,5347476.89128206,32655691.686177526,0.16375328817627022,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,pre,older_26_65,1,50609080.825074196,164441151.84968165,0.30776408615367024,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,pre,older_26_65,5,25872473.82187385,164441151.84968165,0.15733576133986402,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,post,young_22_25,1,5108207.414799999,16768091.1853,0.30463857563454727,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,post,young_22_25,5,2729971.1788,16768091.1853,0.16280751032611693,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,post,older_26_65,1,25303534.2458,83778199.975,0.3020300538009978,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,post,older_26_65,5,12580168.734299999,83778199.975,0.15016040853174226,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,pre,young_22_25,1,9761458.558275428,70436061.88126193,0.13858609208917547,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,pre,young_22_25,5,5080929.049706589,52283635.39552657,0.09718010255540335,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,pre,older_26_65,1,58223761.62737687,572491827.1595218,0.10170234554484413,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,pre,older_26_65,5,40027459.68681579,601326311.9996073,0.06656528890896417,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,post,young_22_25,1,3804707.6148999995,40158697.8529,0.09474180733739225,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,post,young_22_25,5,2104192.6317000003,28355458.1184,0.07420767539405682,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,post,older_26_65,1,26922372.443199996,296043911.6411,0.0909404699254161,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employment_exit,post,older_26_65,5,20034192.435900003,333275403.6921,0.06011302428549094,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,pre,young_22_25,1,3325518.0122735286,70436061.88126193,0.04721328710681672,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,pre,young_22_25,5,1374018.74014035,52283635.39552657,0.02628009184414732,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,pre,older_26_65,1,17890089.485160418,572491827.1595218,0.031249510711661984,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,pre,older_26_65,5,11460409.2587106,601326311.9996073,0.019058552785759495,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,post,young_22_25,1,1018795.7838999999,40158697.8529,0.02536924348572794,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,post,young_22_25,5,642797.7711,28355458.1184,0.022669278289067223,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,post,older_26_65,1,6879777.9492,296043911.6411,0.023239045555986618,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,unemployment_entry,post,older_26_65,5,5798665.897399999,333275403.6921,0.017399021449411124,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,pre,young_22_25,1,6435940.546001898,70436061.88126193,0.09137280498235874,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,pre,young_22_25,5,3706910.30956624,52283635.39552657,0.07090001071125605,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,pre,older_26_65,1,40333672.14221645,572491827.1595218,0.07045283483318214,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,pre,older_26_65,5,28567050.42810519,601326311.9996073,0.047506736123204676,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,post,young_22_25,1,2785911.8310000002,40158697.8529,0.06937256385166432,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,post,young_22_25,5,1461394.8606,28355458.1184,0.051538397104989586,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,post,older_26_65,1,20042594.494,296043911.6411,0.0677014243694295,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,labor_force_exit,post,older_26_65,5,14235526.5385,333275403.6921,0.042714002836079804,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,pre,young_22_25,1,27513961.181469448,49488016.56178798,0.5559721947457128,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,pre,young_22_25,5,23376265.26147188,36631161.16108405,0.6381524505509312,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,pre,older_26_65,1,197299174.18966404,413992992.25743365,0.4765761205614256,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,pre,older_26_65,5,252032623.83464086,445478040.4449378,0.5657576826523567,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,post,young_22_25,1,20045292.3288,36353990.238,0.5513918058944494,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,post,young_22_25,5,15878138.577999998,26251265.4867,0.6048523103026989,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,post,older_26_65,1,127026024.4032,269121539.1979,0.4720024446270379,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,occupational_outflow,post,older_26_65,5,173309144.53280002,313241211.2562,0.5532769581555808,event per at-risk origin
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,pre,young_22_25,1,9954611.95457273,40296207.77106237,0.24703594966376377,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,pre,young_22_25,5,7584682.51521341,40296207.77106237,0.1882232332706043,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,pre,older_26_65,1,51206590.22357295,182420351.5090026,0.28070656481026385,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,pre,older_26_65,5,30698922.9763535,182420351.5090026,0.16828672197158048,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,post,young_22_25,1,4631896.2928,19816031.4793,0.23374489981197896,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,post,young_22_25,5,3531698.6808,19816031.4793,0.1782243172397684,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,post,older_26_65,1,22495221.7523,83110530.5551,0.2706663235338907,share of supported observed entry destinations
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,post,older_26_65,5,13851790.3913,83110530.5551,0.16666709138761476,share of supported observed entry destinations
