analysis_status,horizon,weighting,margin,risk_raw_records,event_raw_records,risk_weight,event_weight,young_event_raw_records,post_event_raw_records
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,official,employment_exit,3346227,106968,11411260516.746002,382950427.23160005,13528,31518
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,official,unemployment_entry,3346227,32488,11411260516.746002,118484085.9987,4168,8674
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,official,labor_force_exit,3346227,74480,11411260516.746002,264466341.2329,9360,22844
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,official,occupational_outflow,3207598,204408,10931859110.7617,754210051.2839,20734,66017
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unweighted,employment_exit,3346227,106968,3346227.0,106968.0,13528,31518
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unweighted,unemployment_entry,3346227,32488,3346227.0,32488.0,4168,8674
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unweighted,labor_force_exit,3346227,74480,3346227.0,74480.0,9360,22844
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unweighted,occupational_outflow,3207598,204408,3207598.0,204408.0,20734,66017
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,origin_WTFINL,employment_exit,3346227,106968,10418288603.194199,347829191.189,13528,31518
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,origin_WTFINL,unemployment_entry,3346227,32488,10418288603.194199,107226908.32729998,4168,8674
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,origin_WTFINL,labor_force_exit,3346227,74480,10418288603.194199,240602282.8617,9360,22844
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,origin_WTFINL,occupational_outflow,3207598,204408,9981077251.165499,685882137.7888,20734,66017
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,official,entry_destination,96981,96981,350303431.01460004,350303431.01460004,13650,28319
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,unweighted,entry_destination,96981,96981,96981.0,96981.0,13650,28319
