analysis_status,horizon,role,quantity,input_total,routeable_input_total,routed_pre_support_total,route_conservation_error,supported_total,absolute_routeable_input_total,support_retention_rate,unmapped_pre2020_source_rows
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin_attrition,eligible_raw_fraction,3708372.0,3702665.0,3702665.0000000102,1.0244548320770264e-08,3222018.3823753498,3702665.0,0.8701890077485651,5707
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin_attrition,validated_raw_fraction,3373846.0,3368582.0,3368582.0000000093,9.313225746154785e-09,2931309.9427874135,3368582.0,0.8701910604484039,5707
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin_attrition,positive_weight_raw_fraction,3373846.0,3368582.0,3368582.0000000093,9.313225746154785e-09,2931309.9427874135,3368582.0,0.8701910604484039,5707
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin_attrition,eligible_WTFINL,11612777943.9124,11597438753.823301,11597438753.82333,2.86102294921875e-05,10104585483.379139,11597438753.823301,0.8712773309579201,5707
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin_attrition,retained_WTFINL,10513838051.5391,10499756995.707,10499756995.707027,2.6702880859375e-05,9148043810.10117,10499756995.707,0.8712624314868882,5707
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__employment_exit__risk,11411260516.746002,11396183346.917099,11396183346.91713,3.0517578125e-05,9928126474.907497,11396183346.917099,0.8711799532071615,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__employment_exit__event,382950427.23160005,382367552.4871,382367552.487101,1.0132789611816406e-06,325726151.9657941,382367552.4871,0.851866613281163,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__unemployment_entry__risk,11411260516.746002,11396183346.917099,11396183346.91713,3.0517578125e-05,9928126474.907497,11396183346.917099,0.8711799532071615,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__unemployment_entry__event,118484085.9987,118313468.50659999,118313468.5066003,3.129243850708008e-07,100409598.81215008,118313468.50659999,0.8486742894072838,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__labor_force_exit__risk,11411260516.746002,11396183346.917099,11396183346.91713,3.0517578125e-05,9928126474.907497,11396183346.917099,0.8711799532071615,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__labor_force_exit__event,264466341.2329,264054083.9805,264054083.98050073,7.152557373046875e-07,225316553.153644,264054083.9805,0.8532969827888846,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__occupational_outflow__risk,10931859110.7617,10917734764.6834,10917734764.683426,2.6702880859375e-05,9518551077.672794,10917734764.6834,0.871843040963342,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,official__occupational_outflow__event,754210051.2839,752766319.1484001,752766319.1484017,1.6689300537109375e-06,652697847.5076482,752766319.1484001,0.867065689450665,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__employment_exit__risk,3346227.0,3340963.0,3340963.0000000093,9.313225746154785e-09,2907214.9427874135,3340963.0,0.8701727444414695,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__employment_exit__event,106968.0,106791.0,106791.00000000035,3.4924596548080444e-10,90880.46915705308,106791.0,0.8510124369755203,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__unemployment_entry__risk,3346227.0,3340963.0,3340963.0000000093,9.313225746154785e-09,2907214.9427874135,3340963.0,0.8701727444414695,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__unemployment_entry__event,32488.0,32433.0,32433.000000000106,1.0550138540565968e-10,27488.306072911542,32433.0,0.8475412719425108,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__labor_force_exit__risk,3346227.0,3340963.0,3340963.0000000093,9.313225746154785e-09,2907214.9427874135,3340963.0,0.8701727444414695,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__labor_force_exit__event,74480.0,74358.0,74358.00000000023,2.3283064365386963e-10,63392.163084141546,74358.0,0.8525264676852705,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__occupational_outflow__risk,3207598.0,3202639.0,3202639.0000000084,8.381903171539307e-09,2788840.5416506273,3202639.0,0.8707945358969962,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,unweighted__occupational_outflow__event,204408.0,203946.0,203946.00000000055,5.529727786779404e-10,176579.94220384123,203946.0,0.8658171388693122,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__employment_exit__risk,10418288603.194199,10404207547.3621,10404207547.362125,2.47955322265625e-05,9064602891.81287,10404207547.3621,0.8712439511177478,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__employment_exit__event,347829191.189,347287753.2235,347287753.22350097,9.5367431640625e-07,295858776.0966938,347287753.2235,0.8519124943236641,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__unemployment_entry__risk,10418288603.194199,10404207547.3621,10404207547.362125,2.47955322265625e-05,9064602891.81287,10404207547.3621,0.8712439511177478,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__unemployment_entry__event,107226908.32729998,107068410.68959999,107068410.68960029,2.980232238769531e-07,90851859.15458706,107068410.68959999,0.848540279709332,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__labor_force_exit__risk,10418288603.194199,10404207547.3621,10404207547.362125,2.47955322265625e-05,9064602891.81287,10404207547.3621,0.8712439511177478,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__labor_force_exit__event,240602282.8617,240219342.53390002,240219342.53390068,6.556510925292969e-07,205006916.94210675,240219342.53390002,0.8534155275742434,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__occupational_outflow__risk,9981077251.165499,9967880314.7614,9967880314.761425,2.47955322265625e-05,8691040292.09372,9967880314.7614,0.8719045592093603,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,employed_origin,origin_WTFINL__occupational_outflow__event,685882137.7888,684537539.3145001,684537539.3145015,1.430511474609375e-06,593586329.6732144,684537539.3145001,0.8671348108500142,5639
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,official__entry_destination__event,350303431.01460004,349777250.1655,349777250.16550094,9.5367431640625e-07,297643134.6961591,349777250.1655,0.8509505250994055,158
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,unweighted__entry_destination__event,96981.0,96823.0,96823.0000000003,3.055902197957039e-10,82220.32386301705,96823.0,0.8491817425923261,158
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,entry_destination,origin_WTFINL__entry_destination__event,317950084.2467,317463652.4001,317463652.4001008,8.344650268554688e-07,270096919.62558746,317463652.4001,0.8507963591535296,158
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin_attrition,eligible_raw_fraction,2282735.0,2278847.0,2278847.0000000065,6.51925802230835e-09,1983945.456536976,2278847.0,0.8705917758133698,3888
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin_attrition,validated_raw_fraction,1587708.0,1585110.0,1585110.0000000047,4.6566128730773926e-09,1380417.6514421282,1585110.0,0.8708655244381299,3888
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin_attrition,positive_weight_raw_fraction,1587708.0,1585110.0,1585110.0000000047,4.6566128730773926e-09,1380417.6514421282,1585110.0,0.8708655244381299,3888
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin_attrition,eligible_WTFINL,7035525857.8522005,7025030721.419401,7025030721.419419,1.811981201171875e-05,6124840061.605467,7025030721.419401,0.8718595411875911,3888
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin_attrition,retained_WTFINL,4824852417.668699,4817977805.4865,4817977805.486513,1.33514404296875e-05,4201268187.6316795,4817977805.4865,0.8719982443355072,3888
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__employment_exit__risk,5859855097.7182,5850375233.7654,5850375233.765419,1.9073486328125e-05,5101505531.419337,5850375233.7654,0.871996295549731,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__employment_exit__event,452517448.45239997,451579605.5346,451579605.53460187,1.8477439880371094e-06,387024342.0126485,451579605.5346,0.8570456620920033,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__unemployment_entry__risk,5859855097.7182,5850375233.7654,5850375233.765419,1.9073486328125e-05,5101505531.419337,5850375233.7654,0.871996295549731,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__unemployment_entry__event,124379729.67109999,124101641.7065,124101641.70650056,5.662441253662109e-07,106492349.91997887,124101641.7065,0.8581058917160216,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__labor_force_exit__risk,5859855097.7182,5850375233.7654,5850375233.765419,1.9073486328125e-05,5101505531.419337,5850375233.7654,0.871996295549731,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__labor_force_exit__event,328137718.7813,327477963.82809997,327477963.8281013,1.3113021850585938e-06,280531992.0926696,327477963.82809997,0.8566438755553201,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__occupational_outflow__risk,4705516349.1595,4699643375.8253,4699643375.825312,1.1444091796875e-05,4103570429.3845425,4699643375.8253,0.8731663450237664,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,official__occupational_outflow__event,2344580912.0834,2340126348.9820004,2340126348.982005,4.76837158203125e-06,2037097500.3613977,2340126348.9820004,0.8705074840286167,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__employment_exit__risk,1399376.0,1396778.0,1396778.0000000047,4.6566128730773926e-09,1216347.6514421282,1396778.0,0.8708238900112432,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__employment_exit__event,106103.0,105856.0,105856.00000000047,4.656612873077393e-10,90569.18914822371,105856.0,0.8555886217901991,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__unemployment_entry__risk,1399376.0,1396778.0,1396778.0000000047,4.6566128730773926e-09,1216347.6514421282,1396778.0,0.8708238900112432,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__unemployment_entry__event,27330.0,27259.0,27259.00000000013,1.3096723705530167e-10,23359.37835231312,27259.0,0.8569418669911959,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__labor_force_exit__risk,1399376.0,1396778.0,1396778.0000000047,4.6566128730773926e-09,1216347.6514421282,1396778.0,0.8708238900112432,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__labor_force_exit__event,78773.0,78597.0,78597.00000000033,3.346940502524376e-10,67209.8107959106,78597.0,0.8551192894882796,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__occupational_outflow__risk,1110024.0,1108357.0,1108357.0000000028,2.7939677238464355e-09,966536.8089902925,1108357.0,0.8720446652028995,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,unweighted__occupational_outflow__event,544868.0,543621.0,543621.0000000013,1.280568540096283e-09,472922.8684200214,543621.0,0.8699495943313821,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__employment_exit__risk,4204143342.51,4197268730.3278003,4197268730.3278136,1.33514404296875e-05,3660110240.22188,4197268730.3278003,0.8720218969482136,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__employment_exit__event,322880355.96140003,322194890.095,322194890.0950013,1.2516975402832031e-06,276265680.22918755,322194890.095,0.8574489811049728,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__unemployment_entry__risk,4204143342.51,4197268730.3278003,4197268730.3278136,1.33514404296875e-05,3660110240.22188,4197268730.3278003,0.8720218969482136,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__unemployment_entry__event,86705271.0112,86507844.7972,86507844.79720038,3.8743019104003906e-07,74312296.46965009,86507844.7972,0.8590237873092295,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__labor_force_exit__risk,4204143342.51,4197268730.3278003,4197268730.3278136,1.33514404296875e-05,3660110240.22188,4197268730.3278003,0.8720218969482136,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__labor_force_exit__event,236175084.95020002,235687045.2978,235687045.29780096,9.5367431640625e-07,201953383.75953746,235687045.2978,0.8568709557386172,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__occupational_outflow__risk,3374876890.1937,3370582774.381,3370582774.3810086,8.58306884765625e-06,2942947830.309211,3370582774.381,0.8731272979491415,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,employed_origin,origin_WTFINL__occupational_outflow__event,1672011012.0998,1668785514.3816,1668785514.3816037,3.814697265625e-06,1453548425.8411644,1668785514.3816,0.8710217180784919,2788
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,official__entry_destination__event,379820831.12759995,379401872.3771,379401872.37710094,9.5367431640625e-07,325643121.3144649,379401872.3771,0.8583065741720871,108
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,unweighted__entry_destination__event,82573.0,82465.0,82465.00000000023,2.3283064365386963e-10,70523.09455801074,82465.0,0.8551881956952712,108
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,twelve_month,entry_destination,origin_WTFINL__entry_destination__event,262957053.9914,262662088.655,262662088.65500066,6.556510925292969e-07,225195569.30754843,262662088.655,0.8573584808553645,108
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,continuing_worker_hours,official__hours_change__risk,10085878493.3287,10072934428.249199,10072934428.249224,2.47955322265625e-05,8778483695.75904,10072934428.249199,0.8714921911076938,4518
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,continuing_worker_hours,official__hours_change__total,-1769291279.0376,-1766445384.0797997,-1766445384.0798047,-5.0067901611328125e-06,-1584325577.259815,26222359870.2916,0.8969004032270935,4518
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,adjacent_month,continuing_worker_hours,unweighted__hours_change__risk,2940149.0,2935631.0,2935631.0000000075,7.450580596923828e-09,2555176.282604945,2935631.0,0.8704010424351488,4518
