occupation_code,occupation_name,beta_quintile,preperiod_22_stock,preperiod_23_stock,preperiod_24_stock,preperiod_25_stock,preperiod_older_26_65_stock,eligible_common_support,exclusion_reasons
0010,Chief executives,4,110584.0891,83206.3001,61209.8123,403804.7956,104034824.5083,True,
0020,General and operations managers,4,340179.6792,664425.5433,548183.0984,1046809.1877,70120068.7208,True,
0040,Advertising and promotions managers,4,42290.2884,76270.7377,205131.5869,117951.7864,3631860.6641,True,
0051,Marketing managers,4,499021.39673098,623939.32066766,767291.77836819,930324.2131291,37087168.81563857,True,
0052,Sales managers,3,383582.64596902,419203.77233234,480534.70663181,591882.4002709,35100152.00016143,True,
0060,Public relations and fundraising managers,5,21416.8084,47004.1691,92488.9562,121967.5237,5859403.2598,True,
0101,Administrative services managers,3,14913.58186609,5971.39255626,30925.15741073,42689.6400534,4230083.00176045,True,
0102,Facilities managers,3,23316.56903391,6052.947143740001,27268.40778927,47666.694246600004,7726852.0647395495,True,
0110,Computer and information systems managers,4,52979.2817,223527.1389,324168.0294,458390.2651,46597443.5163,True,
0120,Financial managers,4,539207.6876,656427.7315999999,827963.2649,1052855.7995,82465436.9991,True,
0135,Compensation and benefits managers,4,0.0,20788.2965,22066.8581,0.0,1279246.5631,False,nonpositive_22_preperiod_stock;nonpositive_25_preperiod_stock
0136,Human resources managers,4,33502.0324,190447.1561,80170.7343,174694.4646,20234374.101999998,True,
0137,Training and development managers,4,27357.0511,11423.947,26493.8832,63983.8511,3642309.4911,True,
0140,Industrial production managers,3,90096.2496,137891.5083,179578.8735,126872.8395,18006645.7371,True,
0150,Purchasing managers,5,62095.2555,74326.5912,190790.0202,216103.059,14565269.1716,True,
0160,"Transportation, storage, and distribution managers",4,103397.1795,198224.7132,344478.0374,342920.8042,19726297.229,True,
0205,"Farmers, ranchers, and other agricultural managers",3,223589.72950000002,447046.9046,526127.0456,412154.1115,46051395.4182,True,
0220,Construction managers,3,299895.8124,573166.6411,665505.7045,741544.7124,65194445.4586,True,
0300,Architectural and engineering managers,3,0.0,50476.5493,70356.6364,24588.4026,11196410.5174,False,nonpositive_22_preperiod_stock
0310,Food service managers,3,1901943.594,2287518.8154,2185777.7469,1807372.2098,67576731.9818,True,
0335,Entertainment and recreation managers,3,65192.19508624,39419.6941712,31474.920552,36204.6716688,4157771.51970752,True,
0340,Lodging managers,3,86964.5462,59719.203199999996,96685.1556,92173.4718,8435570.1227,True,
0350,Medical and health services managers,3,135231.7512,219013.244,349892.1031,493925.9748,46857890.161,True,
0360,Natural sciences managers,4,4858.7382,11514.717,24720.2635,5501.4186,1139874.0021,True,
0410,"Property, real estate, and community association managers",3,278076.5034,449729.0187,499717.9009,707104.5849,45099056.5156,True,
0420,Social and community service managers,3,168588.1461,301505.4928,359902.9804,483537.4092,26420840.3552,True,
0425,Emergency management directors,3,5747.1658,3000.7653999999998,19527.6534,6550.5965,803683.9858,True,
0426,"Personal service managers, all other",3,4358.2161498000005,6437.803299,8093.70654,10385.627376,952594.4220504,True,
0440,"Managers, all other",4,1469260.24493779,2070027.9460414501,2455052.836217,3371198.3251048,298131933.6227669,True,
0500,"Agents and business managers of artists, performers, and athletes",5,67229.6586,79697.3472,95620.79550000001,49031.888,2581991.0617,True,
0510,"Buyers and purchasing agents, farm products",4,0.0,1811.675,26101.2088,8036.4458,633059.8160999999,False,nonpositive_22_preperiod_stock
0520,"Wholesale and retail buyers, except farm products",4,163761.9737,244199.3155,200857.0348,380895.1224,11065510.0474,True,
0530,"Purchasing agents, except wholesale, retail, and farm products",4,151017.3714,172519.8627,352432.6481,279782.3327,15790465.1792,True,
0540,"Claims adjusters, appraisers, examiners, and investigators",4,191920.1294,254032.7652,390803.1986,488545.8331,22095918.9207,True,
0565,Compliance officers,4,106595.6201,126654.62969999999,217188.08980000002,220429.4876,18666577.9531,True,
0600,Cost estimators,4,70949.3157,101477.1721,96239.9607,96604.0803,7660429.308,True,
0630,Human resources workers,5,724008.7239,1120711.9133,1275837.6473,1549428.2264,49718889.0971,True,
