age_cell,beta_quintile,occupations,preperiod_weighted_stock,postperiod_weighted_stock
22,1,120,47168692.75208839,30629242.9263
22,2,92,49270356.99877748,30009746.8679
22,3,76,24394250.64596677,15377008.9262
22,4,62,20390567.68054215,12450893.871799998
22,5,89,26941016.53849273,15834254.142900001
23,1,120,46082487.86612886,30399185.471300002
23,2,92,48760295.74345019,30462742.0207
23,3,76,30472573.987142798,18495950.625099998
23,4,62,25253835.40134662,16580887.2007
23,5,89,33404077.67797164,19477128.413200002
24,1,120,45059098.327202424,31820349.937400002
24,2,92,46973447.95330544,30661222.670800004
24,3,76,32758278.350634515,21370855.9134
24,4,62,28877343.132530045,18606688.1104
24,5,89,38822998.58833848,23020643.9435
25,1,120,45269328.16202274,28956525.212899998
25,2,92,47361957.915294915,27395206.4078
25,3,76,35128706.87988324,21404359.8551
25,4,62,32673295.191453915,19923255.369400002
25,5,89,39670882.99647708,24212574.8836
older_26_65,1,120,1493848151.6595795,886506607.0218999
older_26_65,2,92,1467013201.535646,909708597.3859999
older_26_65,3,76,1545642158.8690853,937838102.2099
older_26_65,4,62,1590589321.725703,1023903047.0565
older_26_65,5,89,1499429448.1183295,933454511.3051
