contrast,left_model,right_model,coefficient_difference,paired_analytic_se,paired_bootstrap_se,paired_ci_lower,paired_ci_upper,paired_bootstrap_p_value,paired_bootstrap_critical,normal_theory_paired_mde80,draws,common_occupation_multipliers
industry_cell_minus_valid_industry_aggregate,industry_cell_baseline,valid_industry_aggregate_baseline,-0.0053816188638254325,0.004272742645369043,0.0043177489515835036,-0.013792248895901917,0.003029011168251052,0.2153,1.9684382445060755,0.011970452636066813,9999,True
industry_conditioned_minus_industry_cell,industry_conditioned,industry_cell_baseline,0.03891037628224521,0.01585418688388646,0.015916040340383898,0.008169652046807075,0.06965110051768335,0.013,1.9389656789451457,0.04441685561909681,9999,True
industry_conditioned_minus_valid_industry_aggregate,industry_conditioned,valid_industry_aggregate_baseline,0.03352875741841978,0.016458314263295446,0.016549388775316587,0.0012701992161244374,0.06578731562071512,0.041,1.9600159339669951,0.04610936995510635,9999,True
BA_plus_minus_education_pooled,education_BA_plus,education_common_support_pooled,-0.00662252086499765,0.05110245497787755,0.05082656648687928,-0.10622894315542412,0.09298390142542882,0.8946,1.9491514122667195,0.1431678824753052,9999,True
non_BA_minus_education_pooled,education_non_BA,education_common_support_pooled,0.008733075397145934,0.02894574683970745,0.02898551586740084,-0.04765101575972901,0.06511716655402087,0.7684,1.9479231774226629,0.08109397647336457,9999,True
BA_plus_minus_non_BA,education_BA_plus,education_non_BA,-0.015355596262143584,0.07187495816279811,0.07163393755916125,-0.15570258515872212,0.12499139263443496,0.8306,1.952654895167939,0.20136382034138323,9999,True
age_22_minus_pooled_22_25,exact_age_22_vs_26_65,age_common_support_22_25_pooled,0.038509416780884306,0.05267018499990254,0.052122028059631745,-0.0611919698712879,0.13821080343305653,0.4891,1.8929378480891361,0.14756001173100233,9999,True
age_23_minus_pooled_22_25,exact_age_23_vs_26_65,age_common_support_22_25_pooled,-0.008556417011742395,0.036767622803863496,0.03693516603844906,-0.08034217671200632,0.06322934268852153,0.823,1.952417758504658,0.10300762855245726,9999,True
age_24_minus_pooled_22_25,exact_age_24_vs_26_65,age_common_support_22_25_pooled,-0.0905907856074353,0.0471928477987258,0.046521930706314274,-0.1787886115760618,-0.0023929596388087976,0.0432,1.86888119879487,0.13221478479356533,9999,True
age_25_minus_pooled_22_25,exact_age_25_vs_26_65,age_common_support_22_25_pooled,0.04940782999846503,0.028100351598050438,0.02838453445802275,-0.006265845793721317,0.10508150579065138,0.0835,1.9812448110453147,0.07872552966087523,9999,True
