sample,period,age_group,weighted_stock,respondent_equivalent,weighted_stock_share_of_full_baseline
full_BASE03_support,pre_2017_2022m11,young,746083022.7537504,226641.34113063346,1.0
full_BASE03_support,pre_2017_2022m11,older,7653685764.573144,2668711.425886604,1.0
full_BASE03_support,pre_2017_2022m11,total,8399768787.326895,2895352.7670172374,1.0
full_BASE03_support,post_2023_2026m07,young,468183433.2653,114166.0,1.0
full_BASE03_support,post_2023_2026m07,older,4726496372.4342,1335798.0,1.0
full_BASE03_support,post_2023_2026m07,total,5194679805.6995,1449964.0,1.0
all_valid_industry_records,pre_2017_2022m11,young,746083022.7537504,226641.34113063346,1.0
all_valid_industry_records,pre_2017_2022m11,older,7653685764.573144,2668711.425886604,1.0
all_valid_industry_records,pre_2017_2022m11,total,8399768787.326895,2895352.7670172374,1.0
all_valid_industry_records,post_2023_2026m07,young,468183433.2653,114166.0,1.0
all_valid_industry_records,post_2023_2026m07,older,4726496372.4342,1335798.0,1.0
all_valid_industry_records,post_2023_2026m07,total,5194679805.6995,1449964.0,1.0
preconnected_industry_risk_set,pre_2017_2022m11,young,745681487.874032,226507.28763063345,0.999461809386526
preconnected_industry_risk_set,pre_2017_2022m11,older,7577310977.25992,2640915.030100699,0.9900211754620575
preconnected_industry_risk_set,pre_2017_2022m11,total,8322992465.133952,2867422.3177313325,0.9908597100543078
preconnected_industry_risk_set,post_2023_2026m07,young,464697562.4924,113224.0,0.9925544764610996
preconnected_industry_risk_set,post_2023_2026m07,older,4673612821.7429,1320290.0,0.9888112575311119
preconnected_industry_risk_set,post_2023_2026m07,total,5138310384.2353,1433514.0,0.9891486244441182
all_valid_education_records,pre_2017_2022m11,young,746083022.7537504,226641.34113063346,1.0
all_valid_education_records,pre_2017_2022m11,older,7653685764.573144,2668711.425886604,1.0
all_valid_education_records,pre_2017_2022m11,total,8399768787.326895,2895352.7670172374,1.0
all_valid_education_records,post_2023_2026m07,young,468183433.2653,114166.0,1.0
all_valid_education_records,post_2023_2026m07,older,4726496372.4342,1335798.0,1.0
all_valid_education_records,post_2023_2026m07,total,5194679805.6995,1449964.0,1.0
education_common_support,pre_2017_2022m11,young,741781384.3833573,225265.03273063345,0.994234370386132
education_common_support,pre_2017_2022m11,older,7596147200.233954,2647059.367286604,0.9924822410915378
education_common_support,pre_2017_2022m11,total,8337928584.6173115,2872324.4000172373,0.9926378684609886
education_common_support,post_2023_2026m07,young,465419600.3993,113454.0,0.9940966880294676
education_common_support,post_2023_2026m07,older,4693593490.8634,1325917.0,0.9930386317944312
education_common_support,post_2023_2026m07,total,5159013091.2627,1439371.0,0.9931339917433087
age_common_support,pre_2017_2022m11,young,744733492.7890505,226172.34113063346,0.9981911799041896
age_common_support,pre_2017_2022m11,older,7596522281.908343,2647823.425886604,0.9925312477643915
age_common_support,pre_2017_2022m11,total,8341255774.697393,2873995.7670172374,0.9930339734210563
age_common_support,post_2023_2026m07,young,467088722.7704,113880.0,0.9976617914750527
age_common_support,post_2023_2026m07,older,4691410864.9794,1325425.0,0.992576846634343
age_common_support,post_2023_2026m07,total,5158499587.7498,1439305.0,0.9930351399310494
