family,left_model,right_model,covariance
education,education_BA_plus,education_BA_plus,0.004944352614035508
education,education_BA_plus,education_non_BA,0.0013716278483577563
education,education_non_BA,education_BA_plus,0.0013716278483577563
education,education_non_BA,education_non_BA,0.002964912693583983
exact_age,exact_age_22_vs_26_65,exact_age_22_vs_26_65,0.003780007465323327
exact_age,exact_age_22_vs_26_65,exact_age_23_vs_26_65,0.0022843623058048843
exact_age,exact_age_22_vs_26_65,exact_age_24_vs_26_65,0.00011375786253147314
exact_age,exact_age_22_vs_26_65,exact_age_25_vs_26_65,0.0009779637949311473
exact_age,exact_age_23_vs_26_65,exact_age_22_vs_26_65,0.0022843623058048843
exact_age,exact_age_23_vs_26_65,exact_age_23_vs_26_65,0.0034653979852879843
exact_age,exact_age_23_vs_26_65,exact_age_24_vs_26_65,0.0014522331691683016
exact_age,exact_age_23_vs_26_65,exact_age_25_vs_26_65,0.001670591117869033
exact_age,exact_age_24_vs_26_65,exact_age_22_vs_26_65,0.00011375786253147314
exact_age,exact_age_24_vs_26_65,exact_age_23_vs_26_65,0.0014522331691683016
exact_age,exact_age_24_vs_26_65,exact_age_24_vs_26_65,0.005257978119956082
exact_age,exact_age_24_vs_26_65,exact_age_25_vs_26_65,0.00274738857115371
exact_age,exact_age_25_vs_26_65,exact_age_22_vs_26_65,0.0009779637949311473
exact_age,exact_age_25_vs_26_65,exact_age_23_vs_26_65,0.001670591117869033
exact_age,exact_age_25_vs_26_65,exact_age_24_vs_26_65,0.00274738857115371
exact_age,exact_age_25_vs_26_65,exact_age_25_vs_26_65,0.0029809860171174946
