analysis_status,object,SOC2,nuisance_adjusted_target_score,score_units
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,11,-0.0002507802704933,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,13,-0.014107417275266782,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,15,-0.005079355584028948,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,17,0.013078284350106207,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,19,-0.0008055981393506533,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,21,0.00022438961138249267,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,23,0.00028374366181713206,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,25,0.004590754005032143,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,27,-0.0035777529430674033,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,29,0.004703743819744838,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,31,0.014895677204075482,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,33,-0.002629652651988171,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,35,-0.009257112845372135,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,37,-0.0005274943594279188,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,39,0.013870810456898568,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,41,0.003107448318486593,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,43,0.001962714961160561,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,45,0.0004516294696166568,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,47,-0.016786858028799253,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,49,-0.015072524092182859,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,51,-0.0015107972225769102,unscaled coefficient influence before SOC2 CRV1 factor
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,pooled,53,0.012436147554233726,unscaled coefficient influence before SOC2 CRV1 factor
