occupation_code,occupation_name,soc_major_group,historical_native_quintile,rebuilt_native_quintile,quintile_changed,historical_native_webb_z,rebuilt_native_webb_z
0010,Chief executives,11,4,4,False,-0.5854122079499413,-0.5779397221127773
0020,General and operations managers,11,4,4,False,0.1777149587415112,0.18371475297871132
0040,Advertising and promotions managers,11,4,4,False,0.8645294087638185,0.8692037805610511
0051,Marketing managers,11,4,4,False,0.8645294087638185,0.8692037805610511
0052,Sales managers,11,3,3,False,0.8645294087638185,0.8692037805610511
0060,Public relations and fundraising managers,11,5,5,False,0.8645294087638185,0.8692037805610511
0101,Administrative services managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0102,Facilities managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0110,Computer and information systems managers,11,4,4,False,0.1777149587415112,0.18371475297871132
0120,Financial managers,11,4,4,False,-0.6617249246190866,-0.6541051696219262
0135,Compensation and benefits managers,11,4,4,False,-0.9288194329610949,-0.9206842359039472
0136,Human resources managers,11,4,4,False,-0.9288194329610949,-0.9206842359039472
0137,Training and development managers,11,4,4,False,-0.9288194329610949,-0.9206842359039472
0140,Industrial production managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0150,Purchasing managers,11,5,5,False,0.711903975425528,0.7168728855427534
0160,"Transportation, storage, and distribution managers",11,4,4,False,1.0171548421021088,1.0215346755793488
0205,"Farmers, ranchers, and other agricultural managers",11,3,3,False,1.8565947254627067,1.8593545981799864
0220,Construction managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0300,Architectural and engineering managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0310,Food service managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0335,Entertainment and recreation managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0340,Lodging managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0350,Medical and health services managers,11,3,3,False,0.9789984837675363,0.9834519518247744
0360,Natural sciences managers,11,4,4,False,0.1777149587415112,0.18371475297871132
0410,"Property, real estate, and community association managers",11,3,3,False,-1.234070299637676,-1.2253460259405426
0420,Social and community service managers,11,3,3,False,0.1777149587415112,0.18371475297871132
0425,Emergency management directors,11,3,3,False,-0.8143503579573771,-0.8064360646402239
0426,"Personal service managers, all other",11,3,3,False,0.1777149587415112,0.18371475297871132
0440,"Managers, all other",11,4,4,False,0.1777149587415112,0.18371475297871132
0500,"Agents and business managers of artists, performers, and athletes",13,5,5,False,-1.3866957329759664,-1.3776769209588404
0510,"Buyers and purchasing agents, farm products",13,4,4,False,0.5211221837526648,0.5264592667698812
0520,"Wholesale and retail buyers, except farm products",13,4,4,False,0.10140224207236594,0.10754930546956244
0530,"Purchasing agents, except wholesale, retail, and farm products",13,4,4,False,0.711903975425528,0.7168728855427534
0540,"Claims adjusters, appraisers, examiners, and investigators",13,4,4,False,-0.05122319126592457,-0.04478158954873528
0565,Compliance officers,13,4,4,False,-1.0814448662993854,-1.0730151309222449
0600,Cost estimators,13,4,4,False,0.1777149587415112,0.18371475297871132
0630,Human resources workers,13,5,5,False,-1.3485393746413938,-1.339594197204266
0640,"Compensation, benefits, and job analysis specialists",13,4,4,False,-1.3485393746413938,-1.339594197204266
0650,Training and development specialists,13,5,5,False,-1.3485393746413938,-1.339594197204266
0700,Logisticians,13,4,4,False,0.1777149587415112,0.18371475297871132
0710,Management analysts,13,3,3,False,-0.4709431329462234,-0.46369155084905406
0725,"Meeting, convention, and event planners",13,4,4,False,0.1777149587415112,0.18371475297871132
0726,Fundraisers,13,4,4,False,-1.310383016306821,-1.3015114734496915
0735,Market research analysts and marketing specialists,13,4,4,False,0.13955860040693857,0.14563202922413687
0750,"Business operations specialists, all other",13,5,5,False,-0.8143503579573771,-0.8064360646402239
0800,Accountants and auditors,13,5,5,False,-1.234070299637676,-1.2253460259405426
0810,Property appraisers and assessors,13,4,4,False,0.5592785420872375,0.5645419905244556
0820,Budget analysts,13,4,4,False,-0.31831769960793294,-0.3113606558307563
0830,Credit analysts,13,5,5,False,-0.31831769960793294,-0.3113606558307563
0845,Financial and investment analysts,13,3,4,True,-0.31831769960793294,-0.3113606558307563
0850,Personal financial advisors,13,4,4,False,-0.31831769960793294,-0.3113606558307563
0860,Insurance underwriters,13,5,5,False,-0.9288194329610949,-0.9206842359039472
0900,Financial examiners,13,4,4,False,-1.0814448662993854,-1.0730151309222449
0910,Credit counselors and loan officers,13,5,5,False,-0.31831769960793294,-0.3113606558307563
0930,"Tax examiners and collectors, and revenue agents",13,5,5,False,-1.234070299637676,-1.2253460259405426
0940,Tax preparers,13,5,5,False,-0.31831769960793294,-0.3113606558307563
0960,Other financial specialists,13,5,5,False,-0.31831769960793294,-0.3113606558307563
1005,Computer and information research scientists,15,5,5,False,0.9408421254329636,0.9453692280702
1006,Computer systems analysts,15,5,5,False,0.9408421254329636,0.9453692280702
1007,Information security analysts,15,5,5,False,0.9408421254329636,0.9453692280702
1010,Computer programmers,15,5,5,False,2.0092201588009972,2.011685493198284
1021,Software developers,15,5,5,False,2.0092201588009972,2.011685493198284
1031,Web developers,15,5,5,False,0.9408421254329636,0.9453692280702
1032,Web and digital interface designers,15,5,5,False,0.9408421254329636,0.9453692280702
1050,Computer support specialists,15,5,5,False,0.9408421254329636,0.9453692280702
1065,Database administrators and architects,15,5,5,False,0.9408421254329636,0.9453692280702
1105,Network and computer systems administrators,15,5,5,False,0.9408421254329636,0.9453692280702
1106,Computer network architects,15,5,5,False,0.9408421254329636,0.9453692280702
1108,"Computer occupations, all other",15,5,5,False,0.9408421254329636,0.9453692280702
1200,Actuaries,15,4,4,False,-0.2420049829387877,-0.23519520832160745
1220,Operations research analysts,15,5,5,False,0.1777149587415112,0.18371475297871132
1240,Other mathematical science occupations,15,5,5,False,0.6355912587563827,0.6407074380336045
1305,"Architects, except landscape and naval",17,4,4,False,0.8263730504292458,0.8311210568064766
1306,Landscape architects,17,3,3,False,0.8263730504292458,0.8311210568064766
1310,"Surveyors, cartographers, and photogrammetrists",17,4,4,False,1.32240570877869,1.3261964656159442
1320,Aerospace engineers,17,5,5,False,-0.9669757912956676,-0.9587669596585217
1340,Bioengineers and biomedical engineers,17,5,5,False,1.1316239171058269,1.1357828468430722
1350,Chemical engineers,17,3,4,True,2.04737651713557,2.0497682169528586
1360,Civil engineers,17,4,4,False,-0.013066832931351942,-0.006698865794160848
1400,Computer hardware engineers,17,5,5,False,1.0934675587712541,1.0977001230884977
1410,Electrical and electronics engineers,17,5,5,False,1.0934675587712541,1.0977001230884977
1420,Environmental engineers,17,5,5,False,1.1316239171058269,1.1357828468430722
1430,"Industrial engineers, including health and safety",17,5,5,False,0.6355912587563827,0.6407074380336045
1440,Marine engineers and naval architects,17,3,3,False,1.1316239171058269,1.1357828468430722
1450,Materials engineers,17,4,4,False,1.0171548421021088,1.0215346755793488
1460,Mechanical engineers,17,4,4,False,0.9026857670983911,0.9072865043156255
1520,Petroleum engineers,17,4,4,False,0.9408421254329636,0.9453692280702
1530,"Engineers, all other",17,4,4,False,1.1316239171058269,1.1357828468430722
1541,Architectural and civil drafters,17,5,5,False,0.13955860040693857,0.14563202922413687
1551,Electrical and electronic engineering technologists and technicians,17,3,3,False,1.7802820087935614,1.7831891506708375
1560,Surveying and mapping technicians,17,4,4,False,1.32240570877869,1.3261964656159442
1600,Agricultural and food scientists,19,3,3,False,-1.0814448662993854,-1.0730151309222449
1610,Biological scientists,19,4,4,False,0.6355912587563827,0.6407074380336045
1640,Conservation scientists and foresters,19,3,3,False,0.711903975425528,0.7168728855427534
1650,Medical scientists,19,4,4,False,0.5211221837526648,0.5264592667698812
1700,Astronomers and physicists,19,5,5,False,1.1316239171058269,1.1357828468430722
1710,Atmospheric and space scientists,19,5,5,False,-0.05122319126592457,-0.04478158954873528
1720,Chemists and materials scientists,19,3,3,False,0.0632458837377933,0.06946658171498801
1745,"Environmental scientists and specialists, including health",19,4,4,False,0.5211221837526648,0.5264592667698812
1750,"Geoscientists and hydrologists, except geographers",19,4,4,False,0.5211221837526648,0.5264592667698812
1760,"Physical scientists, all other",19,3,3,False,1.2460929921095447,1.2500310181067955
1800,Economists,19,5,5,False,0.13955860040693857,0.14563202922413687
1821,Clinical and counseling psychologists,19,3,3,False,-0.5854122079499413,-0.5779397221127773
1822,School psychologists,19,3,3,False,-0.5854122079499413,-0.5779397221127773
1825,Other psychologists,19,3,3,False,-0.5854122079499413,-0.5779397221127773
1840,Urban and regional planners,19,4,4,False,-0.8143503579573771,-0.8064360646402239
1860,Miscellaneous social scientists and related workers,19,4,4,False,0.5211221837526648,0.5264592667698812
1900,Agricultural and food science technicians,19,3,3,False,1.7421256504589888,1.745106426916263
1910,Biological technicians,19,3,3,False,1.7421256504589888,1.745106426916263
1920,Chemical technicians,19,3,3,False,0.5211221837526648,0.5264592667698812
1970,"Other life, physical, and social science technicians",19,3,3,False,1.32240570877869,1.3261964656159442
1980,Occupational health and safety specialists and technicians,19,3,3,False,-0.2420049829387877,-0.23519520832160745
2001,Substance abuse and behavioral disorder counselors,21,2,2,False,-1.0814448662993854,-1.0730151309222449
2002,"Educational, guidance, and career counselors and advisors",21,2,2,False,-1.0814448662993854,-1.0730151309222449
2003,Marriage and family therapists,21,1,1,False,-1.0814448662993854,-1.0730151309222449
2004,Mental health counselors,21,2,2,False,-1.0814448662993854,-1.0730151309222449
2005,Rehabilitation counselors,21,3,3,False,-1.0814448662993854,-1.0730151309222449
2011,"Child, family, and school social workers",21,2,2,False,-0.9669757912956676,-0.9587669596585217
2012,Healthcare social workers,21,3,3,False,-0.9669757912956676,-0.9587669596585217
2013,Mental health and substance abuse social workers,21,2,2,False,-0.9669757912956676,-0.9587669596585217
2015,Probation officers and correctional treatment specialists,21,3,3,False,-1.539321166314257,-1.5300078159771382
2016,Social and human service assistants,21,3,3,False,-1.539321166314257,-1.5300078159771382
2040,Clergy,21,3,3,False,-1.539321166314257,-1.5300078159771382
2050,"Directors, religious activities and education",21,3,3,False,-1.539321166314257,-1.5300078159771382
2100,Lawyers,23,3,3,False,-0.20384862460421507,-0.197112484567033
2105,Judicial law clerks,23,4,4,False,-0.20384862460421507,-0.197112484567033
