analysis_status,draw,classification_mode,baseline_coefficient,SOC2_post_coefficient,SOC2_minus_baseline,baseline_iterations,SOC2_post_iterations,occupations_reclassified,q1_cut,q2_cut,q3_cut,q4_cut,minimum_household_multiplier,maximum_household_multiplier,mean_household_multiplier
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,1,fixed_corrected_labels,-0.16848888121599115,-0.0835429627240269,0.08494591849196424,5,5,0,nan,nan,nan,nan,1.4668502919596943e-07,12.894241597105552,1.0017015332772479
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,1,rebuilt_preperiod_labels,-0.16850518772665093,-0.08174867225177383,0.0867565154748771,5,5,1,0.153846153846,0.32487995025,0.45652173913,0.537037037037,1.4668502919596943e-07,12.894241597105552,1.0017015332772479
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2,fixed_corrected_labels,-0.10147769473466373,0.004957425133950191,0.10643511986861391,5,5,0,nan,nan,nan,nan,4.75264903225679e-07,12.430557895850804,0.9966382127000977
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,2,rebuilt_preperiod_labels,-0.10148208431158157,0.00613000023612799,0.10761208454770956,5,5,1,0.153846153846,0.323529411765,0.45652173913,0.537037037037,4.75264903225679e-07,12.430557895850804,0.9966382127000977
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,3,fixed_corrected_labels,-0.11168453573430802,-0.0033086104827361844,0.10837592525157183,5,5,0,nan,nan,nan,nan,8.518861656212154e-07,14.145647897700856,1.0031107920798557
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,3,rebuilt_preperiod_labels,-0.11172069862077304,0.0007615612051243328,0.11248225982589737,5,5,1,0.153846153846,0.32487995025,0.45652173913,0.537037037037,8.518861656212154e-07,14.145647897700856,1.0031107920798557
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,4,fixed_corrected_labels,-0.11588662269099138,-0.012203287928854268,0.10368333476213712,5,5,0,nan,nan,nan,nan,5.530430872665453e-07,14.316808703318198,0.9981512784964166
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,4,rebuilt_preperiod_labels,-0.12080226392333233,-0.022751260414900557,0.09805100350843178,5,5,2,0.14924748778,0.32487995025,0.45652173913,0.537037037037,5.530430872665453e-07,14.316808703318198,0.9981512784964166
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,5,fixed_corrected_labels,-0.13380356428791085,0.00043091945192832147,0.13423448373983918,5,5,0,nan,nan,nan,nan,4.1645665053436136e-09,13.394274291596012,0.9974669353147847
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,5,rebuilt_preperiod_labels,-0.13637905166031286,-0.006048468523230938,0.13033058313708193,5,5,2,0.14924748778,0.323529411765,0.45652173913,0.537037037037,4.1645665053436136e-09,13.394274291596012,0.9974669353147847
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,6,fixed_corrected_labels,-0.14044271947135167,-0.07821983740161569,0.06222288206973599,5,5,0,nan,nan,nan,nan,2.800963218706167e-06,13.412982333559915,0.9980080114183683
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,6,rebuilt_preperiod_labels,-0.14043335477977692,-0.07923734191951665,0.061196012860260274,5,5,1,0.153846153846,0.323529411765,0.45652173913,0.537037037037,2.800963218706167e-06,13.412982333559915,0.9980080114183683
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,7,fixed_corrected_labels,-0.09231010651610494,0.09110094901508846,0.1834110555311934,5,5,0,nan,nan,nan,nan,9.581084973917271e-07,16.906975554687442,0.9997091073840748
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,7,rebuilt_preperiod_labels,-0.09282676273803188,0.08893997848180397,0.18176674121983585,5,5,3,0.161764705882,0.324615384615,0.45652173913,0.537037037037,9.581084973917271e-07,16.906975554687442,0.9997091073840748
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,8,fixed_corrected_labels,-0.08008711769932061,-0.02607548498736916,0.05401163271195145,5,5,0,nan,nan,nan,nan,5.107655594355157e-06,13.503489416702951,1.0019817403361353
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,8,rebuilt_preperiod_labels,-0.08386608909062516,-0.031650547606842605,0.05221554148378256,5,5,2,0.14924748778,0.32487995025,0.45652173913,0.537037037037,5.107655594355157e-06,13.503489416702951,1.0019817403361353
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,9,fixed_corrected_labels,-0.15310155283376872,-0.09231095562343293,0.06079059721033579,5,5,0,nan,nan,nan,nan,2.2313951267711873e-06,13.164085310358741,0.9988707191339062
