analysis_status,contrast,left_model,right_model,left_coefficient,right_coefficient,coefficient_difference,paired_bootstrap_se,paired_ci_lower,paired_ci_upper,paired_p_value,paired_critical,paired_normal_theory_MDE80,common_occupation_multipliers,bootstrap_draws
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post_minus_profile_baseline__Q2_x_post,profile_SOC2_x_post,profile_baseline,-0.03684459198599929,-0.08556766365143814,0.04872307166543885,0.030120254219604816,-0.009507949540004841,0.10695409287088253,0.1068,1.933284519476001,0.08438445898744962,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post_minus_profile_baseline__Q3_x_post,profile_SOC2_x_post,profile_baseline,0.01638499070937579,-0.047233948886912694,0.06361893959628848,0.03575428093883875,-0.006591181647454661,0.1338290608400316,0.0744,1.9636843309433218,0.10016866496250891,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post_minus_profile_baseline__Q4_x_post,profile_SOC2_x_post,profile_baseline,-0.029854838339206345,-0.09742306161209625,0.06756822327288992,0.04502621060455078,-0.021338388314844733,0.15647483486062458,0.1366,1.9745523861328205,0.12614476605735084,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_post_minus_profile_baseline__Q5_x_post,profile_SOC2_x_post,profile_baseline,-0.03147377891485275,-0.13455395357329414,0.10308017465844138,0.05125493156259362,0.0023407508968197183,0.20381959842006303,0.0447,1.9654581654956758,0.14359505862115413,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month_minus_profile_baseline__Q2_x_post,profile_SOC2_x_calendar_month,profile_baseline,-0.035979441328678335,-0.08556766365143814,0.049588222322759806,0.030411715590840462,-0.009208280428912342,0.10838472507443195,0.1034,1.9333504082019215,0.08520101285675434,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month_minus_profile_baseline__Q3_x_post,profile_SOC2_x_calendar_month,profile_baseline,0.01706749681092002,-0.047233948886912694,0.06430144569783272,0.03589197882372155,-0.00601507871248827,0.1346179701081537,0.072,1.9591152874482292,0.10055443732136198,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month_minus_profile_baseline__Q4_x_post,profile_SOC2_x_calendar_month,profile_baseline,-0.028614047346277097,-0.09742306161209625,0.06880901426581916,0.04490165314973622,-0.01976778917217835,0.15738581770381666,0.1271,1.9726846836265728,0.12579580773313662,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,profile_SOC2_x_calendar_month_minus_profile_baseline__Q5_x_post,profile_SOC2_x_calendar_month,profile_baseline,-0.0317369875725137,-0.13455395357329414,0.10281696600078044,0.05106428993962036,0.00268251813869666,0.20295141386286422,0.0441,1.960948599901911,0.14306095986827516,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,direct_SOC2_x_post_minus_direct_baseline,direct_SOC2_x_post,direct_baseline,0.13583512524554758,0.027342358025382818,0.10849276722016477,0.1738129088940337,-0.2292543259578021,0.4462398603981316,0.5446,1.9431646091595927,0.4869516762747409,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,direct_SOC2_x_calendar_month_minus_direct_baseline,direct_SOC2_x_calendar_month,direct_baseline,0.13611649074370397,0.027342358025382818,0.10877413271832115,0.17609260781225733,-0.23429670444339507,0.45184496988003736,0.5456,1.9482409933271259,0.49333844706578434,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,continuous_SOC2_x_post_minus_continuous_baseline,continuous_SOC2_x_post,continuous_baseline,-0.002505892682473721,0.00016744025499140517,-0.0026733329374651264,0.004759550890964522,-0.012065354612295201,0.006718688737364947,0.5781,1.9732999793446442,0.013334287420982614,True,9999
POST-OUTCOME EXPLORATORY -- NOT PART OF CONFIRMATORY YAX v1.1,continuous_SOC2_x_calendar_month_minus_continuous_baseline,continuous_SOC2_x_calendar_month,continuous_baseline,-0.0024649048226005822,0.00016744025499140517,-0.0026323450775919874,0.00478961062775355,-0.011998799855560108,0.006734109700376132,0.587,1.955577500119509,0.013418502335231121,True,9999
