model_id,left_solver,right_solver,left_valid,right_valid,focal_target_absolute_difference,target_threshold,reported_target_max_absolute_difference,reported_target_vector_absolute_differences_json,fitted_probability_max_abs_difference,fitted_probability_threshold,objective_difference_per_total,objective_threshold,comparison_pass
pooled,L-BFGS-B,trust-ncg,false,true,1.0430741048672587e-08,1e-06,0.0,{},1.8833163623055427e-07,1e-07,1.6653345369377348e-16,1e-10,false
family_post,L-BFGS-B,trust-ncg,false,true,1.0812063136814154e-07,1e-06,0.0,{},4.338623304199485e-08,1e-07,1.1102230246251565e-16,1e-10,false
family_month,L-BFGS-B,trust-ncg,false,true,2.3726091406828242e-07,1e-06,0.0,{},8.455207764490602e-07,1e-07,2.3869795029440866e-15,1e-10,false
dynamics_unconditioned,L-BFGS-B,trust-ncg,false,true,1.3199165210808772e-06,1e-06,1.5970498169759484e-06,"{""Q5_x_2017Q1"":1.5970498169759484e-06,""Q5_x_2017Q2"":1.1974262882283315e-06,""Q5_x_2017Q3"":1.1837984883571184e-06,""Q5_x_2017Q4"":1.1878773082142895e-06,""Q5_x_2018Q1"":1.1722459102858629e-06,""Q5_x_2018Q2"":1.1917054360266466e-06,""Q5_x_2018Q3"":1.1645562835310708e-06,""Q5_x_2018Q4"":1.1703489322209982e-06,""Q5_x_2019Q1"":1.1369481034001483e-06,""Q5_x_2019Q2"":1.1878537789118682e-06,""Q5_x_2019Q3"":1.1805436477482778e-06,""Q5_x_2019Q4"":1.203245539249491e-06,""Q5_x_2020Q1"":1.1807959312201688e-06,""Q5_x_2020Q2"":1.1885416126326213e-06,""Q5_x_2020Q3"":1.167604974108838e-06,""Q5_x_2020Q4"":1.168927893507865e-06,""Q5_x_2021Q1"":1.1678146110642024e-06,""Q5_x_2021Q2"":1.1775928567825389e-06,""Q5_x_2021Q3"":1.16437914344375e-06,""Q5_x_2021Q4"":1.1775557794430763e-06,""Q5_x_2022Q1"":1.1504889503299864e-06,""Q5_x_2022Q2"":1.1800733673988928e-06,""Q5_x_2022Q3"":1.2225855273925723e-06,""Q5_x_2023Q1"":1.3589156694499005e-06,""Q5_x_2023Q2"":1.2877469148381282e-06,""Q5_x_2023Q3"":1.2918466677919183e-06,""Q5_x_2023Q4"":1.3739332592188624e-06,""Q5_x_2024Q1"":1.2844265600137073e-06,""Q5_x_2024Q2"":1.3704284371335307e-06,""Q5_x_2024Q3"":1.3745853284785614e-06,""Q5_x_2024Q4"":1.2776520832979976e-06,""Q5_x_2025Q1"":1.3535789185337155e-06,""Q5_x_2025Q2"":1.3217386720942859e-06,""Q5_x_2025Q3"":1.2785711003965305e-06,""Q5_x_2025Q4"":1.3078436909980118e-06,""Q5_x_2026Q1"":1.2808505853584284e-06,""Q5_x_2026Q2"":1.3148862139655826e-06,""Q5_x_2026Q3"":1.3133252716457378e-06}",3.8860633227999486e-07,1e-07,4.996003610813204e-16,1e-10,false
dynamics_family_month,L-BFGS-B,trust-ncg,false,true,9.07168801195235e-06,1e-06,9.59871796885059e-06,"{""Q5_x_2017Q1"":2.850207033416874e-06,""Q5_x_2017Q2"":8.79322998506571e-06,""Q5_x_2017Q3"":8.774947760220586e-06,""Q5_x_2017Q4"":8.773433097825079e-06,""Q5_x_2018Q1"":8.707011742298265e-06,""Q5_x_2018Q2"":8.69270208753159e-06,""Q5_x_2018Q3"":8.747722465368701e-06,""Q5_x_2018Q4"":8.760855619183161e-06,""Q5_x_2019Q1"":8.680345318777538e-06,""Q5_x_2019Q2"":8.695494925325953e-06,""Q5_x_2019Q3"":8.764345232142867e-06,""Q5_x_2019Q4"":8.794633171077537e-06,""Q5_x_2020Q1"":8.83386397348973e-06,""Q5_x_2020Q2"":8.860300404617272e-06,""Q5_x_2020Q3"":9.030598683262836e-06,""Q5_x_2020Q4"":8.653322937313135e-06,""Q5_x_2021Q1"":8.494448241191943e-06,""Q5_x_2021Q2"":8.708419508396403e-06,""Q5_x_2021Q3"":8.85807518358206e-06,""Q5_x_2021Q4"":8.806303991165665e-06,""Q5_x_2022Q1"":8.835347378360892e-06,""Q5_x_2022Q2"":8.689155119839809e-06,""Q5_x_2022Q3"":8.697225505727157e-06,""Q5_x_2023Q1"":9.128205667841005e-06,""Q5_x_2023Q2"":9.106575335898759e-06,""Q5_x_2023Q3"":8.935001953508381e-06,""Q5_x_2023Q4"":9.095043865037233e-06,""Q5_x_2024Q1"":8.969499982997009e-06,""Q5_x_2024Q2"":8.884997807448447e-06,""Q5_x_2024Q3"":8.915031187273215e-06,""Q5_x_2024Q4"":9.59871796885059e-06,""Q5_x_2025Q1"":9.181558892540354e-06,""Q5_x_2025Q2"":9.06299984979042e-06,""Q5_x_2025Q3"":9.209927704423304e-06,""Q5_x_2025Q4"":8.535887025942768e-06,""Q5_x_2026Q1"":9.087036415472705e-06,""Q5_x_2026Q2"":9.127660587859854e-06,""Q5_x_2026Q3"":9.032350793289345e-06}",1.51879933413257e-06,1e-07,4.163336342344337e-15,1e-10,false
post_2020_unconditioned,L-BFGS-B,trust-ncg,false,true,1.0797883837065925e-09,1e-06,0.0,{},7.155425812976901e-08,1e-07,2.220446049250313e-16,1e-10,false
post_2020_family_month,L-BFGS-B,trust-ncg,false,true,2.6593859144691256e-07,1e-06,0.0,{},1.786229314362786e-06,1e-07,6.106226635438361e-16,1e-10,false
seasonal_quintile_month_unconditioned,L-BFGS-B,trust-ncg,false,false,3.379517296564494e-08,1e-06,0.0,{},6.101438193573117e-08,1e-07,0.0,1e-10,false
seasonal_quintile_month_family_month,L-BFGS-B,trust-ncg,false,true,3.2134775208858546e-08,1e-06,0.0,{},6.606247148766009e-07,1e-07,3.885780586188048e-16,1e-10,false
seasonal_occupation_month_unconditioned,L-BFGS-B,trust-ncg,false,true,3.0405471196370826e-09,1e-06,0.0,{},3.961151834319665e-07,1e-07,2.7755575615628914e-16,1e-10,false
