occupation_code,occupation_name,young_preperiod_stock,older_preperiod_stock,total_preperiod_stock,rule_A_beta,webb_pct_software,eligible,exclusion_reasons
0010,Chief executives,658804.9971,104034824.5083,104693629.5054,0.507777777778,30.0,True,
0020,General and operations managers,2599597.5086,70120068.7208,72719666.2294,0.480769230769,50.0,True,
0040,Advertising and promotions managers,441644.3994,3631860.6641,4073505.0635,0.476744186047,68.0,True,
0051,Marketing managers,2820576.70889593,37087168.81563857,39907745.5245345,0.5,68.0,True,
0052,Sales managers,1875203.52520407,35100152.00016143,36975355.5253655,0.45,68.0,True,
0060,Public relations and fundraising managers,282877.4574,5859403.2598,6142280.7172,0.553490787572,68.0,True,
0101,Administrative services managers,94499.77188648,4230083.00176045,4324582.77364693,0.391304347826,50.0,True,
0102,Facilities managers,104304.61821352,7726852.0647395495,7831156.68295307,0.400162337662,50.0,True,
0110,Computer and information systems managers,1059064.7151,46597443.5163,47656508.2314,0.530303030303,50.0,True,
0120,Financial managers,3076454.4836,82465436.9991,85541891.4827,0.485055230669,28.0,True,
0135,Compensation and benefits managers,42855.1546,1279246.5631,1322101.7177,0.513157894737,21.0,True,
0136,Human resources managers,478814.3874,20234374.102,20713188.489400003,0.48,21.0,True,
0137,Training and development managers,129258.7324,3642309.4911,3771568.2235000003,0.5,21.0,True,
0140,Industrial production managers,534439.4709,18006645.7371,18541085.208,0.405718701503,50.0,True,
0150,Purchasing managers,543314.9259,14565269.1716,15108584.097499998,0.585714285714,64.0,True,
0160,"Transportation, storage, and distribution managers",989020.7343,19726297.229,20715317.963299997,0.486525974026,72.0,True,
0205,"Farmers, ranchers, and other agricultural managers",1608917.7912,46051395.4182,47660313.2094,0.367346938776,94.0,True,
0220,Construction managers,2280112.8704,65194445.4586,67474558.329,0.444444444444,50.0,True,
0230,Education and childcare administrators,1732116.4026,62030115.1982,63762231.6008,,26.0,False,nonfinite_rule_A_beta
0300,Architectural and engineering managers,145421.5883,11196410.5174,11341832.105700001,0.442610837438,50.0,True,
0310,Food service managers,8182612.3661,67576731.9818,75759344.3479,0.416666666667,50.0,True,
0335,Entertainment and recreation managers,172291.48147824,4157771.51970752,4330063.00118576,0.390562469163,50.0,True,
0340,Lodging managers,335542.37679999997,8435570.1227,8771112.4995,0.45652173913,50.0,True,
0350,Medical and health services managers,1198063.0731,46857890.161,48055953.2341,0.428571428571,71.0,True,
0360,Natural sciences managers,46595.1373,1139874.0021,1186469.1394,0.530696798493,50.0,True,
0410,"Property, real estate, and community association managers",1934628.0079,45099056.5156,47033684.5235,0.443181818182,13.0,True,
0420,Social and community service managers,1313534.0285,26420840.3552,27734374.3837,0.392857142857,50.0,True,
0425,Emergency management directors,34826.1811,803683.9858,838510.1669000001,0.422222222222,24.0,True,
0426,"Personal service managers, all other",29275.3533648,952594.4220504,981869.7754152,0.452122153209,50.0,True,
0440,"Managers, all other",9365539.35230104,298131933.6227669,307497472.975068,0.491267364041,50.0,True,
0500,"Agents and business managers of artists, performers, and athletes",291579.6893,2581991.0617,2873570.751,0.54347826087,9.0,True,
0510,"Buyers and purchasing agents, farm products",35949.3296,633059.8160999999,669009.1457,0.527777777778,59.0,True,
0520,"Wholesale and retail buyers, except farm products",989713.4464,11065510.0474,12055223.4938,0.466666666667,48.0,True,
0530,"Purchasing agents, except wholesale, retail, and farm products",955752.2149,15790465.1792,16746217.3941,0.473684210526,64.0,True,
0540,"Claims adjusters, appraisers, examiners, and investigators",1325301.9263,22095918.9207,23421220.847,0.519210553579,44.0,True,
0565,Compliance officers,670867.8271999999,18666577.9531,19337445.7803,0.526304274931,17.0,True,
0600,Cost estimators,365270.52880000003,7660429.308,8025699.836800001,0.5,50.0,True,
0630,Human resources workers,4669986.5109,49718889.0971,54388875.607999995,0.636460402172,10.0,True,
0640,"Compensation, benefits, and job analysis specialists",121119.9983,3943986.4057,4065106.404,0.473684210526,10.0,True,
0650,Training and development specialists,462526.8381,8534846.3933,8997373.2314,0.552631578947,10.0,True,
0700,Logisticians,833606.9418,8666017.5318,9499624.4736,0.527860531833,50.0,True,
0705,Project management specialists,1846352.14160877,48064973.56164905,49911325.703257814,0.55,,False,nonfinite_webb_software
0710,Management analysts,3676739.9597,58849895.7427,62526635.70240001,0.404761904762,33.0,True,
0725,"Meeting, convention, and event planners",1188120.7688,7562620.8972,8750741.666,0.486486486486,50.0,True,
0726,Fundraisers,322361.3221,5508523.853,5830885.175100001,0.519230769231,11.0,True,
0735,Market research analysts and marketing specialists,3723145.6911,22355113.3123,26078259.0034,0.524590163934,49.0,True,
0750,"Business operations specialists, all other",1677862.94412987,20600136.86078371,22277999.80491358,0.582840766028,24.0,True,
0800,Accountants and auditors,8656850.2017,108966277.2534,117623127.4551,0.56,13.0,True,
0810,Property appraisers and assessors,164319.5269,5213366.5729,5377686.0998,0.53125,60.0,True,
0820,Budget analysts,57768.794,3704458.6471,3762227.4411000004,0.52,37.0,True,
0830,Credit analysts,292938.8497,2018172.482,2311111.3317,0.555555555556,37.0,True,
0845,Financial and investment analysts,2490834.68816913,20648561.204691358,23139395.892860487,0.461538461538,37.0,True,
0850,Personal financial advisors,2552715.1482,32445986.7177,34998701.8659,0.5,37.0,True,
0860,Insurance underwriters,571195.0537,6972371.3863,7543566.44,0.571428571429,21.0,True,
0900,Financial examiners,57639.4782,1189986.1768,1247625.655,0.5,17.0,True,
0910,Credit counselors and loan officers,1845072.8159,24543460.2087,26388533.024600003,0.593775701278,37.0,True,
0930,"Tax examiners and collectors, and revenue agents",153227.4462,3784409.4144,3937636.8606000002,0.58064516129,13.0,True,
0940,Tax preparers,441217.331,5412983.453,5854200.784,0.625,37.0,True,
