model_id,multiplier,fixed_target,likelihood_curvature_se,objective_per_total,raw_negative_log_likelihood,objective_rise_from_center_per_total,raw_negative_log_likelihood_rise_from_center,nuisance_raw_gradient_infinity_norm,nuisance_gradient_infinity_norm_per_total,nuisance_standardized_score_max_abs,nuisance_coordinate_newton_step_max_abs,target_score_per_total,success,nuisance_fit_method,acceptance_source,scipy_success,scipy_status,scipy_status_is_not_acceptance_evidence,optimizer_reparameterization_status,message,iterations
pooled,-2.0,-0.13249951944685928,0.00019503432733444033,0.28326108493270147,3850778257.5224934,1.471181509948849e-10,1.999990463256836,0.00018675372939469526,1.3737499400343105e-14,5.174185103752131e-07,1.4335559228008062e-09,-7.54317509532421e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
pooled,-1.0,-0.13230448511952486,0.00019503432733444033,0.2832610848223629,3850778256.022501,3.677957938208465e-11,0.4999980926513672,0.00018675366573006613,1.3737494717208759e-14,5.174183339766262e-07,1.433555434044934e-09,-3.7716012421755533e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
pooled,0.0,-0.1321094507921904,0.00019503432733444033,0.2832610847855833,3850778255.522503,0.0,0.0,0.00018675413207347447,1.3737529021167845e-14,5.174196260144132e-07,1.4335590137280886e-09,-8.113864764445365e-19,True,supplied-certified-full-optimum,SUPPLIED_FULL_OPTIMUM_ORIGINAL_COORDINATE_KKT,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,center is the supplied original-KKT-certified full optimum,8
pooled,1.0,-0.13191441646485597,0.00019503432733444033,0.28326108482236306,3850778256.022504,3.677974591553834e-11,0.5000009536743164,0.00018675373871701595,1.3737500086087777e-14,5.174185361740693e-07,1.433555994197204e-09,3.7716286160975374e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
pooled,2.0,-0.13171938213752155,0.00019503432733444033,0.28326108493270286,3850778257.5225124,1.4711953877366568e-10,2.000009536743164,0.00018675370233722788,1.3737497410011009e-14,5.174184353706656e-07,1.433555714884799e-09,7.543284591040856e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
family_post,-2.0,-0.02231393506249461,0.00035747521548603126,0.2832249100535494,3850286479.9875016,1.4711820650603613e-10,1.9999909400939941,0.00018694506638894381,1.3751574042130835e-14,5.179490480541947e-07,1.4350269924861333e-09,-4.115471029116781e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
family_post,-1.0,-0.02195645984700858,0.00035747521548603126,0.2832249099432108,3850286478.4875093,3.677963489323588e-11,0.4999985694885254,0.0001869456341410114,1.3751615805653915e-14,5.179506230823167e-07,1.4350313618396902e-09,-2.057742418592761e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
family_post,0.0,-0.021598984631522548,0.00035747521548603126,0.2832249099064312,3850286477.9875107,0.0,0.0,0.00018693645233724965,1.375094039732831e-14,5.179251860454081e-07,1.4349608917164558e-09,-4.581443429000813e-19,True,supplied-certified-full-optimum,SUPPLIED_FULL_OPTIMUM_ORIGINAL_COORDINATE_KKT,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,center is the supplied original-KKT-certified full optimum,8
family_post,1.0,-0.021241509416036516,0.00035747521548603126,0.283224909943211,3850286478.4875116,3.6779801426689573e-11,0.5000009536743164,0.0001869466636890138,1.3751691538626486e-14,5.179534795915763e-07,1.4350392872873025e-09,2.057756215231764e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
family_post,2.0,-0.020884034200550485,0.00035747521548603126,0.2832249100535507,3850286479.9875193,1.4711953877366568e-10,2.0000085830688477,0.0001869471248028276,1.3751725457899536e-14,5.179547591828309e-07,1.4350428381452515e-09,4.1155262156481516e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,complete standalone Newton internal certificate passed,8
