family,occupation_count,preperiod_stock,national_preperiod_stock_share,quintiles_present,quintile_count,q1_occupation_count,q5_occupation_count,direct_q1_q5_support,exposure_min,exposure_max
11,29,1138703725.1262689,0.13556369871088383,3|4|5,3,0,2,False,0.367346938776,0.585714285714
13,28,522202769.4780136,0.06216870757989009,3|4|5,3,0,11,False,0.404761904762,0.636460402172
15,15,362231349.3051428,0.04312396668008975,4|5,2,0,14,False,0.5,0.95
17,19,191241826.63180572,0.02276751080581418,3|4|5,3,0,7,False,0.405660377358,0.727272727273
19,21,104873954.44102222,0.012485338239220375,3|4|5,3,0,3,False,0.343945988498,0.722522779043
21,12,110110700.47896945,0.013108777546960387,1|2|3,3,1,0,False,0.111111111111,0.439393939394
23,4,112790998.35904706,0.013427869411027108,3|4|5,3,0,1,False,0.425,0.571428571429
25,7,380816199.5451236,0.04533650975246819,2|3|5,3,0,2,False,0.22859311977,0.567307692308
27,25,151514118.0582241,0.01803789150563528,1|2|3|4|5,5,2,9,True,0.0,0.958333333333
29,37,536175274.5288976,0.06383214682502324,1|2|3|4|5,5,3,2,True,0.0666666666667,0.617647058824
31,14,307788222.8315,0.036642463694461905,1|2|3|5,4,4,1,True,0.0740740740741,0.875
33,17,191517147.65080002,0.022800288019802464,1|2|3,3,3,0,False,0.0357142857143,0.415094339623
35,10,274404301.95,0.03266807800281432,1|2|4,3,5,0,False,0.0,0.511111111111
37,6,210867541.965645,0.025103969800191438,1|2|3,3,3,0,False,0.0,0.354545454545
39,17,211229773.0331581,0.025147093733323935,1|2|3,3,7,0,False,0.0147058823529,0.399572976219
41,17,844839650.6759999,0.10057891735670715,1|2|3|4|5,5,1,7,True,0.133131473338,0.805555555556
43,47,941841739.0778999,0.1121271028910818,2|3|4|5,4,0,32,False,0.216216216216,0.975
45,5,12286396.887,0.0014627065575348974,1|2,2,3,0,False,0.0434782608696,0.291666666667
47,30,515353460.06365514,0.061353291157393755,1|2|3,3,27,0,False,0.0,0.416666666667
49,31,299239454.3452,0.03562472514680118,1|2|3,3,21,0,False,0.0,0.410256410256
51,52,347742182.6282999,0.041399018405477314,1|2|3,3,39,0,False,0.0,0.4375
53,25,631998000.2652206,0.0752399281773975,1|2|3,3,10,0,False,0.03125,0.412575757576
