family,quintile_low,quintile_high,quintile_distance,low_occupation_count,high_occupation_count,low_preperiod_stock,high_preperiod_stock,low_named_occupations,high_named_occupations,direct_tail_edge
11,3,4,1,15,12,407653795.76626647,709799064.5453024,"Administrative services managers; Architectural and engineering managers; Construction managers; Emergency management directors; Entertainment and recreation managers; Facilities managers; Farmers, ranchers, and other agricultural managers; Food service managers; Industrial production managers; Lodging managers; Medical and health services managers; Personal service managers, all other; Property, real estate, and community association managers; Sales managers; Social and community service managers","Advertising and promotions managers; Chief executives; Compensation and benefits managers; Computer and information systems managers; Financial managers; General and operations managers; Human resources managers; Managers, all other; Marketing managers; Natural sciences managers; Training and development managers; Transportation, storage, and distribution managers",False
11,3,5,2,15,2,407653795.76626647,21250864.8147,"Administrative services managers; Architectural and engineering managers; Construction managers; Emergency management directors; Entertainment and recreation managers; Facilities managers; Farmers, ranchers, and other agricultural managers; Food service managers; Industrial production managers; Lodging managers; Medical and health services managers; Personal service managers, all other; Property, real estate, and community association managers; Sales managers; Social and community service managers",Public relations and fundraising managers; Purchasing managers,False
11,4,5,1,12,2,709799064.5453024,21250864.8147,"Advertising and promotions managers; Chief executives; Compensation and benefits managers; Computer and information systems managers; Financial managers; General and operations managers; Human resources managers; Managers, all other; Marketing managers; Natural sciences managers; Training and development managers; Transportation, storage, and distribution managers",Public relations and fundraising managers; Purchasing managers,False
13,3,4,1,1,16,62526635.7024,203005070.1744605,Management analysts,"Budget analysts; Buyers and purchasing agents, farm products; Claims adjusters, appraisers, examiners, and investigators; Compensation, benefits, and job analysis specialists; Compliance officers; Cost estimators; Financial and investment analysts; Financial examiners; Fundraisers; Logisticians; Market research analysts and marketing specialists; Meeting, convention, and event planners; Personal financial advisors; Property appraisers and assessors; Purchasing agents, except wholesale, retail, and farm products; Wholesale and retail buyers, except farm products",False
13,3,5,2,1,11,62526635.7024,256671063.6011531,Management analysts,"Accountants and auditors; Agents and business managers of artists, performers, and athletes; Business operations specialists, all other; Credit analysts; Credit counselors and loan officers; Human resources workers; Insurance underwriters; Other financial specialists; Tax examiners and collectors, and revenue agents; Tax preparers; Training and development specialists",False
13,4,5,1,16,11,203005070.1744605,256671063.6011531,"Budget analysts; Buyers and purchasing agents, farm products; Claims adjusters, appraisers, examiners, and investigators; Compensation, benefits, and job analysis specialists; Compliance officers; Cost estimators; Financial and investment analysts; Financial examiners; Fundraisers; Logisticians; Market research analysts and marketing specialists; Meeting, convention, and event planners; Personal financial advisors; Property appraisers and assessors; Purchasing agents, except wholesale, retail, and farm products; Wholesale and retail buyers, except farm products","Accountants and auditors; Agents and business managers of artists, performers, and athletes; Business operations specialists, all other; Credit analysts; Credit counselors and loan officers; Human resources workers; Insurance underwriters; Other financial specialists; Tax examiners and collectors, and revenue agents; Tax preparers; Training and development specialists",False
15,4,5,1,1,14,2183996.9914,360047352.31374276,Actuaries,"Computer and information research scientists; Computer network architects; Computer occupations, all other; Computer programmers; Computer support specialists; Computer systems analysts; Database administrators and architects; Information security analysts; Network and computer systems administrators; Operations research analysts; Other mathematical science occupations; Software developers; Web and digital interface designers; Web developers",False
17,3,4,1,3,9,9777129.27156191,124927010.0959121,Electrical and electronic engineering technologists and technicians; Landscape architects; Marine engineers and naval architects,"Architects, except landscape and naval; Chemical engineers; Civil engineers; Engineers, all other; Materials engineers; Mechanical engineers; Petroleum engineers; Surveying and mapping technicians; Surveyors, cartographers, and photogrammetrists",False
17,3,5,2,3,7,9777129.27156191,56537687.26433176,Electrical and electronic engineering technologists and technicians; Landscape architects; Marine engineers and naval architects,"Aerospace engineers; Architectural and civil drafters; Bioengineers and biomedical engineers; Computer hardware engineers; Electrical and electronics engineers; Environmental engineers; Industrial engineers, including health and safety",False
17,4,5,1,9,7,124927010.0959121,56537687.26433176,"Architects, except landscape and naval; Chemical engineers; Civil engineers; Engineers, all other; Materials engineers; Mechanical engineers; Petroleum engineers; Surveying and mapping technicians; Surveyors, cartographers, and photogrammetrists","Aerospace engineers; Architectural and civil drafters; Bioengineers and biomedical engineers; Computer hardware engineers; Electrical and electronics engineers; Environmental engineers; Industrial engineers, including health and safety",False
19,3,4,1,12,6,71981798.01912223,28947110.148900002,"Agricultural and food science technicians; Agricultural and food scientists; Biological technicians; Chemical technicians; Chemists and materials scientists; Clinical and counseling psychologists; Conservation scientists and foresters; Occupational health and safety specialists and technicians; Other life, physical, and social science technicians; Other psychologists; Physical scientists, all other; School psychologists","Biological scientists; Environmental scientists and specialists, including health; Geoscientists and hydrologists, except geographers; Medical scientists; Miscellaneous social scientists and related workers; Urban and regional planners",False
19,3,5,2,12,3,71981798.01912223,3945046.273,"Agricultural and food science technicians; Agricultural and food scientists; Biological technicians; Chemical technicians; Chemists and materials scientists; Clinical and counseling psychologists; Conservation scientists and foresters; Occupational health and safety specialists and technicians; Other life, physical, and social science technicians; Other psychologists; Physical scientists, all other; School psychologists",Astronomers and physicists; Atmospheric and space scientists; Economists,False
19,4,5,1,6,3,28947110.148900002,3945046.273,"Biological scientists; Environmental scientists and specialists, including health; Geoscientists and hydrologists, except geographers; Medical scientists; Miscellaneous social scientists and related workers; Urban and regional planners",Astronomers and physicists; Atmospheric and space scientists; Economists,False
