multiplier,fixed_target,likelihood_curvature_se,objective_per_total,raw_negative_log_likelihood,nuisance_raw_gradient_infinity_norm,nuisance_gradient_infinity_norm_per_total,nuisance_standardized_score_max_abs,nuisance_coordinate_newton_step_max_abs,target_score_per_total,success,nuisance_fit_method,acceptance_source,scipy_success,scipy_status,scipy_status_is_not_acceptance_evidence,message,iterations,optimizer_reparameterization,optimizer_reparameterization_status,objective_rise_from_center_per_total,raw_negative_log_likelihood_rise_from_center,model_id
-2.0,-0.13249951944685934,0.0001950343273344402,0.28326108493270147,3850778257.5224934,0.00018675372029974824,1.3737498731323913e-14,5.174184851768197e-07,1.4335558529863229e-09,-7.543175095326009e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,1.471181509948849e-10,1.999990463256836,pooled
-1.0,-0.13230448511952492,0.0001950343273344402,0.2832610848223629,3850778256.022501,0.00018675367573450785,1.373749545312987e-14,5.174183616948588e-07,1.4335555108408655e-09,-3.7716012421787217e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,3.677957938208465e-11,0.4999980926513672,pooled
0.0,-0.13210945079219047,0.0001950343273344402,0.2832610847855833,3850778255.522503,0.0001867542271156708,1.3737536012418405e-14,5.174198893376237e-07,1.4335597432894395e-09,-1.2245727296207781e-18,True,supplied-certified-full-optimum,SUPPLIED_FULL_OPTIMUM_ORIGINAL_COORDINATE_KKT,,,True,center is the supplied original-KKT-certified full optimum,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,0.0,0.0,pooled
1.0,-0.13191441646485602,0.0001950343273344402,0.28326108482236306,3850778256.022504,0.0001867537187081325,1.3737498614245554e-14,5.17418480737604e-07,1.433555840605341e-09,3.771628616104067e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,3.677974591553834e-11,0.5000009536743164,pooled
2.0,-0.1317193821375216,0.0001950343273344402,0.28326108493270286,3850778257.5225124,0.00018675373326004774,1.3737499684676262e-14,5.174185210452031e-07,1.4335559522540429e-09,7.543284591047621e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,1.4711953877366568e-10,2.000009536743164,pooled
-2.0,-0.022390928158163168,0.00035798806995824916,0.2827833831616568,3844284165.3532286,0.00019006163893209305,1.3980827367252677e-14,5.265936055345532e-07,3.74948328925965e-09,-4.1095753386021105e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,1.4711826201718736e-10,1.9999914169311523,family_month
-1.0,-0.022032940088204916,0.00035798806995824916,0.2827833830513182,3844284163.8532367,0.00019006216757588845,1.3980866253993229e-14,5.265950722926405e-07,3.749522239471784e-09,-2.0547945279176504e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,3.677969040438711e-11,0.4999995231628418,family_month
0.0,-0.02167495201824667,0.00035798806995824916,0.28278338301453854,3844284163.353237,0.00019005340868716303,1.3980221955060066e-14,5.265708065865068e-07,3.7487415294977095e-09,-1.3701513058694022e-19,True,supplied-certified-full-optimum,SUPPLIED_FULL_OPTIMUM_ORIGINAL_COORDINATE_KKT,,,True,center is the supplied original-KKT-certified full optimum,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,0.0,0.0,family_month
1.0,-0.02131696394828842,0.00035798806995824916,0.28278338305131834,3844284163.8532386,0.00019006326874659862,1.398094725549194e-14,5.2659812740839e-07,3.749600872289908e-09,2.054808233803761e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,3.6779801426689573e-11,0.5000014305114746,family_month
2.0,-0.02095897587833017,0.00035798806995824916,0.282783383161658,3844284165.3532457,0.00019006382285624568,1.3980988015486232e-14,5.265996647383149e-07,3.7496407238980686e-09,4.109630162133344e-07,True,independent-damped-sparse-newton-irls-from-zero,ORIGINAL_COORDINATE_DECLARED_KKT_AND_FULL_HESSIAN_CERTIFICATE,,,True,complete standalone Newton internal certificate passed,8,{'status': 'NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON'},NOT_USED_INDEPENDENT_ORIGINAL_COORDINATE_NEWTON,1.4711948326251445e-10,2.0000085830688477,family_month
