functional_label,quintile_low,quintile_high,eligible_family_count,estimate_source,estimate,standard_error,z,p_value_normal,weight_rule
Q2_vs_Q1_fixed_pair_stock,1,2,14,trust-path,-0.009511506951666391,0.03684713802489655,-0.2581342123570015,0.7963033284292954,fixed_pair_endpoint_preperiod_stock
Q3_vs_Q1_fixed_pair_stock,1,3,12,trust-path,0.013206648746704281,0.05414523090489396,0.24391157865596225,0.8072993014994623,fixed_pair_endpoint_preperiod_stock
Q4_vs_Q1_fixed_pair_stock,1,4,4,trust-path,-0.061833422349665636,0.057728978720355935,-1.07109849715499,0.28412514388963694,fixed_pair_endpoint_preperiod_stock
Q5_vs_Q1_fixed_pair_stock,1,5,4,trust-path,0.10202646244111195,0.07812981602959806,1.3058582193827395,0.19160077710253676,fixed_pair_endpoint_preperiod_stock
Q3_vs_Q2_fixed_pair_stock,2,3,14,trust-path,0.07015027581558526,0.0348165502645996,2.0148542943644796,0.0439199181777415,fixed_pair_endpoint_preperiod_stock
Q4_vs_Q2_fixed_pair_stock,2,4,5,trust-path,-0.003264275681890881,0.035369840991735964,-0.0922898036961367,0.9264677892679761,fixed_pair_endpoint_preperiod_stock
Q5_vs_Q2_fixed_pair_stock,2,5,6,trust-path,0.11769391861603687,0.04977446361335857,2.3645441873621706,0.018052273699775506,fixed_pair_endpoint_preperiod_stock
Q4_vs_Q3_fixed_pair_stock,3,4,9,trust-path,-0.08410320972060234,0.04576474063533862,-1.8377294081212276,0.0661022881844096,fixed_pair_endpoint_preperiod_stock
Q5_vs_Q3_fixed_pair_stock,3,5,11,trust-path,-0.04462156495201665,0.09654020444213404,-0.46220706916736126,0.6439328342987609,fixed_pair_endpoint_preperiod_stock
Q5_vs_Q4_fixed_pair_stock,4,5,10,trust-path,-0.10823343702396251,0.04848061758989936,-2.2325094523241447,0.02558131120574045,fixed_pair_endpoint_preperiod_stock
