functional_label,family,quintile_low,quintile_high,family_pair_stock,family_weight,edge_label,record_type,coefficient_label,coefficient_weight
Q2_vs_Q1_fixed_pair_stock,21,1,2,52265179.05651328,0.017432377873992523,family_21:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,27,1,2,25669183.00245225,0.008561625653890289,family_27:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,29,1,2,179926737.73253667,0.06001224789446983,family_29:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,31,1,2,253845172.6297,0.08466679059847851,family_31:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,33,1,2,114011691.80070001,0.03802713258427642,family_33:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,35,1,2,243337656.05409998,0.08116214366586127,family_35:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,37,1,2,193695374.49694496,0.06460459949872593,family_37:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,39,1,2,191515376.99001288,0.06387748938466489,family_39:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,41,1,2,130773435.23789999,0.04361779640096855,family_41:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,45,1,2,12286396.887,0.004097969568083555,family_45:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,47,1,2,463635372.21605533,0.15463961188155997,family_47:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,49,1,2,270004694.3998,0.09005659112809683,family_49:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,51,1,2,240105791.4397,0.08008419681457647,family_51:Q2_vs_Q1,family_weight,,
Q2_vs_Q1_fixed_pair_stock,53,1,2,627094879.7271206,0.20915942705235496,family_53:Q2_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,21,1,3,60450590.028918386,0.023508183015341595,family_21:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,27,1,3,25603362.872719113,0.009956702489291688,family_27:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,29,1,3,336296398.0945838,0.13077981984999168,family_29:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,31,1,3,183764211.9353,0.07146270572013386,family_31:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,33,1,3,103035624.57146299,0.04006876224644384,family_33:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,37,1,3,182102413.88954496,0.07081646136461213,family_37:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,39,1,3,164321935.98138437,0.06390194277074364,family_39:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,41,1,3,232833691.66529998,0.09054497289748656,family_41:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,47,1,3,513263105.3986553,0.19959909425138891,family_47:Q3_vs_Q1,family_weight,,
Q3_vs_Q1_fixed_pair_stock,49,1,3,251984649.9934,0.09799244748922813,family_49:Q3_vs_Q1,family_weight,,
