model_id,target,estimate_source,estimate,standard_error,z,p_value_normal
pooled,Q2_x_post,trust-path,-0.07844368937515832,0.03926167541677933,-1.99797101225165,0.04571980290572717
pooled,Q3_x_post,trust-path,-0.04997713169641298,0.03720952215963705,-1.3431274790898973,0.1792306990973942
pooled,Q4_x_post,trust-path,-0.08959902286783171,0.03545340303333183,-2.5272333599004413,0.011496508488644976
pooled,Q5_x_post,trust-path,-0.1321094507924294,0.045173895228408825,-2.9244644528539303,0.003450494866151658
family_month,Q2_x_post,trust-path,-0.024705555721235773,0.05214475712407079,-0.473787914333411,0.6356511537598181
family_month,Q3_x_post,trust-path,0.016929138485472055,0.05336754393376071,0.3172178675954123,0.7510782931421798
family_month,Q4_x_post,trust-path,-0.012556975752553412,0.060973769141176234,-0.20594061888284274,0.8368372961621068
family_month,Q5_x_post,trust-path,-0.021674952018217414,0.07132258234945582,-0.30390026979137824,0.7612038722420632
family_month_minus_pooled,delta_Q2,paired trust-path difference,0.05373813365392255,0.030526069388595162,1.7604013464635457,0.07833978121954138
family_month_minus_pooled,delta_Q3,paired trust-path difference,0.06690627018188502,0.03596253788402364,1.860443509233205,0.06282280380240823
family_month_minus_pooled,delta_Q4,paired trust-path difference,0.0770420471152783,0.04568914956873904,1.686221955157406,0.09175305663868481
family_month_minus_pooled,delta_Q5,paired trust-path difference,0.11043449877421198,0.05189441789501642,2.1280612299693478,0.03333200725153441
