family,beta_quintile,month,young,older,calendar_status,young_share,log_young_older,quarter
11,3,2017-01,316378.07206365,5166063.76767392,OBSERVED,0.0577075108705201,-2.7929283882873985,2017Q1
11,3,2017-02,307353.33519476996,5251895.27382781,OBSERVED,0.05528684842335346,-2.8383462802284516,2017Q1
11,3,2017-03,321143.54258215,5493300.83275342,OBSERVED,0.0552320259429115,-2.8393964020791356,2017Q1
11,3,2017-04,286322.93535668,5548168.97944593,OBSERVED,0.04907418495692041,-2.9641029202743363,2017Q2
11,3,2017-05,255203.73046112,5728066.00030658,OBSERVED,0.042652887458639675,-3.1110710618158377,2017Q2
11,3,2017-06,249630.52168248,5784627.90877517,OBSERVED,0.041368881455670026,-3.1429774061537423,2017Q2
11,3,2017-07,355499.88873019,5525486.36701815,OBSERVED,0.0604490256005459,-2.7436016164930495,2017Q3
11,3,2017-08,347338.58805707004,5645208.47520019,OBSERVED,0.057961762234083065,-2.7882623445556853,2017Q3
11,3,2017-09,301025.48251602997,5523615.5173223,OBSERVED,0.05168137959479139,-2.9095929891970704,2017Q3
11,3,2017-10,279613.82986517,5505672.54125342,OBSERVED,0.04833189092610233,-2.9801247386862646,2017Q4
11,3,2017-11,260115.29057017,5404236.77768678,OBSERVED,0.04592145534665069,-3.033813555382771,2017Q4
11,3,2017-12,257560.77564279002,5441962.22703165,OBSERVED,0.045189882648413275,-3.050639264141837,2017Q4
11,3,2018-01,235587.09514619,5411872.25959666,OBSERVED,0.04171558932041524,-3.134269709978065,2018Q1
11,3,2018-02,241579.30834831,5497421.37934778,OBSERVED,0.04209431597843065,-3.1248366030227865,2018Q1
11,3,2018-03,228068.59927328,5575414.46311231,OBSERVED,0.03929857239551066,-3.1964754790176144,2018Q1
11,3,2018-04,271576.40350246,5479124.99272121,OBSERVED,0.04722491828228064,-3.004457182014908,2018Q2
11,3,2018-05,341372.94628541,5487554.28867121,OBSERVED,0.05856531271108766,-2.777262386718233,2018Q2
11,3,2018-06,301762.50875763997,5437003.12400239,OBSERVED,0.052583173467655425,-2.891342978565774,2018Q2
11,3,2018-07,341588.71118255,5665291.32509938,OBSERVED,0.05686624489241219,-2.8085061830977844,2018Q3
11,3,2018-08,300782.90048831,5554591.4611252,OBSERVED,0.05136868830457258,-2.9159914113383514,2018Q3
11,3,2018-09,297440.08337059,5490945.9265898,OBSERVED,0.051385668277611186,-2.9156430153200295,2018Q3
11,3,2018-10,276891.82402870996,5557000.32646201,OBSERVED,0.04746262304582012,-2.999186829088152,2018Q4
11,3,2018-11,336423.80370574,5430771.1446824,OBSERVED,0.05833404397050361,-2.7814647327205146,2018Q4
11,3,2018-12,267500.10181661,5659556.2780949,OBSERVED,0.045132032609516655,-3.0519808250689566,2018Q4
11,3,2019-01,317052.27524531004,5530767.13824505,OBSERVED,0.05421717957191031,-2.8590151414868052,2019Q1
11,3,2019-02,249286.36982196,5448131.45221107,OBSERVED,0.043754272129721786,-3.084425660828472,2019Q1
11,3,2019-03,255740.74494631,5514255.33426698,OBSERVED,0.04432251624357758,-3.070927680768888,2019Q1
11,3,2019-04,255743.64083848998,5350416.9811832905,OBSERVED,0.04561832207123951,-3.040754237494983,2019Q2
11,3,2019-05,298209.25763228995,5325315.28566683,OBSERVED,0.05302888879317334,-2.88243175050748,2019Q2
11,3,2019-06,298807.20907578,5443694.72071861,OBSERVED,0.05203432453813364,-2.9024147061893673,2019Q2
11,3,2019-07,358564.69346573,5602942.12521995,OBSERVED,0.06014665492654455,-2.7489380185325043,2019Q3
11,3,2019-08,305396.61713317,5505930.27709557,OBSERVED,0.052551959766101095,-2.8919697066613965,2019Q3
11,3,2019-09,303025.06238484,5734518.64226009,OBSERVED,0.050190123203863575,-2.940443576464637,2019Q3
11,3,2019-10,328124.37531416,5780267.09483268,OBSERVED,0.05371698538277741,-2.868812441237819,2019Q4
