matrix_kind,row_target,column_target,value
supported_edges,family_11:Q4_vs_Q3,family_11:Q4_vs_Q3,0.004411586688442895
supported_edges,family_11:Q4_vs_Q3,family_11:Q5_vs_Q3,0.0036540970405244404
supported_edges,family_11:Q4_vs_Q3,family_11:Q5_vs_Q4,-0.0007574896479184546
supported_edges,family_11:Q4_vs_Q3,family_13:Q4_vs_Q3,1.5940661270647906e-06
supported_edges,family_11:Q4_vs_Q3,family_13:Q5_vs_Q3,-1.5585769726786162e-06
supported_edges,family_11:Q4_vs_Q3,family_13:Q5_vs_Q4,-3.152643099743407e-06
supported_edges,family_11:Q4_vs_Q3,family_15:Q5_vs_Q4,9.285330056825515e-06
supported_edges,family_11:Q4_vs_Q3,family_17:Q4_vs_Q3,-7.595140664461684e-06
supported_edges,family_11:Q4_vs_Q3,family_17:Q5_vs_Q3,-6.8969325904159294e-06
supported_edges,family_11:Q4_vs_Q3,family_17:Q5_vs_Q4,6.982080740457548e-07
supported_edges,family_11:Q4_vs_Q3,family_19:Q4_vs_Q3,2.9521710294572963e-06
supported_edges,family_11:Q4_vs_Q3,family_19:Q5_vs_Q3,-6.6753095231569e-06
supported_edges,family_11:Q4_vs_Q3,family_19:Q5_vs_Q4,-9.627480552614196e-06
supported_edges,family_11:Q4_vs_Q3,family_21:Q2_vs_Q1,-7.99273357921076e-08
supported_edges,family_11:Q4_vs_Q3,family_21:Q3_vs_Q1,-2.5457545529097732e-06
supported_edges,family_11:Q4_vs_Q3,family_21:Q3_vs_Q2,-2.4658272171176657e-06
supported_edges,family_11:Q4_vs_Q3,family_23:Q4_vs_Q3,-5.507628284496386e-06
supported_edges,family_11:Q4_vs_Q3,family_23:Q5_vs_Q3,-5.6813712018361236e-06
supported_edges,family_11:Q4_vs_Q3,family_23:Q5_vs_Q4,-1.7374291733973757e-07
supported_edges,family_11:Q4_vs_Q3,family_25:Q3_vs_Q2,-2.09803498141237e-06
supported_edges,family_11:Q4_vs_Q3,family_25:Q5_vs_Q2,-2.5919798093361203e-06
supported_edges,family_11:Q4_vs_Q3,family_25:Q5_vs_Q3,-4.939448279237501e-07
supported_edges,family_11:Q4_vs_Q3,family_27:Q2_vs_Q1,1.4919755861130234e-06
supported_edges,family_11:Q4_vs_Q3,family_27:Q3_vs_Q1,8.91351359805213e-06
supported_edges,family_11:Q4_vs_Q3,family_27:Q4_vs_Q1,2.161887475542121e-05
supported_edges,family_11:Q4_vs_Q3,family_27:Q5_vs_Q1,-1.2370637772177584e-05
supported_edges,family_11:Q4_vs_Q3,family_27:Q3_vs_Q2,7.421538011939106e-06
supported_edges,family_11:Q4_vs_Q3,family_27:Q4_vs_Q2,2.0126899169308187e-05
supported_edges,family_11:Q4_vs_Q3,family_27:Q5_vs_Q2,-1.3862613358290607e-05
supported_edges,family_11:Q4_vs_Q3,family_27:Q4_vs_Q3,1.2705361157369081e-05
supported_edges,family_11:Q4_vs_Q3,family_27:Q5_vs_Q3,-2.1284151370229713e-05
supported_edges,family_11:Q4_vs_Q3,family_27:Q5_vs_Q4,-3.3989512527598795e-05
supported_edges,family_11:Q4_vs_Q3,family_29:Q2_vs_Q1,-2.7510765603337515e-05
supported_edges,family_11:Q4_vs_Q3,family_29:Q3_vs_Q1,-1.7701982471178382e-05
supported_edges,family_11:Q4_vs_Q3,family_29:Q4_vs_Q1,-1.951465686884182e-05
supported_edges,family_11:Q4_vs_Q3,family_29:Q5_vs_Q1,-2.1920768630162963e-05
supported_edges,family_11:Q4_vs_Q3,family_29:Q3_vs_Q2,9.808783132159132e-06
supported_edges,family_11:Q4_vs_Q3,family_29:Q4_vs_Q2,7.996108734495694e-06
supported_edges,family_11:Q4_vs_Q3,family_29:Q5_vs_Q2,5.589996973174552e-06
supported_edges,family_11:Q4_vs_Q3,family_29:Q4_vs_Q3,-1.8126743976634384e-06
supported_edges,family_11:Q4_vs_Q3,family_29:Q5_vs_Q3,-4.21878615898458e-06
supported_edges,family_11:Q4_vs_Q3,family_29:Q5_vs_Q4,-2.406111761321142e-06
supported_edges,family_11:Q4_vs_Q3,family_31:Q2_vs_Q1,8.433174018139375e-06
supported_edges,family_11:Q4_vs_Q3,family_31:Q3_vs_Q1,-2.2461568047188098e-07
supported_edges,family_11:Q4_vs_Q3,family_31:Q5_vs_Q1,-2.456225503367652e-07
supported_edges,family_11:Q4_vs_Q3,family_31:Q3_vs_Q2,-8.657789698611255e-06
supported_edges,family_11:Q4_vs_Q3,family_31:Q5_vs_Q2,-8.67879656847614e-06
supported_edges,family_11:Q4_vs_Q3,family_31:Q5_vs_Q3,-2.1006869864884218e-08
supported_edges,family_11:Q4_vs_Q3,family_33:Q2_vs_Q1,3.1875157341846185e-06
supported_edges,family_11:Q4_vs_Q3,family_33:Q3_vs_Q1,5.3795425803379354e-06
supported_edges,family_11:Q4_vs_Q3,family_33:Q3_vs_Q2,2.192026846153317e-06
supported_edges,family_11:Q4_vs_Q3,family_35:Q2_vs_Q1,-2.0212147870741575e-06
supported_edges,family_11:Q4_vs_Q3,family_35:Q4_vs_Q1,1.1071148803007774e-05
supported_edges,family_11:Q4_vs_Q3,family_35:Q4_vs_Q2,1.309236359008193e-05
supported_edges,family_11:Q4_vs_Q3,family_37:Q2_vs_Q1,5.36760583891624e-06
supported_edges,family_11:Q4_vs_Q3,family_37:Q3_vs_Q1,-7.2472973516775995e-06
supported_edges,family_11:Q4_vs_Q3,family_37:Q3_vs_Q2,-1.261490319059384e-05
supported_edges,family_11:Q4_vs_Q3,family_39:Q2_vs_Q1,-2.7312695616761182e-06
supported_edges,family_11:Q4_vs_Q3,family_39:Q3_vs_Q1,7.6287934669555365e-06
supported_edges,family_11:Q4_vs_Q3,family_39:Q3_vs_Q2,1.0360063028631655e-05
supported_edges,family_11:Q4_vs_Q3,family_41:Q2_vs_Q1,1.3229684970046488e-05
supported_edges,family_11:Q4_vs_Q3,family_41:Q3_vs_Q1,5.606428515631828e-07
supported_edges,family_11:Q4_vs_Q3,family_41:Q4_vs_Q1,4.23806271271142e-06
supported_edges,family_11:Q4_vs_Q3,family_41:Q5_vs_Q1,1.1931619875837786e-06
supported_edges,family_11:Q4_vs_Q3,family_41:Q3_vs_Q2,-1.2669042118483306e-05
supported_edges,family_11:Q4_vs_Q3,family_41:Q4_vs_Q2,-8.991622257335068e-06
supported_edges,family_11:Q4_vs_Q3,family_41:Q5_vs_Q2,-1.203652298246271e-05
supported_edges,family_11:Q4_vs_Q3,family_41:Q4_vs_Q3,3.677419861148237e-06
supported_edges,family_11:Q4_vs_Q3,family_41:Q5_vs_Q3,6.325191360205959e-07
supported_edges,family_11:Q4_vs_Q3,family_41:Q5_vs_Q4,-3.0449007251276413e-06
supported_edges,family_11:Q4_vs_Q3,family_43:Q3_vs_Q2,8.020386921499758e-06
supported_edges,family_11:Q4_vs_Q3,family_43:Q4_vs_Q2,4.121402765974862e-06
supported_edges,family_11:Q4_vs_Q3,family_43:Q5_vs_Q2,-2.5950775333955327e-06
supported_edges,family_11:Q4_vs_Q3,family_43:Q4_vs_Q3,-3.898984155524896e-06
supported_edges,family_11:Q4_vs_Q3,family_43:Q5_vs_Q3,-1.061546445489529e-05
supported_edges,family_11:Q4_vs_Q3,family_43:Q5_vs_Q4,-6.716480299370395e-06
supported_edges,family_11:Q4_vs_Q3,family_45:Q2_vs_Q1,7.799345440667334e-06
supported_edges,family_11:Q4_vs_Q3,family_47:Q2_vs_Q1,1.6154450040281156e-05
supported_edges,family_11:Q4_vs_Q3,family_47:Q3_vs_Q1,1.5996808986176833e-05
supported_edges,family_11:Q4_vs_Q3,family_47:Q3_vs_Q2,-1.5764105410432316e-07
