family,quintile_low,quintile_high,functional_label,estimate_source,estimate,standard_error,z,p_value_normal
11,3,4,family_11:Q4_vs_Q3,trust-path,-0.06646909654914313,0.06641977633538745,-1.0007425531442116,0.3169512890373737
11,3,5,family_11:Q5_vs_Q3,trust-path,-0.16808297780391795,0.1816296012093845,-0.92541621346264,0.35474944828782806
11,4,5,family_11:Q5_vs_Q4,trust-path,-0.10161388125477483,0.17347248958516182,-0.5857636648771916,0.5580343442462583
13,3,4,family_13:Q4_vs_Q3,trust-path,-0.06626021880747007,0.05053999428903442,-1.3110452373328907,0.18984248060916664
13,3,5,family_13:Q5_vs_Q3,trust-path,-0.21098519185604456,0.08797855052059285,-2.3981435316629813,0.016478406786752477
13,4,5,family_13:Q5_vs_Q4,trust-path,-0.14472497304857448,0.10206952055471588,-1.4179058769164348,0.1562182463721909
15,4,5,family_15:Q5_vs_Q4,trust-path,-0.703588160261195,0.07019765054245586,-10.022958814492824,1.2083041550535451e-23
17,3,4,family_17:Q4_vs_Q3,trust-path,-0.08628455983249923,0.32924195205132534,-0.2620703689031961,0.7932671907846844
17,3,5,family_17:Q5_vs_Q3,trust-path,0.16491264064032313,0.3425918899897645,0.48136761394220445,0.6302552499686036
17,4,5,family_17:Q5_vs_Q4,trust-path,0.25119720047282235,0.14491597102455175,1.7333990083830328,0.08302477372787632
19,3,4,family_19:Q4_vs_Q3,trust-path,-0.04928716256526117,0.2658335112489526,-0.1854061300762936,0.8529105006728783
19,3,5,family_19:Q5_vs_Q3,trust-path,-0.13325212286119664,0.17178944060287596,-0.775671207692179,0.437943144295468
19,4,5,family_19:Q5_vs_Q4,trust-path,-0.08396496029593548,0.2941397350247607,-0.28545942726462065,0.7752921841252567
21,1,2,family_21:Q2_vs_Q1,trust-path,-0.09731889061408584,0.06844557459813351,-1.4218434308642607,0.15507170834315265
21,1,3,family_21:Q3_vs_Q1,trust-path,-0.21957119426543947,0.07512185331106462,-2.9228671097375476,0.003468245045591315
21,2,3,family_21:Q3_vs_Q2,trust-path,-0.12225230365135363,0.10176843982912893,-1.2012791377819831,0.22964294021554643
23,3,4,family_23:Q4_vs_Q3,trust-path,0.10216191120346649,0.014423207265504147,7.083161832375952,1.4090196562982164e-12
23,3,5,family_23:Q5_vs_Q3,trust-path,0.10173209139765221,0.013796568201465575,7.373724386535883,1.6592604291353637e-13
23,4,5,family_23:Q5_vs_Q4,trust-path,-0.00042981980581427437,0.009220183459475725,-0.04661727260671174,0.9628182654468571
25,2,3,family_25:Q3_vs_Q2,trust-path,-0.026727622219729737,0.040673716659819954,-0.657122692850269,0.5111020285577904
25,2,5,family_25:Q5_vs_Q2,trust-path,0.2921741771062733,0.13750111144561372,2.124885930262738,0.033596132254220874
25,3,5,family_25:Q5_vs_Q3,trust-path,0.31890179932600304,0.14201710737928677,2.2455167916799503,0.024734975495899637
27,1,2,family_27:Q2_vs_Q1,trust-path,-0.10234643296079302,0.12028626445762475,-0.8508571899067354,0.3948486882021065
27,1,3,family_27:Q3_vs_Q1,trust-path,-0.09448713975152456,0.1651407341309957,-0.5721613159147875,0.5672126922754346
27,1,4,family_27:Q4_vs_Q1,trust-path,-0.13404333001669175,0.15403005030745454,-0.8702414220415566,0.38416848360658395
27,1,5,family_27:Q5_vs_Q1,trust-path,-0.27516209913522544,0.17202190655790764,-1.5995759182136362,0.10969269433270273
27,2,3,family_27:Q3_vs_Q2,trust-path,0.007859293209268453,0.13617231722672452,0.0577157925291296,0.9539750140464943
27,2,4,family_27:Q4_vs_Q2,trust-path,-0.03169689705589873,0.12880949613776332,-0.24607577862115473,0.8056235725326036
27,2,5,family_27:Q5_vs_Q2,trust-path,-0.17281566617443242,0.1436547667456405,-1.2029929120307234,0.2289790634282639
27,3,4,family_27:Q4_vs_Q3,trust-path,-0.039556190265167185,0.1688068510403255,-0.23432810944218008,0.8147302651441467
27,3,5,family_27:Q5_vs_Q3,trust-path,-0.18067495938370087,0.18265550064374733,-0.9891569580271807,0.3225863536239262
27,4,5,family_27:Q5_vs_Q4,trust-path,-0.1411187691185337,0.17818574044282087,-0.7919756584776668,0.42837486953157533
29,1,2,family_29:Q2_vs_Q1,trust-path,0.261568120580951,0.29565325412906457,0.8847124695159485,0.3763117285981564
29,1,3,family_29:Q3_vs_Q1,trust-path,0.29660070145770767,0.29154857213140684,1.017328602535648,0.30899713430024245
29,1,4,family_29:Q4_vs_Q1,trust-path,-0.06695400100973756,0.33502434406748727,-0.19984816684321408,0.8415993294176501
29,1,5,family_29:Q5_vs_Q1,trust-path,0.16485042451852944,0.3917868158919236,0.4207656251608126,0.6739262350829123
29,2,3,family_29:Q3_vs_Q2,trust-path,0.03503258087675665,0.06623604221917903,0.5289051051817338,0.5968712803233356
29,2,4,family_29:Q4_vs_Q2,trust-path,-0.3285221215906886,0.17979952788963513,-1.82715786546638,0.0676760369491871
29,2,5,family_29:Q5_vs_Q2,trust-path,-0.09671769606242159,0.27052395005205226,-0.35751990181945764,0.7207026298895178
29,3,4,family_29:Q4_vs_Q3,trust-path,-0.36355470246744526,0.17037359901715027,-2.133867597824525,0.03285362052569805
29,3,5,family_29:Q5_vs_Q3,trust-path,-0.13175027693917823,0.26422658557786494,-0.49862611913573984,0.6180428011246146
29,4,5,family_29:Q5_vs_Q4,trust-path,0.231804425528267,0.3121318452912204,0.7426490729005637,0.4576941700229642
31,1,2,family_31:Q2_vs_Q1,trust-path,0.14591129534376843,0.19185271586564576,0.7605380757077734,0.4469330186828985
31,1,3,family_31:Q3_vs_Q1,trust-path,0.13382879613086987,0.18993612294103265,0.7045989675824762,0.4810598411843968
31,1,5,family_31:Q5_vs_Q1,trust-path,0.35699309668228607,0.172244752539265,2.0725920030620717,0.03821026590890745
31,2,3,family_31:Q3_vs_Q2,trust-path,-0.012082499212898556,0.11691974752711633,-0.10334010694041529,0.9176930452610362
31,2,5,family_31:Q5_vs_Q2,trust-path,0.21108180133851764,0.08686987458152004,2.429861932636212,0.015104575525717156
31,3,5,family_31:Q5_vs_Q3,trust-path,0.2231643005514162,0.07809988341012904,2.8574216862719832,0.004270980129488839
33,1,2,family_33:Q2_vs_Q1,trust-path,-0.3564425109447946,0.08518588502559454,-4.18429075236701,2.860577975752997e-05
33,1,3,family_33:Q3_vs_Q1,trust-path,-0.4037866907485899,0.13007084597747423,-3.104359687323922,0.0019069135175288341
33,2,3,family_33:Q3_vs_Q2,trust-path,-0.047344179803795294,0.1476061921395128,-0.3207465697580427,0.7484024527469813
35,1,2,family_35:Q2_vs_Q1,trust-path,-0.18288217574943647,0.17735160871249134,-1.031184194364489,0.30245445115297187
35,1,4,family_35:Q4_vs_Q1,trust-path,-0.17636673760104873,0.17783376791111682,-0.9917505526239464,0.3213192241189191
35,2,4,family_35:Q4_vs_Q2,trust-path,0.006515438148387731,0.032955737283042484,0.19770269717923372,0.8432776793253302
37,1,2,family_37:Q2_vs_Q1,trust-path,-0.25313361513308835,0.12647146815230847,-2.0015076825726554,0.04533770668724543
37,1,3,family_37:Q3_vs_Q1,trust-path,-0.32787716656194343,0.028426619213624483,-11.534159728878222,8.874950201049552e-31
