model_id,requirement,category,structure,onset,seasonality,first_month,last_month,observed_months,month_list_sha256,transition_2022_12_excluded,october_2025_absent,september_2025_included,november_2025_included,coefficient,occupation_cluster_se,ci_lower,ci_upper,bootstrap_p_value,bootstrap_critical,mde80,support_occupations,estimating_occupation_clusters,zero_influence_support_occupations,active_rows,profiled_boundary_rows,a1_certificate,state_source,simultaneous_onset_critical,simultaneous_onset_ci_lower,simultaneous_onset_ci_upper
baseline_full_unconditioned,T05,endpoint,unconditioned,2023-01,none,2017-01,2026-07,113,a8235b7e11699d41d1ba0e8bb121e2ed84a4147e7ab392000b98a679eb677225,True,True,True,True,-0.1321094507924294,0.04517389522840884,-0.2205649171997253,-0.04365398438513349,0.0027,1.9581102306995273,0.12655851711649416,468,468,0,51891,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
endpoint_through_2024_unconditioned,T05,endpoint,unconditioned,2023-01,none,2017-01,2024-12,95,044497df1fb2da174b566871f754944d21f47ab500a4a3b67942e7f43773d085,True,True,False,False,-0.1110386745834036,0.04526819394815949,-0.19919860888245683,-0.02287874028435037,0.0128,1.9475027963345029,0.12682270301583454,468,468,0,43681,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
post_2020_unconditioned,N04,coding_stable,unconditioned,2023-01,none,2020-01,2026-07,77,7f9a3db80528b370d58b8366b26ee9dc32a08b6e7d0a53051452c49ff6771c3a,True,True,True,True,-0.11806909189326119,0.03841447462154087,-0.19412682046462842,-0.042011363321893966,0.0018,1.9799236959684448,0.10762142426128467,468,457,11,35014,77,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
seasonal_quintile_month_unconditioned,N04,seasonality,unconditioned,2023-01,quintile_month_of_year,2017-01,2026-07,113,a8235b7e11699d41d1ba0e8bb121e2ed84a4147e7ab392000b98a679eb677225,True,True,True,True,-0.13260072425006517,0.04512883707478415,-0.22076968710517594,-0.04443176139495439,0.0027,1.953716704664996,0.12643228285934377,468,468,0,51891,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
seasonal_occupation_month_unconditioned,N04,seasonality,unconditioned,2023-01,occupation_month_of_year,2017-01,2026-07,113,a8235b7e11699d41d1ba0e8bb121e2ed84a4147e7ab392000b98a679eb677225,True,True,True,True,-0.1323736719626981,0.04515695375814371,-0.22079511500030455,-0.043952228925091624,0.0029,1.9580914051727933,0.12651105414382627,468,468,0,51121,770,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
era_2023_2024_unconditioned,Y09,era,unconditioned,2023-01,none,2017-01,2024-12,95,044497df1fb2da174b566871f754944d21f47ab500a4a3b67942e7f43773d085,True,True,False,False,-0.1110386745834036,0.04526819394815949,-0.19919860888245683,-0.02287874028435037,0.0128,1.9475027963345029,0.12682270301583454,468,468,0,43681,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
era_2025_2026_unconditioned,Y09,era,unconditioned,2025-01,none,2017-01,2026-07,89,79551a7eb96b1d8b43dc3ed4100b61b982583c9edb941e28705a37b81dce18ae,True,True,True,True,-0.16761695591116868,0.053582575335539055,-0.2737756961274231,-0.06145821569491426,0.0013,1.9812175796231992,0.15011615100847076,468,468,0,40954,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
full_without_2025_09_11_unconditioned,Y09,shutdown,unconditioned,2023-01,none,2017-01,2026-07,111,e83c91adb5a3107f3965a74132c8825a9007f9d7ca7701ed0b6f14497f9ca476,True,True,False,False,-0.13368991877437478,0.04532298253588092,-0.22206710404695124,-0.045312733501798305,0.0025,1.9499419572092538,0.1269761979133162,468,468,0,50979,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
late_without_2025_09_11_unconditioned,Y09,shutdown,unconditioned,2025-01,none,2017-01,2026-07,87,4873c035db1ac925e9106c1175dae22f34652d8061abcf99c6db97c145356688,True,True,False,False,-0.1757877600511809,0.05476303816469329,-0.2845426278235621,-0.06703289227879974,0.0009,1.9859173526003782,0.15342331822116106,468,468,0,40042,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,,,
onset_2022_11_unconditioned,Y08,onset,unconditioned,2022-11,none,2017-01,2026-07,113,a8235b7e11699d41d1ba0e8bb121e2ed84a4147e7ab392000b98a679eb677225,True,True,True,True,-0.12980914595225962,0.04523270610684722,-0.21853923127389374,-0.0410790606306255,0.0036,1.96163557210216,0.12672328080419137,468,468,0,51891,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,2.067560505622478,-0.2233305026612056,-0.036287789243313634
onset_2022_12_unconditioned,Y08,onset,unconditioned,2022-12,none,2017-01,2026-07,113,a8235b7e11699d41d1ba0e8bb121e2ed84a4147e7ab392000b98a679eb677225,True,True,True,True,-0.1321094507924294,0.04517389522840884,-0.2205649171997253,-0.04365398438513349,0.0027,1.9581102306995273,0.12655851711649416,468,468,0,51891,0,PASS_A1_NUMERICAL_CERTIFICATE,fresh A1 trust path corroborated by independent zero-start reference,2.067560505622478,-0.2255092124518152,-0.03870968913304357
