block,model_id,structure,regressor,coefficient_standardized,occupation_se,occupation_ci_lower,occupation_ci_upper,family_se,family_ci_lower,family_ci_upper,occupation_covariance_with_Q5,family_covariance_with_Q5,raw_unit,coefficient_raw_unit,occupation_se_raw_unit,family_se_raw_unit
matched_computer_family_2x2,matched_baseline,pooled,Q2_x_post,-0.054626291055348546,0.034307561702151414,-0.12207467068454822,0.012822088573851136,0.04572227766322139,-0.14249885447213234,0.03324627236143526,0.0005996228485886154,0.001442505706764873,,,,
matched_computer_family_2x2,matched_baseline,pooled,Q3_x_post,-0.024089842906536575,0.032059320265562276,-0.08640930292370652,0.03822961711063337,0.041475352495352995,-0.10460586474325675,0.0564261789301836,0.0005840900446208026,0.001408564520958323,,,,
matched_computer_family_2x2,matched_baseline,pooled,Q4_x_post,-0.06785083447075446,0.030002894899300737,-0.1266921160353643,-0.00900955290614465,0.03948813238715508,-0.14464580090463902,0.008944131963130111,0.0005261053977575574,0.0014154484858133877,,,,
matched_computer_family_2x2,matched_baseline,pooled,Q5_x_post,-0.09574718675430406,0.04341227438337132,-0.18068049020373878,-0.010813883304869362,0.043384863777385006,-0.1806340028587744,-0.010860370649833737,0.0018846255671371179,0.0018822464049822539,,,,
matched_computer_family_2x2,matched_baseline,pooled,Webb_z_x_post,0.010678278358229647,0.010755725444563066,-0.010469621757466338,0.03182617847392563,0.013994946099505794,-0.015310095772134519,0.03666665248859381,0.00010494298413684485,-9.157213710356235e-05,,,,
matched_computer_family_2x2,matched_computer_only,pooled,Q2_x_post,-0.08856550630368466,0.036420558083411124,-0.15933827389477284,-0.017792738712596498,0.04608939732532011,-0.17599599028385327,-0.0011350223235160606,0.0013028199473628724,0.0016676286558539536,,,,
matched_computer_family_2x2,matched_computer_only,pooled,Q3_x_post,-0.10107194740303274,0.04207116979280754,-0.18265336209935928,-0.0194905327067062,0.047159416055036985,-0.19241756504468938,-0.009726329761376107,0.0017622648005914219,0.00216021253212655,,,,
matched_computer_family_2x2,matched_computer_only,pooled,Q4_x_post,-0.15960127669103333,0.044157711399244876,-0.2479490282891999,-0.07125352509286674,0.04935994653240228,-0.25558406365486663,-0.0636184897272,0.0019567144103455896,0.0024242568683558023,,,,
matched_computer_family_2x2,matched_computer_only,pooled,Q5_x_post,-0.19660222060641097,0.060757567275700086,-0.31606265126814725,-0.07714178994467472,0.05457913282846876,-0.30226969369033807,-0.09093474752248384,0.003691481981261222,0.0029788817403076364,,,,
matched_computer_family_2x2,matched_computer_only,pooled,Webb_z_x_post,0.009503606505110113,0.010622753932019672,-0.011379051222180287,0.03038626423240051,0.013367147449925537,-0.01584888163993952,0.03485609465015975,0.00015225473954949044,-8.395160008219864e-05,,,,
