object,lag_elapsed_calendar_months,estimate,corrected_inclusion_exclusion_variance,corrected_inclusion_exclusion_se,normal_ci_lower,normal_ci_upper,full_calendar_months,observed_model_months,zero_placeholder_months,zero_placeholder_labels,maximum_symmetry_gap,joint_covariance_numerical_rank,joint_covariance_positive_rank,joint_covariance_negative_rank,minimum_joint_covariance_eigenvalue,maximum_joint_covariance_eigenvalue,negative_joint_eigenvalues_at_scaled_tolerance,eigenvalue_tolerance,PSD_projection_applied
pooled,0,-0.13210945079219036,0.002082821623921993,0.0456379406187658,-0.22155817073354894,-0.04266073085083176,115,113,2,2022-12;2025-10,0.0,10,10,0,2.734515730925987e-05,0.014534387465595353,0,1.4534387465595353e-12,False
family_month,0,-0.021674952018246495,0.004937013135691121,0.07026388215641889,-0.15938963045879406,0.11603972642230108,115,113,2,2022-12;2025-10,0.0,10,10,0,2.734515730925987e-05,0.014534387465595353,0,1.4534387465595353e-12,False
family_month_minus_pooled,0,0.11043449877394386,0.002694215027689913,0.0519058284558672,0.008700944412729866,0.21216805313515785,115,113,2,2022-12;2025-10,0.0,10,10,0,2.734515730925987e-05,0.014534387465595353,0,1.4534387465595353e-12,False
pooled,1,-0.13210945079219036,0.002108794386324179,0.045921611321078214,-0.22211415509355048,-0.04210474649083025,115,113,2,2022-12;2025-10,0.0,10,10,0,2.630176729226684e-05,0.014064102575719818,0,1.4064102575719818e-12,False
family_month,1,-0.021674952018246495,0.004735247099583051,0.06881313173793975,-0.15654621188801854,0.11319630785152555,115,113,2,2022-12;2025-10,0.0,10,10,0,2.630176729226684e-05,0.014064102575719818,0,1.4064102575719818e-12,False
family_month_minus_pooled,1,0.11043449877394386,0.002672231662390838,0.05169363270646432,0.009116840439231985,0.21175215710865575,115,113,2,2022-12;2025-10,0.0,10,10,0,2.630176729226684e-05,0.014064102575719818,0,1.4064102575719818e-12,False
pooled,4,-0.13210945079219036,0.002087529711579899,0.045689492354149645,-0.22165921027824181,-0.04255969130613889,115,113,2,2022-12;2025-10,0.0,10,10,0,2.409611987959385e-05,0.01265244839924838,0,1.2652448399248379e-12,False
family_month,4,-0.021674952018246495,0.004062161482605325,0.06373508831566271,-0.14659342966842503,0.10324352563193204,115,113,2,2022-12;2025-10,0.0,10,10,0,2.409611987959385e-05,0.01265244839924838,0,1.2652448399248379e-12,False
family_month_minus_pooled,4,0.11043449877394386,0.002551381005244264,0.05051119683044804,0.011434372170251977,0.20943462537763574,115,113,2,2022-12;2025-10,0.0,10,10,0,2.409611987959385e-05,0.01265244839924838,0,1.2652448399248379e-12,False
pooled,12,-0.13210945079219036,0.0020268881414012424,0.04502097446081373,-0.22034893928428284,-0.04386996230009786,115,113,2,2022-12;2025-10,0.0,10,10,0,1.77498190020267e-05,0.011274652553582344,0,1.1274652553582344e-12,False
family_month,12,-0.021674952018246495,0.0032992521567688816,0.05743911695672977,-0.13425355255722077,0.09090364852072777,115,113,2,2022-12;2025-10,0.0,10,10,0,1.77498190020267e-05,0.011274652553582344,0,1.1274652553582344e-12,False
family_month_minus_pooled,12,0.11043449877394386,0.002285745106625073,0.04780946670508962,0.01672966591190135,0.20413933163598635,115,113,2,2022-12;2025-10,0.0,10,10,0,1.77498190020267e-05,0.011274652553582344,0,1.1274652553582344e-12,False
pooled,16,-0.13210945079219036,0.001979445076936905,0.04449095500140343,-0.21931012023273327,-0.04490878135164744,115,113,2,2022-12;2025-10,0.0,10,10,0,1.4646016576530545e-05,0.010852209842185418,0,1.0852209842185419e-12,False
family_month,16,-0.021674952018246495,0.0030493344521953635,0.055220779170484034,-0.1299056903906348,0.08655578635414181,115,113,2,2022-12;2025-10,0.0,10,10,0,1.4646016576530545e-05,0.010852209842185418,0,1.0852209842185419e-12,False
family_month_minus_pooled,16,0.11043449877394386,0.0020254251305675316,0.045004723425075416,0.02222686172660994,0.19864213582127777,115,113,2,2022-12;2025-10,0.0,10,10,0,1.4646016576530545e-05,0.010852209842185418,0,1.0852209842185419e-12,False
