draw,classification_mode,target,observed_coefficient,bootstrap_coefficient,bootstrap_shift,pooled_iterations,family_month_iterations,occupations_reclassified,minimum_household_multiplier,maximum_household_multiplier,mean_household_multiplier
1,fixed_labels,pooled,-0.1321094507921903,-0.11182330091535092,0.020286149876839382,5,7,0,1.7668171338183763e-06,13.24829140061599,1.0006420230944455
1,fixed_labels,family_month,-0.021674952018246447,-0.023258876022729736,-0.0015839240044832892,5,7,0,1.7668171338183763e-06,13.24829140061599,1.0006420230944455
1,fixed_labels,family_month_minus_pooled,0.11043449877394386,0.08856442489262119,-0.02187007388132267,5,7,0,1.7668171338183763e-06,13.24829140061599,1.0006420230944455
1,regenerated_preperiod_labels,pooled,-0.1321094507921903,-0.11451349544259215,0.017595955349598152,5,7,1,1.7668171338183763e-06,13.24829140061599,1.0006420230944455
1,regenerated_preperiod_labels,family_month,-0.021674952018246447,-0.02984270485791527,-0.008167752839668824,5,7,1,1.7668171338183763e-06,13.24829140061599,1.0006420230944455
1,regenerated_preperiod_labels,family_month_minus_pooled,0.11043449877394386,0.08467079058467689,-0.025763708189266973,5,7,1,1.7668171338183763e-06,13.24829140061599,1.0006420230944455
2,fixed_labels,pooled,-0.1321094507921903,-0.09453061527533604,0.03757883551685426,5,6,0,1.1909855545067807e-06,12.689748524599949,0.9991771673997943
2,fixed_labels,family_month,-0.021674952018246447,-0.0006315389741687262,0.02104341304407772,5,6,0,1.1909855545067807e-06,12.689748524599949,0.9991771673997943
2,fixed_labels,family_month_minus_pooled,0.11043449877394386,0.09389907630116731,-0.016535422472776548,5,6,0,1.1909855545067807e-06,12.689748524599949,0.9991771673997943
2,regenerated_preperiod_labels,pooled,-0.1321094507921903,-0.09797996617959569,0.034129484612594616,5,6,2,1.1909855545067807e-06,12.689748524599949,0.9991771673997943
2,regenerated_preperiod_labels,family_month,-0.021674952018246447,-0.005865228853460379,0.015809723164786068,5,6,2,1.1909855545067807e-06,12.689748524599949,0.9991771673997943
2,regenerated_preperiod_labels,family_month_minus_pooled,0.11043449877394386,0.09211473732613532,-0.018319761447808544,5,6,2,1.1909855545067807e-06,12.689748524599949,0.9991771673997943
3,fixed_labels,pooled,-0.1321094507921903,-0.104029069402088,0.0280803813901023,5,6,0,1.4585335480684335e-06,13.651892443697658,1.0008206616382367
3,fixed_labels,family_month,-0.021674952018246447,0.040747267589169175,0.06242221960741562,5,6,0,1.4585335480684335e-06,13.651892443697658,1.0008206616382367
3,fixed_labels,family_month_minus_pooled,0.11043449877394386,0.1447763369912572,0.034341838217313334,5,6,0,1.4585335480684335e-06,13.651892443697658,1.0008206616382367
3,regenerated_preperiod_labels,pooled,-0.1321094507921903,-0.10402906940208809,0.028080381390102216,5,6,0,1.4585335480684335e-06,13.651892443697658,1.0008206616382367
3,regenerated_preperiod_labels,family_month,-0.021674952018246447,0.040747267589168856,0.0624222196074153,5,6,0,1.4585335480684335e-06,13.651892443697658,1.0008206616382367
3,regenerated_preperiod_labels,family_month_minus_pooled,0.11043449877394386,0.14477633699125694,0.034341838217313084,5,6,0,1.4585335480684335e-06,13.651892443697658,1.0008206616382367
4,fixed_labels,pooled,-0.1321094507921903,-0.1132883600379584,0.018821090754231898,5,6,0,6.434243366421146e-07,14.005193018752294,0.9996409780212465
4,fixed_labels,family_month,-0.021674952018246447,0.09027326952907773,0.11194822154732417,5,6,0,6.434243366421146e-07,14.005193018752294,0.9996409780212465
4,fixed_labels,family_month_minus_pooled,0.11043449877394386,0.20356162956703613,0.09312713079309227,5,6,0,6.434243366421146e-07,14.005193018752294,0.9996409780212465
4,regenerated_preperiod_labels,pooled,-0.1321094507921903,-0.11328836003795832,0.01882109075423198,5,6,0,6.434243366421146e-07,14.005193018752294,0.9996409780212465
4,regenerated_preperiod_labels,family_month,-0.021674952018246447,0.09027326952907748,0.11194822154732392,5,6,0,6.434243366421146e-07,14.005193018752294,0.9996409780212465
4,regenerated_preperiod_labels,family_month_minus_pooled,0.11043449877394386,0.2035616295670358,0.09312713079309194,5,6,0,6.434243366421146e-07,14.005193018752294,0.9996409780212465
5,fixed_labels,pooled,-0.1321094507921903,-0.11770615657070155,0.014403294221488755,5,6,0,1.5993261464832747e-07,15.3023426917327,0.9970360860000637
