comparison,left_model,right_model,estimate_left_minus_right,occupation_se,occupation_ci_lower,occupation_ci_upper,occupation_multiplier_p,family_se,family_ci_lower,family_ci_upper,family_multiplier_p,common_draws_preserve_covariance,interpretation_if_interval_contains_zero
symmetric_K_0.25_fixed_labels_pooled_minus_symmetric_K_1_fixed_labels_pooled,symmetric_K_0.25_fixed_labels_pooled,symmetric_K_1_fixed_labels_pooled,0.015412807178538976,0.017602414203008804,-0.017876258915178786,0.04870187327225674,0.4222,0.00929056571478695,-0.0025139812647235055,0.03333959562180146,0.1003,True,design does not detect a difference; not equivalence
symmetric_K_0.5_fixed_labels_pooled_minus_symmetric_K_1_fixed_labels_pooled,symmetric_K_0.5_fixed_labels_pooled,symmetric_K_1_fixed_labels_pooled,0.007334777136063481,0.0086575110668698,-0.00904184872223152,0.02371140299435848,0.4373,0.004527247703831346,-0.0013488297472538536,0.016018384019380813,0.1107,True,design does not detect a difference; not equivalence
symmetric_K_0.666666666667_fixed_labels_pooled_minus_symmetric_K_1_fixed_labels_pooled,symmetric_K_0.666666666667_fixed_labels_pooled,symmetric_K_1_fixed_labels_pooled,0.004178994095236865,0.005022460338139362,-0.005329588778119468,0.013687576968593199,0.4446,0.0026159124989861065,-0.000848624898552303,0.009206613089026034,0.1162,True,design does not detect a difference; not equivalence
symmetric_K_1.5_fixed_labels_pooled_minus_symmetric_K_1_fixed_labels_pooled,symmetric_K_1.5_fixed_labels_pooled,symmetric_K_1_fixed_labels_pooled,-0.0038052144183642056,0.004897777504470264,-0.013031958449111458,0.005421529612383047,0.4772,0.0025284360808383237,-0.008598866495504006,0.000988437658775594,0.1406,True,design does not detect a difference; not equivalence
symmetric_K_2_fixed_labels_pooled_minus_symmetric_K_1_fixed_labels_pooled,symmetric_K_2_fixed_labels_pooled,symmetric_K_1_fixed_labels_pooled,-0.0062476506608421245,0.008299585010331454,-0.02186068782948219,0.009365386507797942,0.4905,0.004279245518558944,-0.0143799016418836,0.0018846003201993516,0.157,True,design does not detect a difference; not equivalence
symmetric_K_4_fixed_labels_pooled_minus_symmetric_K_1_fixed_labels_pooled,symmetric_K_4_fixed_labels_pooled,symmetric_K_1_fixed_labels_pooled,-0.011158194278897332,0.01628249653112541,-0.04172955999641004,0.019413171438615377,0.5396,0.008428037867727237,-0.027317561616044404,0.0050011730582497395,0.204,True,design does not detect a difference; not equivalence
symmetric_K_0.25_fixed_labels_family_month_minus_symmetric_K_1_fixed_labels_family_month,symmetric_K_0.25_fixed_labels_family_month,symmetric_K_1_fixed_labels_family_month,0.06259031391442474,0.03360473937811348,-0.0005244784170543304,0.1257051062459038,0.0526,0.030467848624261995,0.004056262167771302,0.12112436566107818,0.0325,True,design does not detect a difference; not equivalence
symmetric_K_0.5_fixed_labels_family_month_minus_symmetric_K_1_fixed_labels_family_month,symmetric_K_0.5_fixed_labels_family_month,symmetric_K_1_fixed_labels_family_month,0.03063182958043484,0.016475567392670774,-0.00032625967504864434,0.06158991883591832,0.0532,0.015206255198308682,0.0013660746436536114,0.059897584517216065,0.0375,True,design does not detect a difference; not equivalence
symmetric_K_0.666666666667_fixed_labels_family_month_minus_symmetric_K_1_fixed_labels_family_month,symmetric_K_0.666666666667_fixed_labels_family_month,symmetric_K_1_fixed_labels_family_month,0.017691120108703804,0.009541476536529932,-0.0002515662096571475,0.035633806427064756,0.0543,0.008870103759526632,0.0005999650493262246,0.034782275168081384,0.0409,True,design does not detect a difference; not equivalence
symmetric_K_1.5_fixed_labels_family_month_minus_symmetric_K_1_fixed_labels_family_month,symmetric_K_1.5_fixed_labels_family_month,symmetric_K_1_fixed_labels_family_month,-0.016859585440800563,0.00924631184694616,-0.03420262340777387,0.00048345252617274306,0.0592,0.008756076986483197,-0.03375242438481002,3.325350320889861e-05,0.0507,True,design does not detect a difference; not equivalence
symmetric_K_2_fixed_labels_family_month_minus_symmetric_K_1_fixed_labels_family_month,symmetric_K_2_fixed_labels_family_month,symmetric_K_1_fixed_labels_family_month,-0.02821354952344463,0.015624841975242275,-0.057502992941076046,0.0010758938941867885,0.0628,0.014880624653330213,-0.05691633610749945,0.0004892370606101974,0.0543,True,design does not detect a difference; not equivalence
