result_type,definition,population,structure,calendar_rule,perturbed_year,replicate,estimate,full_weight_estimate,delta,replicate_estimator,replicate_iterations,replicate_maximum_normalized_score,replicate_minimum_first_effect_information,replicate_minimum_second_effect_information,replicate_minimum_treatment_information_eigenvalue,replicate_negative_young_cells,replicate_negative_older_cells,replicate_nonpositive_total_cells,replicate_inactive_first_effects,replicate_inactive_second_effects
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,1,-0.09432119800884708,-0.08589860098378199,-0.008422597025065093,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,2,-0.09923629240302811,-0.08589860098378199,-0.013337691419246123,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,3,-0.0888225125995129,-0.08589860098378199,-0.002923911615730912,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,4,-0.08044999674929376,-0.08589860098378199,0.00544860423448823,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,5,-0.07818695266267517,-0.08589860098378199,0.007711648321106823,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,6,-0.09218063747632732,-0.08589860098378199,-0.006282036492545329,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,7,-0.0972437273716319,-0.08589860098378199,-0.011345126387849902,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,8,-0.09785527651216952,-0.08589860098378199,-0.011956675528387528,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,9,-0.08016453686703573,-0.08589860098378199,0.0057340641167462625,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,10,-0.08391988139892304,-0.08589860098378199,0.0019787195848589567,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,11,-0.07500023076547269,-0.08589860098378199,0.010898370218309306,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,12,-0.08518235551535791,-0.08589860098378199,0.0007162454684240815,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,13,-0.08867070466395577,-0.08589860098378199,-0.0027721036801737764,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,14,-0.0922587797538369,-0.08589860098378199,-0.006360178770054903,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,15,-0.09108338043393649,-0.08589860098378199,-0.0051847794501544975,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,16,-0.08629718886872517,-0.08589860098378199,-0.0003985878849431801,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,17,-0.07787936609558677,-0.08589860098378199,0.008019234888195226,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,18,-0.086004080694426,-0.08589860098378199,-0.00010547971064400752,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,19,-0.08659081166457094,-0.08589860098378199,-0.0006922106807889516,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,20,-0.07931053273559574,-0.08589860098378199,0.006588068248186252,,,,,,,,,,,
benchmark,BCC_analogue_primary_equal,all_employed,,2022_to_2024,2022,21,-0.08529748076445509,-0.08589860098378199,0.0006011202193269005,,,,,,,,,,,
