occ_code,census_occupation_name,adoption_rate,number_observations
2555,Other educational instruction and library workers,0.690146207809448,29
5165,"Financial clerks, all other",0.671359121799469,26
0705,Project management specialists,0.668829262256622,71
2205,Postsecondary teachers,0.618165612220764,145
0230,Education and childcare administrators,0.560585081577301,124
9141,Shuttle drivers and chauffeurs,0.559311389923096,29
3090,Other physicians,0.55078136920929,136
4965,"Sales and related workers, all other",0.512287795543671,53
2360,Other teachers and instructors,0.49026745557785,94
9005,Supervisors of transportation and material moving workers,0.458312809467316,39
2600,Artists and related workers,0.457056313753128,79
5940,"Office and administrative support workers, all other",0.442649751901627,54
2014,"Social workers, all other",0.419041156768799,47
1555,"Other engineering technologists and technicians, except drafters",0.404711663722992,27
8865,Other production equipment operators and tenders,0.385554432868958,92
2545,Teaching assistants,0.370069324970245,84
7750,Other assemblers and fabricators,0.359683901071548,34
6050,Miscellaneous agricultural workers,0.292607128620148,55
2025,Other community and social service specialists,0.283689051866531,21
4020,Cooks,0.152621075510979,167
6600,"Helpers, construction trades",0.149788528680801,28
4220,Janitors and building cleaners,0.137685596942902,99
7640,"Other installation, maintenance, and repair workers",0.131011575460434,33
0400,Postmasters and mail superintendents,,3
1022,Software quality assurance analysts and testers,,12
1545,Other drafters,,10
1935,Environmental science and geoscience technicians,,6
2006,"Counselors, all other",,13
2060,"Religious workers, all other",,7
2180,"Legal support workers, all other",,10
2435,Librarians and media collections specialists,,16
2640,Other designers,,15
2770,"Entertainers and performers, sports and related workers, all other",,11
2865,"Media and communication workers, all other",,2
2905,"Broadcast, sound, and lighting technicians",,11
2970,"Media and communication equipment workers, all other",,9
3010,Dentists,,11
3100,Surgeons,,10
3256,Nurse anesthetists,,2
3545,Miscellaneous health technologists and technicians,,12
3550,Other healthcare practitioners and technical occupations,,12
3725,First-line supervisors of security workers,,9
4160,"Food preparation and serving related workers, all other",,14
4255,Other grounds maintenance workers,,2
4400,Gambling services workers,,8
4435,Other entertainment attendants and related workers,,17
4655,"Personal care and service workers, all other",,14
5420,"Information and record clerks, all other",,10
5560,"Postal service mail sorters, processors, and processing machine operators",,10
6130,Logging workers,,5
6850,Underground mining machine operators,,13
6950,Other extraction workers,,11
7050,"Electrical and electronics installers and repairers, transportation equipment",,2
7430,Precision instrument and equipment repairers,,4
7855,"Food processing workers, all other",,10
7905,Computer numerically controlled tool operators and programmers,,2
8225,Other metal workers and plastic workers,,12
8256,Print binding and finishing workers,,1
8465,"Other textile, apparel, and furnishings workers",,5
8555,Other woodworkers,,2
8990,Other production workers,,11
9150,"Motor vehicle operators, all other",,5
9265,Other rail transportation workers,,3
9365,Transportation service attendants,,7
9430,Other transportation workers,,4
9760,Other material moving workers,,8
