model_id,structure,support_occupations,support_hash_sha256,coefficient_Q5_x_post,occupation_se,occupation_ci_lower,occupation_ci_upper,occupation_multiplier_p,family_se,family_ci_lower,family_ci_upper,family_multiplier_p,iterations,maximum_normalized_score,separated_observations,requirement_block,numerator_population,denominator_definition,older_is_untreated,fixed_current_labels
d05_22_25_vs_26_65_pooled,pooled,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.13210944409335296,0.045174000840495845,-0.22112430036250363,-0.04309458782420228,0.0026,0.04144356448671791,-0.21290321034271908,-0.051315677843986815,0.0003,5,2.775122266846878e-19,0,D05,ages_22_25,ages_26_65_observed,False,True
d05_22_25_vs_26_30_pooled,pooled,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.12051967826304405,0.03412646710601376,-0.18805970882629375,-0.05297964769979435,0.0004,0.027088495331075164,-0.17320532483834444,-0.06783403168774364,0.0001,5,2.5326943862800183e-19,0,D05,ages_22_25,ages_26_30,False,True
d05_22_25_vs_31_40_pooled,pooled,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.15982851763344838,0.043721524336791655,-0.24545892194036012,-0.07419811332653663,0.0002,0.04855395528091287,-0.25277472965307646,-0.06688230561382033,0.0001,5,2.8920249309800446e-19,0,D05,ages_22_25,ages_31_40,False,True
d05_22_25_vs_41_50_pooled,pooled,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.1392112343418422,0.04832616510300677,-0.23439108345184484,-0.04403138523183958,0.0032,0.043669204909924,-0.22408164644588632,-0.0543408222377981,0.0003,5,3.9402741075460617e-19,0,D05,ages_22_25,ages_41_50,False,True
d05_22_25_vs_51_65_pooled,pooled,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.09712915786975175,0.05410291468539196,-0.20365550502406127,0.00939718928455778,0.0771,0.05036481699419668,-0.1958977594127885,0.0016394436732850015,0.0542,5,8.150690316223126e-19,0,D05,ages_22_25,ages_51_65,False,True
d05_22_25_vs_26_65_fixed_age_pooled,pooled,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.13130503460830184,0.0450974155446453,-0.2201560004874325,-0.04245406872917118,0.0026,0.04150136780261197,-0.21259100024193972,-0.05001906897466395,0.0004,5,2.1113943835548425e-19,0,D05,ages_22_25,ages_26_65_fixed_preperiod_exact_age_composition,False,True
d06_unrestricted_young_vs_all_older_pooled,pooled,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.13210945079219036,0.045173895228400755,-0.22112363179382688,-0.04309526979055385,0.0026,0.04144364690887415,-0.2129031560094377,-0.051315745574943006,0.0003,5,3.672016900863764e-19,0,D06,ages_22_25,all_employed_ages_26_65,False,True
d06_nonenrolled_young_vs_all_older_pooled,pooled,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.12389103098730068,0.046491954658723675,-0.21537639067443126,-0.03240567130017012,0.0058,0.04441713240734369,-0.21119353409267103,-0.036588527881930344,0.0022,5,4.97909632407254e-19,0,D06,ages_22_25,all_employed_ages_26_65; numerator restricted to SCHLCOLL=5,False,True
d06_unrestricted_22_25_vs_26_54_pooled,pooled,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.14068736830630837,0.042829887210240586,-0.22502607383843592,-0.056348662774180824,0.0005,0.03956615811462008,-0.2179653304046898,-0.06340940620792695,0.0001,5,1.6476354920593097e-19,0,D06,ages_22_25,all_employed_ages_26_54_within_enrollment_question_age_universe,False,True
d06_nonenrolled_22_25_vs_nonenrolled_26_54_pooled,pooled,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.13538714559533857,0.044914915676698586,-0.22427171967999415,-0.04650257151068299,0.0016,0.04242711675650236,-0.2187377537710098,-0.052036537419667336,0.0001,5,2.6368187153048495e-19,0,D06,ages_22_25,SCHLCOLL=5_for_both_ages_22_25_and_26_54,False,True
d05_22_25_vs_26_65_family_month,family_month,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.021678769831351377,0.07132180836713264,-0.16074491964165022,0.11738737997894748,0.7663,0.06919025517668005,-0.15473313235478708,0.11137559269208434,0.7642,6,7.294271393444185e-20,0,D05,ages_22_25,ages_26_65_observed,False,True
d05_22_25_vs_26_30_family_month,family_month,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.10933293317711971,0.06313709678692343,-0.23281163832054913,0.014145771966309686,0.0867,0.052703518309765315,-0.21144569622433734,-0.007220170129902073,0.0338,7,4.308034377036756e-19,0,D05,ages_22_25,ages_26_30,False,True
d05_22_25_vs_31_40_family_month,family_month,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.024653039430371518,0.07635954590158588,-0.17086251622205217,0.12155643736130915,0.7582,0.08713299777784138,-0.19012237805961696,0.14081629919887395,0.7986,7,1.3149221569992844e-19,0,D05,ages_22_25,ages_31_40,False,True
d05_22_25_vs_41_50_family_month,family_month,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.0021894269974842206,0.07108811791210069,-0.14291257993269232,0.13853372593772387,0.978,0.07624869596696443,-0.14832265861675245,0.143943804621784,0.9784,7,3.769451228429435e-19,0,D05,ages_22_25,ages_41_50,False,True
d05_22_25_vs_51_65_family_month,family_month,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.002107457163022905,0.0815833532724931,-0.16266209292320663,0.15844717859716081,0.9805,0.07508622819138146,-0.14682667688345236,0.14261176255740654,0.9782,6,2.6475032422493537e-19,0,D05,ages_22_25,ages_51_65,False,True
d05_22_25_vs_26_65_fixed_age_family_month,family_month,467,05b1735919f030fd7c51c86d4105af61e5d7efa0eda53ec50a17a5b80da0738e,-0.021799106119750375,0.07085205215400232,-0.15970893661610341,0.11611072437660268,0.7636,0.06853119084763139,-0.1536476716701793,0.11004945943067855,0.76,6,2.7998298066097627e-19,0,D05,ages_22_25,ages_26_65_fixed_preperiod_exact_age_composition,False,True
d06_unrestricted_young_vs_all_older_family_month,family_month,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.021674952018246287,0.07132258234982004,-0.1607345483786557,0.11738464434216311,0.7664,0.06919157388070622,-0.1547330766481192,0.11138317261162661,0.7642,6,1.5131694439336343e-19,0,D06,ages_22_25,all_employed_ages_26_65,False,True
d06_nonenrolled_young_vs_all_older_family_month,family_month,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.028470207924863954,0.07058445077829455,-0.16660276543136068,0.10966234958163276,0.6954,0.07246009003851278,-0.1674285024942181,0.11048808664449017,0.7074,6,1.8711525981379163e-19,0,D06,ages_22_25,all_employed_ages_26_65; numerator restricted to SCHLCOLL=5,False,True
d06_unrestricted_22_25_vs_26_54_family_month,family_month,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.029735762015466034,0.0685207898508579,-0.16270396925478228,0.10323244522385021,0.6728,0.06829196699410875,-0.1619103997000121,0.10243887566908001,0.6758,6,2.708838848641409e-19,0,D06,ages_22_25,all_employed_ages_26_54_within_enrollment_question_age_universe,False,True
d06_nonenrolled_22_25_vs_nonenrolled_26_54_family_month,family_month,468,11ec58ab1004cd83d62c57785f6c0dd3ee5a8abf08b7f71a3b664e91ded8333b,-0.03562425597245917,0.06917460959850179,-0.17036519895699334,0.09911668701207502,0.6148,0.07059033442957703,-0.17165020191859076,0.10040168997367244,0.6288,6,9.961113438776214e-20,0,D06,ages_22_25,SCHLCOLL=5_for_both_ages_22_25_and_26_54,False,True
