year,weighted_population_or_stock,weighted_mean_age,weighted_mean_birth_year_proxy,BA_plus_share,education_valid_share,enrollment_valid_share,enrolled_share_among_valid,age_22_share,age_23_share,age_24_share,age_25_share,employment_rate,unemployment_population_share,period
2017,208506916.3,23.51614321697299,1993.4838567830268,0.27477974574361874,1.0,1.0,0.24448414692371528,0.24538715737699485,0.2457496124947487,0.25619608590652776,0.25266714422172865,0.7191409114087022,0.05239351029047854,
2018,207545033.0237,23.52911639242583,1994.470883607574,0.2812406834975164,1.0,1.0,0.23877057932020535,0.24058075252901007,0.24946393111941015,0.2502134877483189,0.2597418286032609,0.7237890241514293,0.047681100968433955,
2019,202380853.1026,23.5155600857266,1995.4844399142733,0.2930345722415482,1.0,1.0,0.23649984735134563,0.24498658640333118,0.24711977257228732,0.25524060991882624,0.2526530311055552,0.7345920857307129,0.045363910838668434,
2020,202171255.4203,23.517206607688703,1996.4827933923111,0.3142451522444314,1.0,1.0,0.23184728659994014,0.25106687267473604,0.24264606816392298,0.2443006379592412,0.2619864212020997,0.6642052299607802,0.09159907940473985,
2021,198496242.1479,23.510533601065315,1997.4894663989348,0.3009802633930219,1.0,1.0,0.22342085736039305,0.24730140065686548,0.24924703414856772,0.24906812866695394,0.2543834365276129,0.7023949019489033,0.06313309952619968,
2022,183398263.7084,23.494391933693898,1998.5056080663057,0.3020558492482758,1.0,1.0,0.22517398208229897,0.2516964993021673,0.2529106135554736,0.24469734128864895,0.25069554585371007,0.7218751481753327,0.04905867283130613,
2023,211906172.71649998,23.48802437722121,1999.511975622779,0.30588616504116056,1.0,1.0,0.21947185442738507,0.24740765440910523,0.25644572501388324,0.25686120952370817,0.2392854110533034,0.7327243458534234,0.04478429293985857,
2024,208430964.208,23.51921346933032,2000.4807865306698,0.31463424811515084,1.0,1.0,0.22101652944055164,0.24210966954766464,0.24640159510008533,0.2616543318265126,0.24983440352573738,0.7251211298345037,0.05054527802350222,
2025,194015534.755,23.503748055200933,2001.4962519447993,0.3159852036127745,1.0,1.0,0.2224306281385947,0.2483939858746699,0.2449216086686347,0.2612267698377893,0.24545763561890607,0.719488480614579,0.05526733300836192,
2026,124707110.21239999,23.516153261419255,2002.4838467385807,0.31259532221542746,1.0,1.0,0.2219728681568594,0.2472217220677322,0.24592172197131526,0.2503381284349239,0.2565184275260287,0.7183342528162653,0.05210679992770674,
,739059781.8919,23.505694506910903,2000.8075732261416,0.31213656788462885,1.0,1.0,0.22110622879138295,0.24614106194363025,0.2488119943964108,0.25825831846539005,0.24678862519456898,0.7246772890628456,0.05039657098300591,post
,1202498563.7029,23.51421960161948,1995.922204757676,0.29408723491438066,1.0,1.0,0.23360767956127462,0.2467233371648347,0.2477689706737248,0.2500724455385682,0.2554352466228723,0.7109602223813768,0.058252735875705286,pre
